#漢字	音標	解釋	繁簡
買	mai4		簡
賣	mai6		簡
邁	mai6		簡
態	tʰai5		簡
貸	tʰai5		簡
帶	ɗai5		簡
賴	lai6		簡
癩	lai6		簡
齋	tsai1		簡
債	tsai5		簡
釵	tsʰai1		簡
曬	sai5		簡
階	kai1		簡
屆	kai5		簡
捱	∅ai1		簡
柺	kuai3		簡
懷	∅uai2		簡
塊	∅uai3		簡
壞	∅uai6		簡
幣	pei6		簡
斃	pei6		簡
閉	ɓei5		簡
謎	mei2		簡
棲	fei1		簡
齊	fei2		簡
臍	fei2		簡
細	fei5		簡
擠	tei1		簡
劑	tei1		簡
題	tei2		簡
際	tei5		簡
滯	tei5		簡
濟	tei5		簡
遞	tei6		簡
隸	tei6		簡
體	tʰei3		簡
屜	tʰei5		簡
牴	ɗei3		簡
禮	lei4		簡
勵	lei6		簡
麗	lei6		簡
製	tsei5		簡
蟻	ȵei4		簡
篩	sei1		簡
勢	sei5		簡
雞	kei1		簡
計	kei5		簡
繼	kei5		簡
係	kei5	~鞋带	簡
繫	kei5	~鞋带	簡
啓	kʰei3		簡
僞	ŋei6		簡
藝	ŋei6		簡
係	∅ei6	确~实情	簡
繫	∅ei6	确~实情	簡
係	∅ei6	确~实情	簡
繫	∅ei6	确~实情	簡
係	∅ei6	确~实情	簡
繫	∅ei6	确~实情	簡
閨	kuei1		簡
龜	kuei1		簡
歸	kuei1		簡
詭	kuei3		簡
軌	kuei3		簡
鮭	kuei5		簡
貴	kuei5		簡
櫃	kuei6		簡
規	kʰuei1		簡
虧	kʰuei1		簡
窺	kʰuei1		簡
餵	∅uei1	叹词	簡
揮	∅uei1		簡
輝	∅uei1		簡
爲	∅uei2	作~	簡
維	∅uei2		簡
遺	∅uei2		簡
違	∅uei2		簡
圍	∅uei2		簡
毀	∅uei3		簡
燬	∅uei3		簡
譭	∅uei3		簡
偉	∅uei4		簡
葦	∅uei4		簡
緯	∅uei4		簡
餵	∅uei5	动词	簡
衛	∅uei6		簡
爲	∅uei6	~什么	簡
諱	∅uei6		簡
謂	∅uei6		簡
蝟	∅uei6		簡
鰓	foᵃi1		簡
纔	foᵃi2		簡
財	foᵃi2		簡
賽	foᵃi5		簡
災	toᵃi1		簡
臺	toᵃi2		簡
檯	toᵃi2		簡
颱	toᵃi2		簡
臺	toᵃi2		簡
檯	toᵃi2		簡
颱	toᵃi2		簡
薹	toᵃi2		簡
載	toᵃi5	满~	簡
載	toᵃi5	满~	簡
載	toᵃi5	满~	簡
綵	tʰoᵃi3		簡
採	tʰoᵃi3		簡
寀	tʰoᵃi3		簡
來	loᵃi2		簡
該	koᵃi1		簡
蓋	koᵃi5		簡
開	hoᵃi1		簡
凱	hoᵃi3		簡
藹	∅oᵃi4		簡
諧	∅oᵃi4		簡
駭	∅oᵃi4		簡
愛	∅oᵃi5		簡
礙	∅oᵃi6		簡
飛	∅uiː1		簡
廢	∅uiː5		簡
費	∅uiː5		簡
賠	puiː2		簡
揹	puiː6	~诵	簡
盃	ɓuiː1		簡
揹	ɓuiː5	后~	簡
貝	ɓuiː5		簡
輩	ɓuiː5		簡
黴	muiː2		簡
雖	fuiː1		簡
隨	fuiː2		簡
歲	fuiː5		簡
綏	fuiː6		簡
隊	tuiː6		簡
兌	tuiː6		簡
蛻	tʰuiː5		簡
對	ɗuiː5		簡
內	nuiː6		簡
壘	luiː4		簡
類	luiː4		簡
淚	luiː6		簡
錐	tsuiː1		簡
綴	tsuiː5		簡
贅	tsuiː6		簡
墜	tsuiː6		簡
誰	suiː2		簡
錘	suiː2		簡
稅	suiː5		簡
帥	suiː6		簡
迴	∅uiː2		簡
賄	∅uiː3		簡
會	∅uiː4	~不~	簡
匯	∅uiː6		簡
彙	∅uiː6		簡
會	∅uiː6	~计	簡
繪	∅uiː6		簡
銳	∅iuːi6		簡
拋	pʰau1		簡
拋	pʰau1		簡
鮑	ɓau1		簡
飽	ɓau3		簡
貓	mau1		簡
鬧	nau6		簡
撈	lau1		簡
驟	tsau6		簡
鈔	tsʰau1		簡
綽	tsʰau1	~起棍子	簡
膠	kau1		簡
絞	kau3		簡
鉸	kau3		簡
攪	kau3		簡
攪	kau3		簡
餃	kau3		簡
敎	kau5	~育,~他去	簡
敎	kau5	~育,~他去	簡
較	kau5		簡
覺	kau5	睡~	簡
餚	ŋau2		簡
飄	pʰiu1		簡
標	ɓiu1		簡
錶	ɓiu1	手~	簡
錶	ɓiu3		簡
廟	miu6		簡
銷	fiu1		簡
蕭	fiu1		簡
簫	fiu1		簡
條	tiu2		簡
調	tiu6	~动	簡
調	tiu6	~动	簡
調	tiu6	~动	簡
鍬	tʰiu1		簡
鵰	ɗiu1		簡
丟	ɗiu1		簡
釣	ɗiu5		簡
弔	ɗiu5		簡
鳥	niu4		簡
遼	liu2		簡
瞭	liu4	明了	簡
療	liu6		簡
詔	tsiu5		簡
燒	siu1		簡
趙	siu6		簡
紹	siu6		簡
驕	kiu1		簡
嬌	kiu1		簡
喬	kiu2		簡
僑	kiu2		簡
蕎	kiu2		簡
橋	kiu2		簡
澆	kiu3		簡
繳	kiu3		簡
糾	kiu3		簡
矯	kiu6		簡
轎	kiu6		簡
竅	kʰiu5		簡
饒	ŋiu2		簡
堯	ŋiu2		簡
擾	ŋiu3		簡
繞	ŋiu3		簡
囂	hiu1		簡
僥	hiu1		簡
曉	hiu3		簡
搖	∅iu2		簡
搖	∅iu2		簡
謠	∅iu2		簡
窯	∅iu2		簡
謀	məu2		簡
畝	məu4		簡
貿	məu6		簡
謬	məu6		簡
脩	fəu1		簡
蒐	fəu3		簡
颼	fəu3		簡
餿	fəu3		簡
蒐	fəu3		簡
繡	fəu5		簡
鏽	fəu5		簡
鄒	təu1		簡
頭	təu2		簡
湊	təu5		簡
皺	təu5		簡
縐	təu5		簡
偸	tʰəu1		簡
鞦	tʰəu1		簡
㪗	tʰəu3		簡
鬥	ɗəu3	容器	簡
鬥	ɗəu5	~争	簡
紐	nəu3	~约	簡
紐	nəu4	~扣	簡
樓	ləu2		簡
劉	ləu2		簡
餾	ləu6		簡
週	tsəu1		簡
賙	tsəu1		簡
晝	tsəu1		簡
讎	tsəu2	姓	簡
紂	tsəu3		簡
紂	tsəu3		簡
舊	tsəu6		簡
醜	tsʰəu3		簡
綢	səu2		簡
籌	səu2		簡
讎	səu2		簡
獸	səu5		簡
壽	səu6		簡
鳩	kəu1		簡
溝	kəu1		簡
夠	kəu5		簡
溝	kʰəu1		簡
構	kʰəu5		簡
購	kʰəu5		簡
釦	kʰəu5		簡
鉤	ŋəu1		簡
摳	ŋəu1		簡
瞘	ŋəu1		簡
歐	∅əu1		簡
甌	∅əu1		簡
嘔	∅əu3		簡
毆	∅əu3		簡
後	∅əu4		簡
漚	∅əu5		簡
慪	∅əu5		簡
憂	∅iəu1		簡
優	∅iəu1		簡
郵	∅iəu2		簡
遊	∅iəu2		簡
猶	∅iəu2		簡
誘	∅iəu5		簡
蠶	fam2		簡
慚	fam2		簡
暫	fam6		簡
譚	tam2		簡
談	tam2		簡
貪	tʰam1		簡
參	tʰam1		簡
蔘	tʰam1		簡
慘	tʰam3		簡
擔	ɗam1	~任	簡
膽	ɗam3		簡
擔	ɗam5	挑~	簡
藍	lam2		簡
籃	lam2		簡
覽	lam3		簡
攬	lam3		簡
欖	lam3		簡
濫	lam6		簡
纜	lam6		簡
滲	sam5		簡
監	kam1	~视,~牢	簡
減	kam3		簡
檻	kam4		簡
尷	kam5		簡
鑑	kam5		簡
監	kam5	国子~	簡
鹹	∅am2		簡
鹹	∅am2		簡
餡	∅am6		簡
潛	fim6		簡
墊	tim6		簡
塡	tim6		簡
籤	tʰim1		簡
簽	tʰim1		簡
點	ɗim3		簡
鮎	nim1		簡
唸	nim6		簡
鐮	lim2		簡
簾	lim2		簡
斂	lim4		簡
臉	lim4		簡
殮	lim4		簡
霑	tsim1		簡
佔	tsim1	~卜	簡
佔	tsim5	~领	簡
嚴	ȵim2		簡
驗	ȵim6		簡
蟬	sim2		簡
禪	sim2		簡
陝	sim3		簡
閃	sim3		簡
檢	kim3		簡
儉	kim3		簡
劍	kim5		簡
謙	him1		簡
險	him3		簡
閹	∅im1		簡
鹽	∅im2		簡
閻	∅im2		簡
鹽	∅im2		簡
醃	∅im2		簡
厭	∅im5		簡
豔	∅im5		簡
尋	fəm2		簡
臨	ləm2		簡
針	tsəm1		簡
錦	tsəm3		簡
參	tsʰəm1	~差	簡
蔘	tsʰəm1	~差	簡
寢	tsʰəm3		簡
參	səm1	人~	簡
蔘	səm1	人~	簡
瀋	səm3		簡
審	səm3		簡
嬸	səm3		簡
撳	kəm6	按	簡
飮	ȵiəm3	~米汤	簡
飮	ȵiəm3	~米汤	簡
紉	ȵiəm6		簡
縫	ȵiəm6		簡
紉	ȵiəm6		簡
欽	∅iəm1		簡
陰	∅iəm1		簡
蔭	∅iəm1		簡
龕	hom1		簡
菴	∅om1		簡
闇	∅om5		簡
辦	pan6		簡
飯	pan6		簡
頒	ɓan1		簡
闆	ɓan3		簡
蠻	man2		簡
輓	man4		簡
饅	man6		簡
萬	man6		簡
殘	fan2		簡
煩	fan2		簡
礬	fan2		簡
傘	fan5		簡
範	fan6		簡
氾	fan6		簡
汎	fan6		簡
壇	tan2		簡
罈	tan2		簡
彈	tan2	~琴	簡
撣	tan3		簡
贊	tan5		簡
彈	tan6	子~	簡
灘	tʰan1		簡
攤	tʰan1		簡
嘆	tʰan5		簡
單	ɗan1	~独	簡
誕	ɗan5		簡
難	nan2	~易	簡
難	nan6	患~	簡
蘭	lan2		簡
攔	lan2		簡
欄	lan2		簡
懶	lan4		簡
爛	lan6		簡
盞	tsan3		簡
賺	tsan6		簡
綻	tsan6		簡
棧	tsan6		簡
鏟	tsʰan3		簡
燦	tsʰan5		簡
刪	san1		簡
產	san3		簡
艱	kan1		簡
間	kan1	空~,中~	簡
