#漢字	音標	解釋	繁簡
矇	moŋ2		簡
濛	moŋ2		簡
懞	moŋ2		簡
夢	moŋ6		簡
鬆	foŋ1	~紧	簡
叢	foŋ2		簡
從	foŋ2		簡
鬆	foŋ2	~树	簡
諷	foŋ3		簡
誦	foŋ5		簡
頌	foŋ5		簡
訟	foŋ5		簡
鳳	foŋ6		簡
縫	foŋ6	一条~	簡
綜	toŋ1		簡
蹤	toŋ1		簡
縱	toŋ1	~横	簡
衕	toŋ2		簡
銅	toŋ2		簡
總	toŋ3		簡
動	toŋ4		簡
糉	toŋ5		簡
慫	toŋ5		簡
縱	toŋ5	放~	簡
棟	toŋ6		簡
聰	tʰoŋ1		簡
蔥	tʰoŋ1		簡
囪	tʰoŋ1		簡
囪	tʰoŋ1		簡
統	tʰoŋ3		簡
東	ɗoŋ1		簡
鼕	ɗoŋ1		簡
凍	ɗoŋ5		簡
儂	noŋ1		簡
農	noŋ2		簡
膿	noŋ2		簡
濃	noŋ2		簡
籠	loŋ2		簡
聾	loŋ2		簡
龍	loŋ2		簡
隴	loŋ2		簡
攏	loŋ4		簡
終	tsoŋ1		簡
鍾	tsoŋ1		簡
鐘	tsoŋ1		簡
鈡	tsoŋ1		簡
窮	tsoŋ2		簡
種	tsoŋ3	~类	簡
腫	tsoŋ3		簡
種	tsoŋ5	~树	簡
衆	tsoŋ6		簡
衝	tsʰoŋ1		簡
沖	tsʰoŋ1		簡
銃	tsʰoŋ3		簡
寵	tsʰoŋ3		簡
蟲	soŋ2		簡
宮	koŋ1		簡
鞏	koŋ3		簡
貢	koŋ6		簡
兇	hoŋ1		簡
鬨	hoŋ5		簡
鬨	hoŋ5		簡
紅	∅oŋ2		簡
鴻	∅oŋ2		簡
癰	∅ioŋ1		簡
絨	∅ioŋ2		簡
擁	∅ioŋ3		簡
湧	∅ioŋ4		簡
風	∅uoŋ1		簡
楓	∅uoŋ1		簡
瘋	∅uoŋ1		簡
豐	∅uoŋ1		簡
峯	∅uoŋ1		簡
鋒	∅uoŋ1		簡
雜	fap8		簡
納	nap8		簡
臘	lap8		簡
蠟	lap8		簡
閘	tsap8		簡
鍘	tsap8		簡
夾	kap8		簡
狹	∅ap8		簡
峽	∅ap8		簡
疊	tip8		簡
諜	tip8		簡
聶	nip8		簡
業	ȵip8		簡
葉	∅ip8		簡
輯	fəp8		簡
習	fəp8		簡
襲	fəp8		簡
閤	∅op8		簡
襪	mat8		簡
罰	fat8		簡
達	tat8		簡
別	ɓit8		簡
彆	ɓit8		簡
別	ɓit8		簡
滅	mit8		簡
衊	mit8		簡
獵	lit8		簡
熱	ȵit8		簡
傑	kit8		簡
沒	mut8	~有	簡
沒	mut8	~有	簡
奪	tut8		簡
絕	lut8		簡
悅	∅yt8		簡
閱	∅yt8		簡
粵	∅yt8		簡
彿	fət8		簡
慄	lət8		簡
實	sət8		簡
術	sət8		簡
朮	sət8		簡
覈	∅ət8	审~	簡
覈	∅uət8	果子~	簡
麥	mak8		簡
脈	mak8		簡
澤	tsak8		簡
擇	tsak8		簡
額	ŋak8		簡
劃	∅uak8	计~	簡
獲	∅uak8		簡
穫	∅uak8		簡
劃	∅uak8	计~	簡
蓆	fek8		簡
敵	tek8		簡
歷	lek8		簡
曆	lek8		簡
値	tsek8		簡
蟄	sek8		簡
蝕	sek8		簡
極	kek8		簡
劇	kek8	戏~	簡
譯	∅iek8		簡
鑿	føᵃk8		簡
鐸	tøᵃk8		簡
諾	nøᵃk8		簡
絡	løᵃk8		簡
樂	løᵃk8	快~	簡
濁	søᵃk8		簡
嶽	ŋøᵃk8		簡
樂	ŋøᵃk8	音~	簡
學	∅øᵃk8		簡
鑊	∅uøᵃk8		簡
鍋	∅uøᵃk8		簡
瘧	ȵeᵃk8		簡
藥	∅ieᵃk8		簡
賊	fək8		簡
續	fok8		簡
獨	tok8		簡
讀	tok8		簡
牘	tok8		簡
犢	tok8		簡
祿	lok8		簡
祿	lok8		簡
陸	lok8		簡
綠	lok8		簡
錄	lok8		簡
彔	lok8		簡
軸	tsok8		簡
贖	sok8		簡
屬	sok8		簡
侷	kok8		簡
獄	∅iok8		簡
慾	∅iok8		簡
吳	∅ŋ̍2		簡
吳	∅ŋ̍2		簡
誤	∅ŋ̍6		簡
