id	ini	fn	pt	漢字_程序改名	ipa调类	IPA_程序改名	注釋_程序改名	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	ɔ	184
139	k	a	33	嘉	ka33	ka1	～宾	2						
140	k	a	31	假	ka31	ka3	真～，～设	5						
141	k	a	31	賈	ka31	ka3	姓，～宝玉	5						
142	k	a	31	假	ka31	ka3	放～，～期	5						
143	k	a	451	架	ka451	ka5	书～	2						
144	k	a	31	駕	ka31	ka3	～驶证	3						
145	k	a	31	嫁	ka31	ka3	～人	2						
146	k	a	31	稼	ka31	ka3	庄～，邓～先	6						
147	k	a	31	價	ka31	ka3	～钱，～值	5						
148	ȵ	ian	31	□	ȵian31	ȵian3	用虎口掐	4						
149	ŋ	a	213	牙	ŋa213	ŋa2	～齿，刷～	5						
150	ŋ	a	25	芽	ŋa25	ŋa9	豆～	2						
151	ŋ	a	213	衙	ŋa213	ŋa2	～门	2						
152	ŋ	a	31	雅	ŋa31	ŋa3	文～；～典（国名）	9						
154	h	a	33	蝦	ha33	ha1	鱼～，～公	5						
155	h	æk	31	嚇	hæk31	hæk7	～人	2						
156	h	a	213	霞	ha213	ha2	晚～	2						
157	h	a	213	瑕	ha213	ha2	～疵	2						
158	h	a	33	蝦	ha33	ha1	～蟆（蟾蜍）	6						
159	h	a	33	下	ha33	ha1	～背，底～	5						
160	h	a	33	下	ha33	ha1	取下，～下来	6						
161	h	a	31	夏	ha31	ha3	姓	1						
162	h	a	31	廈	ha31	ha3	～门，大～	5						
163	h	a	31	下	ha31	ha3	～降，～流	5						
164	h	a	31	夏	ha31	ha3	春～秋冬	4						
166		a	33	鴉	a33	ʔa1	老～，乌～，～片	8						
167		a	33	丫	a33	ʔa1	～鬟，～头	5						
168		a	33	椏	a33	ʔa1	～杈	2						
169		a	31	啞	a31	ʔa3	哑巴，～佬	5						
170		a	33	亞	a33	ʔa1	～洲，～军	5						
171	ts	ia	31	姐	tsia31	tsia3	小～[文]	5						
172	ts	i	31	姐	tsi31	tsi3	姐姐[白]	5						
173	ts	ia	451	借	tsia451	tsia5	～钱	2						
174	tsʰ	a	31	且	tsʰa31	tsʰa3	而～，况～	5						
176	tsʰ	ɪt	55	藉	tsʰɪt5	tsʰɪt8a	～故，～口	5						
177	t	ɪt	55	些	tɪt5	tɪt8a	一～	2						
178	ɬ	ia	31	寫	ɬia31	ɬia3	～字	2						
179	ɬ	ia	451	瀉	ɬia451	ɬia5	腹～，一～千里	7						
180	h	a	33	卸	ha33	ha1	～货，推～	5						
181	tsʰ	ia	213	邪	tsʰia213	tsʰia2	～气，～门歪道	7						
182	tsʰ	ia	213	斜	tsʰia213	tsʰia2	倾～[文]	5						
183	t	ɐt	55	□	tɐt5	tɐt8a	不正[白]	5						
184	tsʰ	ia	31	謝	tsʰia31	tsʰia3	多～；姓	4						
185	t	ɛ	33	爹	tɛ33	tɛ1	～娘	2						
186	ts	a	33	遮	tsa33	tsa1	伞[名]	4						
187	ts	a	31	者	tsa31	tsa3	记～，作～	5						
188	ts	a	451	蔗	tsa451	tsa5	甘蔗	2						
189	tsʰ	a	33	車	tsʰa33	tsʰa1	火～	2						
190	ȵ	ɛt	55	□	ȵiɛt5	ȵiɛt8a	捏开，捏烂	5						
191	s	a	213	蛇	sa213	sa2	毒～	2						
192	s	a	31	射	sa31	sa3	发～，～箭	5						
193	s	a	451	麝	sa451	sa5	～香	2						
194				奢	sa33	sa33	～侈	2						
196	s	a	451	捨	sa451	sa5	～唔得（舍不得）	8						
197	s	a	451	赦	sa451	sa5	～免	2						
198	s	a	451	舍	sa451	sa5	宿～	2						
199	s	a	33	社	sa33	sa1	～会，公～	5						
200	ȵ	a	33	惹	ȵa33	ȵa1	～事	2						
201	j	ai	213	耶	jai213	jai2	～稣	2						
202	j	a	213	爺	ja213	ja2	父亲；爷爷[文]	8						
203	j	a	451	也	ja451	ja5	～知	2						
204	j	a	33	野	ja33	ja1	～人	2						
205	j	a	31	夜	ja31	ja3	日～，～班	5						
206	s	ɔ	31	傻	sɔ31	sɔ3	～瓜，～子	5						
207	k	ua	33	瓜	kua33	kua1	西～，～分	5						
208	v	ɔ	33	蝸	vɔ33	vɔ1	～牛	2						
209	k	ua	31	寡	kua31	kua3	～妇，守～	5						
210	k	ua	31	剮	kua31	kua3	千刀万～	4						
211	kʰ	ua	33	誇	kʰua33	kʰua1	～大，～张	5						
212	kʰ	ua	33	垮	kʰua33	kʰua1	～台	2						
213	l	am	451	□	lam451	lam5	跨过	2						
215	ŋ	a	31	瓦	ŋa31	ŋa3	～片	2						
216	f	a	33	花	fa33	fa1	开～	2						
217	f	a	451	化	fa451	fa5	变～	2						
218	f	a	213	華	fa213	fa2	中～	2						
219	v	ɐt	55	劃	vɐt5	vɐt8a	～船	2						
220	f	a	25	華	fa25	fa9	～山；姓	4						
221	v	a	33	蛙	va33	va1	青～，～泳	5						
222				補	pu31	pu31	～鞋，～充	5						
223	pʰ	u	33	譜	pʰu33	pʰu1	族～，歌～	5						
224	p	u	451	布	pu451	pu5	红～，～料	5						
225	p	u	451	佈	pu451	pu5	公～，～置	5						
226	pʰ	u	33	鋪	pʰu33	pʰu1	～路，床～	5						
227	pʰ	u	33	普	pʰu33	pʰu1	～通，～遍	5						
228	pʰ	u	31	浦	pʰu31	pʰu3	黄～江	3						
229	pʰ	u	451	鋪	pʰu451	pʰu5	店～，当～	5						
230	p	u	451	怖	pu451	pu5	恐～	2						
231	pʰ	u	213	蒲	pʰu213	pʰu2	（石）菖～	5						
232	pʰ	ɔ	213	菩	pʰɔ213	pʰɔ2	～萨	2						
233	pʰ	u	213	脯	pʰu213	pʰu2	胸～	2						
234	pʰ	u	31	部	pʰu31	pʰu3	～队，干～	5						
235	pʰ	u	31	簿	pʰu31	pʰu3	练习～，帐～	6						
236	pʰ	u	31	步	pʰu31	pʰu3	跑～	2						
237	pʰ	u	31	捕	pʰu31	pʰu3	逮～，～快	5						
238	f	ɐi	31	埠	fɐi31	fɐi3	开～	2						
239	f	ɐi	31	埠	fɐi31	fɐi3	庵～，蚌～（地名）	9						
240	m	u	25	模	mu25	mu9	～型，～范	5						
241	m	u	25	摹	mu25	mu9	～仿，描～	5						
242	m	u	451	暮	mu451	mu5	日暮	2						
243	m	u	451	慕	mu451	mu5	羡～，～名而来	7						
244	m	u	451	墓	mu451	mu5	坟～，～地	5						
245	m	u	451	募	mu451	mu5	～捐	2						
246	t	u	33	都	tu33	tu1	首～，～市	5						
247	t	u	33	都	tu33	tu1	都是	2						
