#漢字	音標	解釋	繁簡
敍	tʃɵ5		簡
贅	tʃɵ5		簡
墜	tʃɵ5		簡
載	tʃɵ5	～重	簡
載	tʃɵ5	满～	簡
趨	tʃʰɵ1		簡
纔	tʃʰɵ2	～气	簡
纔	tʃʰɵ2	刚～	簡
財	tʃʰɵ2		簡
隨	tʃʰɵ2		簡
欖	tʃʰɵ2		簡
錘	tʃʰɵ2		簡
採	tʃʰɵ3		簡
寀	tʃʰɵ3		簡
綵	tʃʰɵ3		簡
雖	ʃɵ1		簡
須	ʃɵ1	必～	簡
鬚	ʃɵ1	必～	簡
鰓	ʃɵ1		簡
誰	ʃɵ2		簡
緖	ʃɵ5		簡
歲	ʃɵ5		簡
稅	ʃɵ5		簡
帥	ʃɵ5		簡
銳	jɵ4		簡
車	kɵ1	～马炮，又	簡
該	kɵ1	唔～：多谢	簡
舉	kɵ3		簡
榘	kɵ3		簡
據	kɵ5		簡
鋸	kɵ5		簡
鉅	kɵ5		簡
懼	kɵ5		簡
駒	kʰɵ1		簡
區	kʰɵ1		簡
驅	kʰɵ1		簡
虛	hɵ1		簡
噓	hɵ1		簡
許	hɵ3		簡
滸	hɵ3		簡
擺	pai3		簡
襬	pai3		簡
敗	pai5		簡
買	mai4		簡
賣	mai5		簡
邁	mai5		簡
塊	fai5		簡
懷	wai2		簡
壞	wai5		簡
帶	tai5		簡
態	tʰai4		簡
貸	tʰai4		簡
賴	lai5		簡
癲	lai5	又	簡
齋	tʃai1		簡
債	tʃai5		簡
釵	tʃʰai1		簡
璽	ʃai3		簡
賽	ʃai5		簡
曬	ʃai5		簡
階	kai1		簡
屆	kai5		簡
捱	ŋai1	～近	簡
捱	ŋai2	～打	簡
癩	ŋai5	又	簡
諧	hai2		簡
柺	kʷai3		簡
祕	pɐi5		簡
備	pɐi5		簡
彌	mɐi2		簡
瀰	mɐi2		簡
飛	fɐi1		簡
毀	fɐi3		簡
燬	fɐi3		簡
譭	fɐi3		簡
膩	nɐi5		簡
離	lɐi2	～别	簡
籬	lɐi2		簡
釐	lɐi2	～米	簡
裏	lɐi4	公～	簡
裡	lɐi4	公～	簡
裏	lɐi4	～面	簡
裡	lɐi4	～面	簡
鯉	lɐi4		簡
資	tʃɐi1		簡
諮	tʃɐi1		簡
茲	tʃɐi1		簡
飼	tʃɐi5		簡
臍	tʃʰɐi2		簡
餈	tʃʰɐi2		簡
辭	tʃʰɐi2		簡
詞	tʃʰɐi2		簡
廁	tʃʰɐi5		簡
廝	ʃɐi1		簡
