#漢字	音標	解釋	繁簡
槳	tʃœŋ3		簡
蔣	tʃœŋ3		簡
長	tʃœŋ3	生～	簡
將	tʃœŋ5	大～	簡
醬	tʃœŋ5		簡
漲	tʃœŋ5		簡
賬	tʃœŋ5		簡
帳	tʃœŋ5		簡
脹	tʃœŋ5		簡
鄭	tʃœŋ5		簡
擲	tʃœŋ5		簡
槍	tʃʰœŋ1		簡
囪	tʃʰœŋ1		簡
囪	tʃʰœŋ1		簡
靑	tʃʰœŋ1	白	簡
牆	tʃʰœŋ2		簡
詳	tʃʰœŋ2		簡
長	tʃʰœŋ2	～短	簡
腸	tʃʰœŋ2		簡
場	tʃʰœŋ2		簡
搶	tʃʰœŋ3		簡
暢	tʃʰœŋ5		簡
廂	ʃœŋ1		簡
鑲	ʃœŋ1		簡
傷	ʃœŋ1		簡
雙	ʃœŋ1		簡
聲	ʃœŋ1	白	簡
嘗	ʃœŋ2		簡
償	ʃœŋ2		簡
賞	ʃœŋ3		簡
尙	ʃœŋ5		簡
楊	jœŋ2		簡
揚	jœŋ2		簡
瘍	jœŋ2		簡
陽	jœŋ2		簡
贏	jœŋ2		簡
養	jœŋ4		簡
癢	jœŋ4		簡
讓	jœŋ5		簡
釀	jœŋ5		簡
樣	jœŋ5		簡
殭	kœŋ1		簡
繮	kœŋ1		簡
薑	kœŋ1	生～	簡
薑	kœŋ1	～太公	簡
頸	kœŋ3		簡
鏡	kœŋ5	白	簡
強	kʰœŋ2	～大	簡
強	kʰœŋ3	勉～	簡
鄕	hœŋ1		簡
輕	hœŋ1	白	簡
響	hœŋ3		簡
餉	hœŋ3		簡
嚮	hœŋ5		簡
曏	hœŋ5		簡
幫	pɔŋ1		簡
綁	pɔŋ3		簡
鎊	pʰɔŋ2		簡
龐	pʰɔŋ2		簡
網	mɔŋ4		簡
謊	fɔŋ1		簡
彷	fɔŋ3	～效	簡
彷	fɔŋ3	相～	簡
紡	fɔŋ3		簡
訪	fɔŋ3		簡
況	fɔŋ5		簡
黃	wɔŋ2		簡
當	tɔŋ1	～时，应～	簡
黨	tɔŋ3		簡
擋	tɔŋ3		簡
當	tɔŋ5	～铺，～作	簡
檔	tɔŋ5		簡
蕩	tɔŋ5		簡
湯	tʰɔŋ1		簡
燙	tʰɔŋ4		簡
郞	lɔŋ2		簡
莊	tʃɔŋ1		簡
贓	tʃɔŋ1		簡
樁	tʃɔŋ1		簡
裝	tʃɔŋ1		簡
妝	tʃɔŋ1		簡
髒	tʃɔŋ1	肮～	簡
臟	tʃɔŋ1	肮～	簡
髒	tʃɔŋ5		簡
臟	tʃɔŋ5		簡
內	tʃɔŋ5		簡
壯	tʃɔŋ5		簡
狀	tʃɔŋ5		簡
倉	tʃʰɔŋ1		簡
蒼	tʃʰɔŋ1		簡
艙	tʃʰɔŋ1		簡
瘡	tʃʰɔŋ1		簡
牀	tʃʰɔŋ2		簡
闖	tʃʰɔŋ3		簡
創	tʃʰɔŋ3		簡
廠	tʃʰɔŋ3		簡
喪	ʃɔŋ1	婚～	簡
喪	ʃɔŋ5	～失	簡
岡	kɔŋ1		簡
崗	kɔŋ1		簡
剛	kɔŋ1		簡
綱	kɔŋ1		簡
講	kɔŋ3		簡
鋼	kɔŋ5		簡
槓	kɔŋ5		簡
曠	kʰɔŋ4		簡
擴	kʰɔŋ4		簡
礦	kʰɔŋ4		簡
項	hɔŋ5		簡
廣	kʷɔŋ3		簡
蘋	pʰəŋ2		簡
評	pʰəŋ2		簡
甁	pʰəŋ2	文	簡
屛	pʰəŋ2		簡
並	pʰəŋ5	～且	簡
倂	pʰəŋ5	～且	簡
幷	pʰəŋ5	～且	簡
並	pʰəŋ5	合～	簡
倂	pʰəŋ5	合～	簡
幷	pʰəŋ5	合～	簡
鳴	məŋ2		簡
銘	məŋ2		簡
詠	wəŋ4		簡
穎	wəŋ4		簡
頂	təŋ3	文	簡
訂	təŋ5		簡
錠	təŋ5		簡
聽	tʰəŋ5	～任	簡
寧	nəŋ2	安～	簡
寧	nəŋ2	～可	簡
擰	nəŋ5		簡
淩	ləŋ2		簡
靈	ləŋ2		簡
鈴	ləŋ2		簡
嶺	ləŋ4	文	簡
領	ləŋ4		簡
徵	tʃəŋ1	～求	簡
徵	tʃəŋ1	长～	簡
貞	tʃəŋ1		簡
偵	tʃəŋ1		簡
證	tʃəŋ5		簡
証	tʃəŋ5		簡
癥	tʃəŋ5		簡
靜	tʃəŋ5		簡
淨	tʃəŋ5		簡
稱	tʃʰəŋ1	～呼	簡
淸	tʃʰəŋ1		簡
懲	tʃʰəŋ2		簡
請	tʃʰəŋ3		簡
稱	tʃʰəŋ5	相～	簡
昇	ʃəŋ1		簡
聲	ʃəŋ1	文	簡
繩	ʃəŋ2		簡
誠	ʃəŋ2		簡
勝	ʃəŋ5	～任	簡
勝	ʃəŋ5	战～	簡
聖	ʃəŋ5		簡
鷹	jəŋ1		簡
應	jəŋ1	～该	簡
嬰	jəŋ1		簡
鸚	jəŋ1		簡
櫻	jəŋ1		簡
纓	jəŋ1		簡
蠅	jəŋ2		簡
營	jəŋ2		簡
螢	jəŋ2		簡
榮	jəŋ2		簡
滎	jəŋ2		簡
應	jəŋ5	～对	簡
認	jəŋ5		簡
驚	kəŋ1		簡
荊	kəŋ1		簡
經	kəŋ1		簡
勁	kəŋ5	～敌	簡
勁	kəŋ5	有～	簡
莖	kəŋ5		簡
徑	kəŋ5		簡
競	kəŋ5		簡
鏡	kəŋ5	文	簡
鯨	kʰəŋ2		簡
瓊	kʰəŋ2		簡
興	həŋ1	～旺	簡
輕	həŋ1	文	簡
興	həŋ5	高～	簡
慶	həŋ5		簡
傾	kʰʷəŋ1		簡
頃	kʰʷəŋ3		簡
矇	moŋ2		簡
濛	moŋ2		簡
懞	moŋ2		簡
夢	moŋ5		簡
風	foŋ1		簡
瘋	foŋ1		簡
豐	foŋ1		簡
峯	foŋ1		簡
鋒	foŋ1		簡
馮	foŋ2		簡
縫	foŋ2	～衣服	簡
縫	foŋ2	一条～	簡
風	foŋ5		簡
諷	foŋ5		簡
東	toŋ1		簡
鼕	toŋ1		簡
凍	toŋ5		簡
棟	toŋ5		簡
動	toŋ5		簡
衕	tʰoŋ2		簡
銅	tʰoŋ2		簡
統	tʰoŋ3		簡
農	noŋ2		簡
膿	noŋ2		簡
濃	noŋ2		簡
燶	noŋ4	（饭）烧糊	簡
龍	loŋ2		簡
籠	loŋ2		簡
聾	loŋ2		簡
嚨	loŋ2		簡
攏	loŋ4		簡
隴	loŋ4		簡
壟	loŋ4		簡
終	tʃoŋ1		簡
蹤	tʃoŋ1		簡
鍾	tʃoŋ1	～爱	簡
鐘	tʃoŋ1	～爱	簡
鈡	tʃoŋ1	～爱	簡
蠱	tʃoŋ1		簡
綜	tʃoŋ1		簡
總	tʃoŋ3		簡
種	tʃoŋ3	～类	簡
腫	tʃoŋ3		簡
種	tʃoŋ5	～树	簡
衆	tʃoŋ5		簡
縱	tʃoŋ5	～横	簡
縱	tʃoŋ5	放～	簡
誦	tʃoŋ5		簡
頌	tʃoŋ5		簡
訟	tʃoŋ5		簡
鍾	tʃoŋ9a	闹～	簡
鐘	tʃoŋ9a	闹～	簡
鈡	tʃoŋ9a	闹～	簡
糉	tʃoŋ9b		簡
湧	tʃʰoŋ1		簡
聰	tʃʰoŋ1		簡
衝	tʃʰoŋ1		簡
沖	tʃʰoŋ1		簡
從	tʃʰoŋ2	～容	簡
從	tʃʰoŋ2	跟～	簡
叢	tʃʰoŋ2		簡
蟲	tʃʰoŋ2		簡
鬆	tʃʰoŋ2	～树	簡
寵	tʃʰoŋ3		簡
銃	tʃʰoŋ4		簡
蔥	tʃʰoŋ9a		簡
鬆	ʃoŋ1	～紧	簡
鱅	ʃoŋ2		簡
慫	ʃoŋ3		簡
絨	joŋ2		簡
擁	joŋ3		簡
湧	joŋ3	汹～	簡
宮	koŋ1		簡
貢	koŋ5		簡
採	koŋ5		簡
寀	koŋ5		簡
窮	kʰoŋ2		簡
鞏	kʰoŋ3		簡
甕	ŋoŋ9a		簡
兇	hoŋ1	吉～	簡
兇	hoŋ1	～恶	簡
紅	hoŋ2		簡
鴻	hoŋ2		簡
鬨	hoŋ5	内～	簡
奪	tɵt8		簡
脫	tʰɵt8		簡
絕	tʃɵt8		簡
說	ʃɵt8		簡
悅	jɵt8		簡
閱	jɵt8		簡
粵	jɵt8		簡
決	kʰɵt8		簡
訣	kʰɵt8		簡
別	pit8	离～	簡
彆	pit8	离～	簡
別	pit8	离～	簡
別	pit8	区～	簡
彆	pit8	区～	簡
別	pit8	区～	簡
鱉	pit8		簡
滅	mit8		簡
覓	mit8		簡
衊	mit8		簡
諜	tit8		簡
鐵	tʰit8		簡
貼	tʰit8		簡
聶	nit8		簡
懾	nit8		簡
獵	lit8		簡
摺	tʃit8	～被	簡
摺	tʃit8	～断	簡
節	tʃit8		簡
徹	tʃʰit8		簡
轍	tʃʰit8		簡
設	ʃit8		簡
摺	ʃit8	～本	簡
攝	ʃit8		簡
葉	jit8	树～	簡
頁	jit8		簡
業	jit8		簡
醃	jit8		簡
熱	jit8		簡
傑	kit8		簡
結	kit8		簡
潔	kit8		簡
脅	hit8		簡
協	hit8		簡
蠍	kʰʷit7		簡
鉢	put8		簡
潑	pʰut8		簡
撥	pʰut8		簡
沒	mut8		簡
闊	fut8		簡
筆	pak7		簡
畢	pak7		簡
脈	mak8		簡
彿	fak7	仿～	簡
彿	fak8	～像	簡
納	nak8		簡
臘	lak8		簡
蠟	lak8		簡
慄	lak8		簡
質	tʃak7		簡
則	tʃak7		簡
側	tʃak7		簡
測	tʃak7		簡
側	tʃak7		簡
鯽	tʃak7		簡
閘	tʃak8		簡
襲	tʃak8		簡
鍘	tʃak8		簡
雜	tʃak8		簡
齣	tʃʰak7		簡
賊	tʃʰak8		簡
亂	ʃak7		簡
實	ʃak8		簡
術	ʃak8	白～	簡
朮	ʃak8	白～	簡
術	ʃak8	技～	簡
朮	ʃak8	技～	簡
夾	kak8	～子	簡
喫	ŋak7		簡
訖	ŋak7		簡
剋	hak7		簡
覈	hak8	果～	簡
覈	hak8	～对	簡
駭	hak8		簡
閤	hak8	～作	簡
狹	hak8		簡
峽	hak8		簡
俠	hak8		簡
轄	hak8		簡
蔔	pɛk8	萝～	簡
襪	mɛk8		簡
麥	mɛk8		簡
罰	fɛk8		簡
劃	wɛk8	～船	簡
劃	wɛk8	计～	簡
達	tɛk8		簡
澤	tʃɛk8		簡
擇	tʃɛk8	文	簡
蓆	tʃɛk8	白	簡
額	ŋɛk7		簡
約	jœk8		簡
藥	jœk8		簡
劇	kʰœk8	～烈	簡
劇	kʰœk8	戏～	簡
卻	kʰœk8		簡
縛	pɔk8		簡
樸	pʰɔk8	～素	簡
撲	pʰɔk8		簡
剝	mɔk7		簡
獲	wɔk8		簡
穫	wɔk8		簡
擇	tɔk8	白	簡
諾	nɔk8		簡
樂	lɔk8	快～	簡
嶽	lɔk8	五～	簡
嶽	lɔk8	姓氏	簡
執	tʃɔk7		簡
習	tʃɔk8		簡
鑿	tʃɔk8		簡
輯	tʃʰɔk7		簡
溼	ʃɔk7		簡
級	kʰɔk7		簡
給	kʰɔk7		簡
齶	ŋɔk8		簡
鱷	ŋɔk8		簡
樂	ŋɔk8	音～	簡
鶴	hɔk8		簡
學	hɔk8		簡
闢	pʰək7		簡
敵	tək8		簡
礫	lək7		簡
歷	lək8	经～	簡
曆	lək8	经～	簡
歷	lək8	旧～	簡
曆	lək8	旧～	簡
織	tʃək7		簡
職	tʃək7		簡
積	tʃək7		簡
跡	tʃək7		簡
蹟	tʃək7		簡
績	tʃək7		簡
値	tʃək8		簡
蟄	tʃək8		簡
蓆	tʃək8		簡
藉	tʃək8	～口	簡
慼	tʃʰək7		簡
嗇	ʃək7		簡
識	ʃək7		簡
飾	ʃək7		簡
適	ʃək7		簡
釋	ʃək7		簡
蝕	ʃək8		簡
憶	jək7		簡
億	jək7		簡
譯	jək8		簡
擊	kək7		簡
極	kək8		簡
蔔	pok7		簡
計	pok7		簡
僕	pok8	～人	簡
復	fok7	重～	簡
複	fok7	重～	簡
覆	fok7	重～	簡
復	fok7	反～	簡
複	fok7	反～	簡
覆	fok7	反～	簡
見	fok7		簡
復	fok8	～原	簡
複	fok8	～原	簡
覆	fok8	～原	簡
復	fok8	～兴	簡
複	fok8	～兴	簡
覆	fok8	～兴	簡
獨	tok8		簡
讀	tok8		簡
禿	tʰok7		簡
錄	lok8		簡
彔	lok8		簡
祿	lok8		簡
祿	lok8		簡
綠	lok8		簡
陸	lok8		簡
鐲	tʃok7		簡
築	tʃok7		簡
燭	tʃok7		簡
囑	tʃok7		簡
續	tʃʰok8		簡
濁	tʃʰok8		簡
軸	tʃʰok8		簡
縮	ʃok7		簡
肅	ʃok7		簡
贖	ʃok8		簡
屬	ʃok8		簡
鬱	jok7		簡
獄	jok8		簡
慾	jok8		簡
穀	kok7	山～	簡
穀	kok7	稻～	簡
麴	kʰok7	酒～	簡
麴	kʰok7	～折	簡
侷	kʰok8		簡
吳	ʔm2		簡
吳	ʔm2		簡
娛	ʔm2		簡
誤	ʔm5		簡
