#漢字	音標	解釋	繁簡
恥	tʂʰʅ³¹		簡
齒	tʂʰʅ³¹		簡
詩	ʂʅ⁵⁵		簡
屍	ʂʅ⁵⁵		簡
時	ʂʅ³⁵		簡
鰣	ʂʅ³⁵		簡
視	ʂʅ³¹		簡
試	ʂʅ⁵²		簡
閉	pi⁵²		簡
祕	pi⁵²		簡
轡	pi⁵²		簡
備	pʰi³¹		簡
謎	mi³⁵		簡
題	tʰi³⁵		簡
體	tʰi³¹		簡
隸	tʰi³¹		簡
禮	li⁵⁵		簡
鯉	li⁵⁵		簡
離	li³⁵		簡
籬	li³⁵		簡
釐	li³⁵		簡
裏	li³⁵		簡
裡	li³⁵		簡
際	tsi⁵²		簡
濟	tsi⁵²		簡
癡	tsʰi⁵⁵		簡
臍	tsʰi³⁵		簡
遲	tsʰi³⁵		簡
鰭	tsʰi⁵²		簡
兒	ȵi³⁵		簡
儀	ȵi³⁵		簡
擬	ȵi³⁵		簡
爾	ȵi³¹		簡
貳	ȵi³¹		簡
義	ȵi³¹		簡
議	ȵi³¹		簡
誼	ȵi³¹		簡
餌	ȵi³¹		簡
機	ki⁵⁵		簡
飢	ki⁵⁵		簡
饑	ki⁵⁵		簡
幾	ki⁵⁵	茶~	簡
譏	ki⁵⁵	~笑	簡
幾	ki³¹	~多	簡
紀	ki³¹	~念	簡
記	ki⁵²		簡
騎	kʰi³⁵		簡
犧	hi⁵⁵		簡
煕	hi⁵⁵		簡
戲	hi⁵²		簡
棄	hi⁵²		簡
氣	hi⁵²		簡
醫	i⁵⁵		簡
縊	i⁵⁵		簡
飴	i³⁵		簡
綺	i³¹		簡
異	i³¹		簡
丟	tiu⁵⁵		簡
劉	liu³⁵		簡
餾	liu³⁵		簡
週	tsiu⁵⁵		簡
賙	tsiu⁵⁵		簡
皺	tsiu⁵²		簡
晝	tsiu⁵²		簡
縐	tsiu⁵²		簡
鞦	tsʰiu⁵⁵		簡
讎	tsʰiu³⁵		簡
綢	tsʰiu³⁵		簡
籌	tsʰiu³⁵		簡
醜	tsʰiu³¹		簡
紂	tsʰiu³¹		簡
獸	tsʰiu⁵²		簡
脩	siu⁵⁵		簡
壽	siu³¹		簡
繡	siu⁵²		簡
鏽	siu⁵²		簡
糾	kiu³¹	~正	簡
舊	kʰiu⁵²		簡
憂	iu⁵⁵		簡
優	iu⁵⁵		簡
郵	iu³⁵		簡
遊	iu³⁵		簡
誘	iu⁵²		簡
呂	ly⁵⁵		簡
呂	ly⁵⁵		簡
慮	ly³¹		簡
濾	ly³¹		簡
豬	tsy⁵⁵		簡
諸	tsy⁵⁵		簡
誅	tsy⁵⁵		簡
硃	tsy⁵⁵		簡
駐	tsy⁵²		簡
註	tsy⁵²		簡
鑄	tsy⁵²		簡
苧	tsʰy⁵⁵		簡
儲	tsʰy³⁵		簡
廚	tsʰy³⁵		簡
處	tsʰy³¹	相~	簡
處	tsʰy⁵²	住~	簡
書	sy⁵⁵		簡
輸	sy⁵⁵		簡
緖	sy³¹		簡
樹	sy³¹		簡
豎	sy³¹		簡
語	ȵy⁵⁵		簡
魚	ȵy³⁵		簡
漁	ȵy³⁵		簡
禦	ȵy³¹		簡
車	ky⁵⁵	象棋棋子的一种	簡
榘	ky³¹		簡
舉	ky³¹		簡
鋸	ky⁵²		簡
據	ky⁵²		簡
驅	kʰy⁵⁵		簡
倶	kʰy⁵⁵		簡
區	kʰy⁵⁵		簡
軀	kʰy⁵⁵		簡
鉅	kʰy³¹		簡
懼	kʰy³¹		簡
虛	hy⁵⁵		簡
噓	hy⁵⁵		簡
許	hy³¹		簡
於	y⁵⁵		簡
籲	y⁵⁵		簡
與	y³⁵		簡
餘	y³¹		簡
餘	y³¹		簡
與	y³¹		簡
預	y³¹		簡
娛	y³¹		簡
楡	y³¹		簡
癒	y³¹		簡
喩	y³¹		簡
頗	pʰo³¹		簡
饃	mo⁵⁵		簡
離	vo⁵⁵		簡
鍋	vo⁵⁵		簡
禍	vo³⁵		簡
橢	to³⁵		簡
駝	tʰo³⁵		簡
馱	tʰo³⁵		簡
囉	lo⁵⁵	~嗦	簡
羅	lo³⁵		簡
鑼	lo³⁵		簡
籮	lo³⁵		簡
滷	lo³¹		簡
鹵	lo³¹		簡
雛	tsʰo⁵⁵		簡
鋤	tsʰo³⁵		簡
銼	tsʰo⁵²		簡
錯	tsʰo⁵²		簡
鎖	so³¹		簡
瑣	so³¹		簡
個	ko⁵²		簡
箇	ko⁵²		簡
過	ko⁵²		簡
鵝	ŋo³⁵		簡
訛	ŋo³⁵		簡
餓	ŋo³¹		簡
臥	ŋo³¹		簡
賀	ho³¹		簡
揹	poi⁵²		簡
穢	voi⁵²		簡
會	voi⁵²	~不~	簡
臺	tʰoi³⁵		簡
檯	tʰoi³⁵		簡
颱	tʰoi³⁵		簡
薹	tʰoi³⁵		簡
來	loi³⁵		簡
縷	loi³¹		簡
災	tsoi⁵⁵		簡
載	tsoi⁵²		簡
纔	tsʰoi³⁵		簡
財	tsʰoi³⁵		簡
綵	tsʰoi³¹		簡
採	tsʰoi³¹		簡
寀	tsʰoi³¹		簡
賽	tsʰoi⁵²		簡
萊	tsʰoi⁵²		簡
鰓	soi⁵⁵		簡
歲	soi⁵²		簡
稅	ʂoi⁵²		簡
帥	ʂoi⁵²		簡
該	koi⁵⁵		簡
賅	koi⁵⁵		簡
蓋	koi⁵²		簡
劊	kʰoi⁵²		簡
檜	kʰoi⁵²		簡
繪	kʰoi⁵²		簡
礙	ŋoi³¹		簡
僞	ŋoi³¹		簡
開	hoi⁵⁵		簡
凱	oi³¹		簡
藹	oi³¹		簡
愛	oi⁵²		簡
寶	pou³¹		簡
報	pou⁵²		簡
島	tou³¹		簡
韜	tʰou⁵⁵		簡
濤	tʰou³⁵		簡
導	tʰou³¹		簡
盜	tʰou³¹		簡
腦	nou³¹		簡
惱	nou³¹		簡
勞	lou³⁵		簡
澇	lou³⁵		簡
棗	tsou³¹		簡
竈	tsou⁵²	炉~	簡
皁	tsʰou³¹		簡
騷	sou⁵⁵		簡
掃	sou⁵²		簡
髙	kou⁵⁵		簡
奧	ou⁵²		簡
補	pu³¹		簡
佈	pu⁵²		簡
鋪	pʰu⁵⁵	床~	簡
譜	pʰu³¹		簡
鋪	pʰu⁵²	店~	簡
誣	mu³⁵		簡
鵡	mu³¹		簡
務	mu³¹		簡
霧	mu⁵²		簡
伕	fu⁵⁵		簡
膚	fu⁵⁵		簡
鬍	fu³⁵		簡
衚	fu³⁵		簡
壺	fu³⁵		簡
鬍	fu³⁵		簡
衚	fu³⁵		簡
滸	fu³¹		簡
戶	fu³¹		簡
護	fu³¹		簡
撫	fu³¹		簡
滬	fu³¹		簡
婦	fu³¹		簡
訃	fu³¹		簡
賦	fu⁵²		簡
烏	vu⁵⁵		簡
塢	vu⁵⁵		簡
無	vu³⁵		簡
惡	vu⁵²	好~	簡
噁	vu⁵²	好~	簡
賭	tu³¹		簡
塗	tʰu³⁵		簡
圖	tʰu³⁵		簡
鍍	tʰu³¹		簡
魯	lu⁵⁵		簡
櫓	lu⁵⁵		簡
虜	lu⁵⁵		簡
廬	lu⁵⁵		簡
驢	lu⁵⁵		簡
盧	lu³⁵		簡
爐	lu³⁵		簡
蘆	lu³⁵	~草	簡
鷺	lu³⁵	~鸶	簡
賂	lu⁵²		簡
資	tsu⁵⁵		簡
諮	tsu⁵⁵		簡
茲	tsu⁵⁵		簡
組	tsu³¹		簡
飼	tsʰu³⁵		簡
詞	tsʰu³⁵		簡
辭	tsʰu³⁵		簡
礎	tsʰu³¹		簡
賜	tsʰu³¹		簡
廁	tsʰu⁵²		簡
蘇	su⁵⁵		簡
甦	su⁵⁵		簡
囌	su⁵⁵		簡
俬	su⁵⁵		簡
師	su⁵⁵		簡
須	su⁵⁵		簡
鬚	su⁵⁵		簡
獅	su⁵⁵		簡
絲	su⁵⁵		簡
駛	su³¹		簡
訴	su⁵²		簡
數	su⁵²		簡
錮	ku⁵²		簡
顧	ku⁵²		簡
庫	kʰu⁵²		簡
褲	kʰu⁵²		簡
會	fui³¹	开~	簡
廢	fui⁵²		簡
維	vui³⁵		簡
遺	vui³⁵		簡
衛	vui³¹		簡
毀	vui³¹		簡
燬	vui³¹		簡
譭	vui³¹		簡
爲	vui³¹		簡
隊	tui³¹		簡
對	tui⁵²		簡
兌	tʰui³¹		簡
稅	tʰui⁵²		簡
