#漢字	音標	解釋	繁簡
倉	tsʰoy⁵⁵		簡
蒼	tsʰoy⁵⁵		簡
瘡	tsʰoy⁵⁵		簡
牀	tsʰoŋ³⁵		簡
闖	tsʰoŋ³¹		簡
髒	tsʰoŋ³¹	心~	簡
臟	tsʰoŋ³¹	心~	簡
創	tsʰoŋ⁵²		簡
喪	soŋ⁵⁵		簡
喪	soŋ⁵²	~失	簡
張	tʂoŋ⁵⁵		簡
長	tʂoŋ³¹	生~	簡
漲	tʂoŋ⁵²		簡
帳	tʂoŋ⁵²		簡
賬	tʂoŋ⁵²		簡
脹	tʂoŋ⁵²		簡
腸	tʂʰoŋ³⁵		簡
場	tʂʰoŋ³⁵		簡
長	tʂʰoŋ³⁵	~短	簡
廠	tʂʰoŋ³¹		簡
暢	tʂʰoŋ⁵²		簡
傷	ʂoŋ⁵⁵		簡
嘗	ʂoŋ³⁵		簡
償	ʂoŋ³⁵		簡
賞	ʂoŋ³¹		簡
尙	ʂoŋ³¹		簡
岡	koŋ⁵⁵		簡
崗	koŋ⁵⁵		簡
剛	koŋ⁵⁵		簡
綱	koŋ⁵⁵		簡
講	koŋ³¹		簡
鋼	koŋ⁵²		簡
曠	kʰoŋ⁵²		簡
況	kʰoŋ⁵²		簡
礦	kʰoŋ⁵²		簡
項	hoŋ³¹		簡
兩	lioŋ⁵⁵	斤~	簡
涼	lioŋ³⁵		簡
糧	lioŋ³⁵		簡
樑	lioŋ³⁵		簡
諒	lioŋ³¹		簡
輛	lioŋ³¹		簡
兩	lioŋ³¹	~个	簡
將	tsioŋ⁵⁵		簡
漿	tsioŋ⁵⁵		簡
獎	tsioŋ⁵²		簡
槳	tsioŋ⁵²		簡
蔣	tsioŋ⁵²		簡
醬	lioŋ⁵²		簡
將	lioŋ⁵²	大~	簡
槍	tsʰioŋ⁵⁵		簡
牆	tsʰioŋ³⁵		簡
詳	tsʰioŋ³⁵		簡
搶	tsʰioŋ³¹		簡
廂	sioŋ⁵⁵		簡
鑲	sioŋ⁵⁵		簡
孃	ȵioŋ³⁵		簡
讓	ȵioŋ³¹		簡
鑲	ȵioŋ³¹		簡
殭	kioŋ⁵⁵		簡
薑	kioŋ⁵⁵		簡
強	kʰioŋ³⁵		簡
強	kʰioŋ³¹	勉~	簡
鄕	hioŋ⁵⁵		簡
響	hioŋ³¹		簡
餉	hioŋ³¹		簡
嚮	hioŋ⁵²		簡
曏	hioŋ⁵²		簡
養	ioŋ⁵⁵		簡
楊	ioŋ³⁵		簡
揚	ioŋ³⁵		簡
陽	ioŋ³⁵		簡
瘍	ioŋ³⁵		簡
榮	ioŋ³⁵		簡
樣	ioŋ³¹		簡
廣	kuoŋ³¹		簡
錛	pun⁵⁵		簡
稟	pun³¹		簡
稟	pun³¹		簡
糞	pun⁵²		簡
噴	pʰun⁵²	香~~	簡
門	mun³⁵		簡
悶	mun³¹		簡
問	mun⁵²		簡
紛	fun⁵⁵		簡
燻	fun⁵⁵		簡
葷	fun⁵⁵		簡
墳	fun³¹		簡
憤	fun³¹		簡
奮	fun³¹		簡
訓	fun⁵²		簡
溫	vun⁵⁵		簡
紋	vun³⁵		簡
聞	vun³⁵		簡
渾	vun³⁵		簡
穩	vun³¹		簡
勻	vun³¹	均~	簡
頓	tun³¹		簡
飩	tʰun³⁵		簡
鈍	tʰun³¹		簡
輪	lun³⁵		簡
蒼	lun³⁵		簡
倫	lun³⁵		簡
淪	lun³⁵		簡
論	lun³⁵	~语	簡
論	lun³¹	议~	簡
鱒	tsun⁵⁵		簡
儁	tsun⁵²		簡
駿	tsun⁵²		簡
孫	sun⁵⁵		簡
損	sun³¹		簡
筍	sun³¹		簡
遜	sun⁵²		簡
準	tʂun³¹		簡
脣	ʂun³⁵		簡
純	ʂun³⁵		簡
順	ʂun³¹		簡
潤	ʐun³¹		簡
閏	ʐun³¹		簡
鈞	kun⁵⁵		簡
軍	kun⁵⁵		簡
滾	kun³¹		簡
崑	kʰun⁵⁵		簡
羣	kʰun³⁵		簡
繼	kʰun³¹		簡
睏	kʰun⁵²		簡
矇	muŋ³⁵		簡
濛	muŋ³⁵		簡
懞	muŋ³⁵		簡
夢	muŋ³¹		簡
風	fuŋ⁵⁵		簡
楓	fuŋ⁵⁵		簡
瘋	fuŋ⁵⁵		簡
豐	fuŋ⁵⁵		簡
峯	fuŋ⁵⁵		簡
鋒	fuŋ⁵⁵		簡
諷	fuŋ⁵⁵		簡
紅	fuŋ³⁵		簡
鴻	fuŋ³⁵		簡
馮	fuŋ³⁵		簡
縫	fuŋ³⁵		簡
鳳	fuŋ³¹		簡
縫	fuŋ⁵²	裂~	簡
甕	vuŋ⁵²		簡
東	tuŋ⁵⁵		簡
鼕	tuŋ⁵⁵		簡
凍	tuŋ⁵²		簡
棟	tuŋ⁵²		簡
衕	tʰuŋ³⁵		簡
銅	tʰuŋ³⁵		簡
動	tʰuŋ³¹		簡
統	tʰuŋ³¹		簡
農	nuŋ³⁵		簡
膿	nuŋ³⁵		簡
儂	nuŋ³⁵		簡
濃	nuŋ³⁵		簡
籠	luŋ⁵⁵		簡
聾	luŋ⁵⁵		簡
龍	luŋ³⁵		簡
隴	luŋ³⁵		簡
壠	luŋ³⁵		簡
攏	luŋ³¹		簡
綜	tsuŋ⁵⁵		簡
駿	tsuŋ⁵⁵		簡
蹤	tsuŋ⁵⁵	跟~	簡
縱	tsuŋ⁵⁵	~横	簡
總	tsuŋ³¹		簡
糉	tsuŋ⁵²		簡
縱	tsuŋ⁵²	放~	簡
聰	tsʰuŋ⁵⁵		簡
蔥	tsʰuŋ⁵⁵		簡
囪	tsʰuŋ⁵⁵		簡
囪	tsʰuŋ⁵⁵		簡
叢	tsʰuŋ³⁵		簡
鬆	tsʰuŋ³⁵		簡
從	tsʰuŋ³⁵		簡
雙	suŋ⁵⁵		簡
鬆	suŋ⁵⁵		簡
誦	suŋ³¹		簡
訟	suŋ³¹		簡
慫	suŋ³¹	~恿	簡
鍾	tʂuŋ⁵⁵		簡
鐘	tʂuŋ⁵⁵		簡
鈡	tʂuŋ⁵⁵		簡
終	tʂuŋ⁵⁵		簡
腫	tʂuŋ³¹		簡
種	tʂuŋ³¹	~类	簡
衆	tʂuŋ⁵²		簡
種	tʂuŋ⁵²	~树	簡
衝	tʂʰuŋ⁵⁵		簡
沖	tʂʰuŋ⁵⁵		簡
蟲	tʂʰuŋ³⁵		簡
銃	tʂʰuŋ³¹		簡
寵	tʂʰuŋ³¹		簡
絨	ʂuŋ³⁵		簡
宮	kuŋ⁵⁵		簡
鞏	kuŋ³¹	~固	簡
貢	kuŋ⁵²		簡
窮	kʰuŋ³⁵		簡
兇	huŋ⁵⁵	吉~	簡
紅	huŋ³⁵		簡
鬨	huŋ⁵²		簡
鎔	iuŋ³⁵		簡
湧	iuŋ³¹		簡
納	nap⁴		簡
臘	lap⁴		簡
蠟	lap⁴		簡
鑞	lap⁴		簡
雜	tsʰap⁴		簡
閘	tsʰap⁴		簡
緝	tsʰap⁴		簡
輯	tsʰap⁴		簡
鍘	tsʰap⁴		簡
鴿	kap⁴		簡
閤	kap⁴		簡
夾	kap⁴		簡
狹	hap²¹		簡
閤	hap⁴		簡
峽	hap⁴		簡
鴨	ap²¹		簡
壓	ap²¹		簡
貼	tʰiap²¹		簡
疊	tʰiap⁴		簡
諜	tʰiap⁴		簡
聶	niap²¹		簡
鑷	niap²¹		簡
躡	niap²¹		簡
攝	niap²¹		簡
獵	liap⁴	打~	簡
業	ȵiap²¹		簡
挾	kiap²¹		簡
狹	kʰiap⁴	~窄	簡
峽	kʰiap⁴	~谷	簡
協	hiap²¹		簡
脅	hiap²¹		簡
醃	iap²¹		簡
葉	iap⁴		簡
頁	iap⁴		簡
鈸	pat²¹		簡
鉢	pat⁴		簡
撥	pat⁴		簡
潑	pʰat⁴		簡
襪	mat²¹		簡
發	fat²¹		簡
髮	fat²¹		簡
罰	fat⁴		簡
達	tʰat⁴		簡
癩	lat²¹		簡
軋	tsat²¹		簡
獺	tsʰat²¹		簡
薩	tsʰat⁴		簡
殺	sat²¹		簡
訖	ŋat⁴		簡
轄	hat²¹		簡
颳	kuat²¹		簡
闊	kʰuat⁴		簡
麥	mak⁴		簡
劃	vak⁴		簡
責	tsak²¹		簡
冊	tsʰak²¹		簡
柵	tsʰak²¹		簡
澤	tsʰak⁴		簡
擇	tsʰak⁴		簡
鵲	sak²¹		簡
隻	tʂak²¹		簡
祇	tʂak²¹		簡
額	ŋak²¹		簡
覈	hak²¹	审~	簡
剋	hak⁴		簡
軛	ak²¹		簡
錫	siak⁴		簡
劇	kʰiak²¹		簡
執	tʂep²¹		簡
溼	ʂep²¹		簡
筆	pet²¹		簡
畢	pet²¹		簡
覓	met²¹		簡
歷	let⁴		簡
曆	let⁴		簡
則	tset²¹		簡
側	tset²¹		簡
測	tsʰet²¹		簡
賊	tsʰet²¹		簡
嗇	set²¹		簡
質	tʂet²¹		簡
摺	tʂet²¹		簡
織	tʂet²¹		簡
職	tʂet²¹		簡
徹	tʂet⁴		簡
轍	tʂet⁴		簡
設	ʂet²¹		簡
蝕	ʂet²¹		簡
鱖	kʰet²¹		簡
鱉	piet²¹		簡
別	pʰiet²¹		簡
彆	pʰiet²¹		簡
別	pʰiet²¹		簡
滅	miet²¹		簡
鐵	tʰiet²¹		簡
節	tsiet²¹		簡
絕	tsʰiet⁴		簡
熱	pbiet⁴		簡
結	kiet²¹		簡
潔	kiet²¹		簡
傑	kʰiet²¹		簡
決	kʰiet²¹		簡
訣	kʰiet²¹		簡
粵	iet⁴		簡
襲	tsʰip²¹		簡
習	tsʰip²¹		簡
級	kʰiep²¹		簡
給	kʰiep²¹		簡
闢	pʰit²¹		簡
敵	tʰit⁴		簡
鯽	tsit²¹		簡
積	tsit²¹		簡
績	tsit²¹		簡
値	tsʰit²¹		簡
慼	tsʰit²¹		簡
蓆	sit²¹		簡
釋	sit²¹		簡
實	ʂit²¹		簡
飾	ʂit²¹		簡
識	ʂit²¹		簡
適	ʂit²¹		簡
擊	kit²¹		簡
極	kʰit²¹		簡
譯	it²¹		簡
憶	it⁴		簡
億	it⁴		簡
餑	pot²¹		簡
脫	tʰot²¹		簡
奪	tʰot⁴		簡
綴	tʂot²¹		簡
說	ʂot²¹	说话	簡
駁	pok²¹		簡
縛	pʰok²¹		簡
樸	pʰok²¹		簡
撲	pʰok²¹		簡
剝	mok²¹		簡
鍋	vok⁴		簡
鑊	vok⁴		簡
獲	vok⁴		簡
穫	vok⁴		簡
鐸	tok²¹		簡
託	tʰok²¹		簡
託	tʰok²¹		簡
諾	nok²¹		簡
駱	lok²¹		簡
絡	lok²¹		簡
樂	lok⁴		簡
犖	lok⁴		簡
錯	tsʰok²¹		簡
鑿	tsʰok⁴		簡
綽	tʂok²¹		簡
覺	kok²¹		簡
閣	kok²¹		簡
擱	kok²¹		簡
確	kʰok²¹		簡
嶽	ŋok⁴		簡
樂	ŋok⁴		簡
學	hok⁴		簡
鶴	hok⁴		簡
惡	ok²¹		簡
噁	ok²¹		簡
腳	kiok²¹		簡
卻	kʰiok²¹		簡
約	iok²¹		簡
躍	iok²¹		簡
鑰	iok²¹		簡
瘧	iok⁴		簡
藥	iok⁴		簡
國	kuok²¹		簡
沒	mut⁴		簡
彿	fut⁴		簡
齣	tsʰut²¹	~入	簡
卹	sut⁴		簡
術	sut⁴		簡
朮	sut⁴		簡
覈	ut⁴	白	簡
蔔	puk²¹		簡
僕	pʰuk²¹		簡
復	fuk²¹		簡
複	fuk²¹		簡
覆	fuk²¹		簡
篤	tuk²¹		簡
禿	tʰuk²¹		簡
獨	tʰuk²¹		簡
讀	tʰuk²¹		簡
牘	tʰuk²¹		簡
犢	tʰuk²¹		簡
祿	luk²¹		簡
祿	luk²¹		簡
綠	luk⁴		簡
錄	luk⁴		簡
彔	luk⁴		簡
濁	tsʰuk²¹		簡
續	suk⁴		簡
燭	tʂuk²¹		簡
囑	tʂuk²¹		簡
屬	ʂuk⁴		簡
贖	ʂuk⁴		簡
穀	kuk²¹		簡
麴	kʰuk²¹		簡
侷	kʰuk⁴		簡
獄	iuk²¹		簡
慾	iuk²¹		簡
鬱	iuk⁴		簡
吳	ŋ³⁵		簡
吳	ŋ³⁵		簡
誤	ŋ³¹		簡
