#漢字	音標	解釋
去	hi5	来~，过~;来～，过～
參	tsʰam1	~军，~加;人~
參	ʦʰam1	～军，～加;人～
及	kʰɛp8	~时;～时
反	fan1	~对，造~;～对，造～
叔	suk7	二~，~~;二～，～～
取	tɕʰy3	~钱
取	ʨʰy3	～钱
叛	pʰan5	~徒，背~;～徒，背～
口	hɛ2	~头，开~;～头，开～
口	hɛ3	一~饭;一～饭
另	lɛn3	~外;～外
叫	kiau5	大~:小孩哭;大～:小孩哭
可	hɔ3	~能，许~证;～能，许～证
右	jɛu3	左~;左～
各	kɔk7	~人;～人
合	hap8	~作，~适[文];～作，～适[文]
合	kap7	~本，~伙[白];～本，～伙[白]
吉	ket7	~利;～利
吊	tiau5	上~，~车;上～，～车
同	tʰuŋ2	相~，~学;相～，～学
名	miaŋ2	姓~;姓～
向	hiɔŋ5	~东;～东
吞	tʰun1	~口水;～口水
否	fɛ3	是~，~定;是～，～定
含	hem2	包~[文];~糖[白];包～[文];～糖[白]
吳	ŋ2	姓
吳	ŋ̍2	姓
吸	kʰɛp8	呼~，~引;呼～，～引
吹	tsʰɔi1	~牛皮，~喇叭
吹	ʦʰɔi1	～牛皮，～喇叭
吿	kɔ5	报~，~状;报～，～状
呂	ly1	姓
周	tsɛu1	姓;~围，~年
周	ʦɛu1	姓；～围，～年
味	mei3	~道，~精;～道，～精
命	miaŋ3	~令[文];~运，算~[白];～令[文];～运，算～[白]
咬	ŋau1	~人;～人
哀	ɔi1	悲~;悲～
品	pʰem3	~德;～德
哥	kɔ1	大~，学生~;大～，学生～
哪	na3	~吒;～吒
唱	tʃʰɔŋ5	~歌
唱	ʧʰɔŋ5	～歌
啄	tsʰɔk8	~木鸟，鸡~米
啄	ʦʰɔk8	～木鸟，鸡～米
問	men5	~题;～题
啞	a3	哑巴，~佬;哑巴，～佬
啟	kʰɛ3	~发;～发
善	san3	~良，心~;～良，心～
喉	hɛ2	~咙;～咙
喜	hi3	~欢;～欢
單	tam1	~独;～独
嘔	ɛ3	~吐;～吐
嚇	hak7	~一跳;～一跳
嚴	ŋan2	~格;姓;～格；姓
四	ɬi5	数字
回	fei2	~想[文];～想[文]
因	jen1	原~;原～
困	kun5	~难;～难
圈	kʰyɛn1	圆~，~套;圆～，～套
國	kᵘɔk7	~家，中~;～家，中～
圓	ian1	团~;团～
