#漢字	音標	解釋
妒	tu6	
度	tu6	
渡	tu6	
鍍	tu6	
道	tu6	
稻	tu6	
盜	tu6	
粗	tʰu1	
吐	tʰu1	~痰
滔	tʰu1	
掏	tʰu1	
操	tʰu1	
糙	tʰu1	
土	tʰu3	
討	tʰu3	
草	tʰu3	
吐	tʰu5	呕~
兔	tʰu5	
醋	tʰu5	
措	tʰu5	
套	tʰu5	
躁	tʰu5	
都	ɗu1	~是
都	ɗu1	~是
刀	ɗu1	
叨	ɗu1	
堵	ɗu3	
賭	ɗu3	
肚	ɗu3	牛~
禱	ɗu3	
島	ɗu3	
倒	ɗu3	~水
倒	ɗu3	~水
到	ɗu5	
奴	nu2	
□	nu3	哪里
努	nu4	
□	nu5	哪里
怒	nu6	
□	lu1	谋生计
盧	lu2	
爐	lu2	
蘆	lu2	
鸕	lu2	
廬	lu2	
勞	lu2	
牢	lu2	
嘮	lu2	
魯	lu4	
櫓	lu4	
虜	lu4	
滷	lu4	
鹵	lu4	
卤	lu4	
老	lu4	
路	lu6	
賂	lu6	
露	lu6	
鷺	lu6	
姑	ku1	
孤	ku1	
髙	ku1	
膏	ku1	
羔	ku1	
糕	ku1	
膏	ku1	
古	ku3	
估	ku3	
牯	ku3	
股	ku3	
鼓	ku3	
稿	ku3	
故	ku5	
固	ku5	
錮	ku5	
僱	ku5	
雇	ku5	
顧	ku5	
吿	ku5	
犒	ku5	
箍	kʰu1	
枯	kʰu1	
酷	kʰu1	
熬	ŋu2	
熬	ŋu6	~白菜
傲	ŋu6	
好	hu3	~坏
蒿	hu5	
蓬	hu5	
蒿	hu5	
好	hu5	喜~
耗	hu5	
呼	∅u1	
烏	∅u1	
污	∅u1	
塢	∅u1	
夫	∅u1	
伕	∅u1	
膚	∅u1	
巫	∅u1	
誣	∅u1	
胡	∅u2	
鬍	∅u2	
衚	∅u2	
湖	∅u2	
狐	∅u2	
壺	∅u2	
葫	∅u2	
豪	∅u2	
壕	∅u2	
毫	∅u2	
苦	∅u3	
