#漢字	音標	解釋
晨	sɐn2	
塵	ʦʰɐn2	
趁	ʦʰɐn5	
襯	ʦʰɐn5	
稱	ʦʰiŋ1	稱呼。
蟶	ʦiŋ1	蟶子。
成	siŋ2	文讀<br />白讀。
成	sɛŋ2	文讀<br />白讀。
丞	siŋ2	
呈	ʦʰiŋ2	
承	siŋ2	
城	siŋ2	文讀<br />白讀。
城	sɛŋ2	文讀<br />白讀。
乘	siŋ2	
程	ʦʰiŋ2	
誠	siŋ2	
澄	ʦʰiŋ2	
橙	ʦʰaŋ3	橙子。
懲	ʦʰiŋ2	
逞	ʦʰiŋ3	逞能。
秤	ʦʰiŋ5	一桿秤。
牚	ʦœŋ4	椅子牚兒。
吃	hik7b	
嗤	ʦʰi1	嗤笑。
癡	ʦʰi1	
池	ʦʰi2	
持	ʦʰi2	
馳	ʦʰi2	
遲	ʦʰi2	
尺	ʦʰɛk7b	
侈	ʦʰi3	奢侈。
恥	ʦʰi4	
豉	ʔɐi4	
齒	ʦʰi3	
斥	ʦʰik7a	
赤	ʦʰɛk7b	白讀。<br />文讀
赤	ʦʰik7b	白讀。<br />文讀
翅	ʦʰi3	
飭	sik7a	
充	ʦʰuŋ1	
舂	ʦuŋ1	舂米。
衝	ʦʰuŋ1	
崇	suŋ2	
蟲	ʦuŋ2	
寵	ʦʰuŋ3	
銃	ʦʰuŋ5	放銃。
抽	ʦʰɐu1	
搊	ʦʰɐu1	搊起來。
仇	kʰɐu2	姓。
酬	ʦʰɐu2	
稠	ʦʰɐu2	
愁	sɐu2	
綢	ʦʰɐu2	
籌	ʦʰɐu2	
醜	ʦʰɐu3	
臭	ʦʰɐu5	香臭。
初	ʦʰɔ1	
除	ʦʰyu2	
鋤	ʦʰɔ2	
廚	ʦʰyu2	
雛	ʦʰɔ1	
杵	ʦʰyu3	
楚	ʦʰɔ3	
儲	ʦʰyu4	儲蓄。
礎	ʦʰɔ3	柱下石。
處	ʦʰyu3	相處。
觸	ʦuk7a	
揣	ʦʰyun3	揣度。
川	ʦʰyun1	
穿	ʦʰyun1	
船	syun2	
船	ʦyun2	
椽	ʦʰyun2	
傳	ʦyun6	傳記。
喘	ʦʰyun3	
串	ʦʰyun5	
窗	ʦʰœŋ1	
瘡	ʦʰɔŋ1	
牀	ʦʰɔŋ2	
闖	ʦʰɔŋ3	
創	ʦʰɔŋ1	
吹	ʦʰɵi1	
炊	ʦʰɵi1	
垂	sɵi2	
錘	ʦʰɵi2	
春	ʦʰɵn1	
純	sɵn2	
蒓	sɵn2	蒓菜。
醇	sɵn2	酒味醇。
蠢	ʦʰɵn3	
綽	ʦʰœk7b	寬綽。
疵	ʦʰi1	吹毛求疵。
祠	ʦʰyu2	
瓷	ʦʰyu2	瓷器。
詞	ʦʰyu2	
慈	ʦʰyu2	
磁	ʦʰyu2	磁石。
雌	ʦʰi1	
餈	ʦʰyu2	餈巴。
辭	ʦʰyu2	
此	ʦʰyu3	
次	ʦʰyu5	
刺	ʦʰi5	
賜	ʦʰyu5	
蔥	ʦʰuŋ1	
聰	ʦʰuŋ1	
從	ʦʰuŋ2	跟從。
叢	ʦʰuŋ2	
湊	ʦʰɐu5	
粗	ʦʰɔu1	
促	ʦʰuk7a	
猝	ʦʰyut7b	倉猝。
醋	ʦʰɔu5	
篡	san5	
竄	ʦʰyun3	
崔	ʦʰui1	姓。
催	ʦʰui1	
脆	ʦʰɵi5	
粹	sɵi5	純粹。
翠	ʦʰɵi5	
村	ʦʰyun1	
存	ʦʰyun2	
忖	ʦʰyun3	
寸	ʦʰyun5	
搓	ʦʰɔ1	
措	ʦɔ5	措置。
錯	ʦʰɔk7b	錯雜。
達	tat8	
答	tap7b	
打	ta3	
大	tai6	大夫、大黃。
代	tɔi6	
殆	tʰɔi4	
待	tɔi6	
怠	tʰɔi4	
帶	tai5	
袋	tɔi6	
貸	tʰai5	
戴	tai5	
丹	tan1	
耽	tam1	
單	tan1	單獨。
擔	tam1	擔任。
膽	tam3	
旦	tan5	
淡	tam6	文讀<br />白讀。
淡	tʰam4	文讀<br />白讀。
氮	tam6	文讀<br />白讀。
氮	tʰam4	文讀<br />白讀。
誕	tan5	
彈	tan6	子彈。
當	tɔŋ1	當時。
擋	tɔŋ3	
黨	tɔŋ3	
宕	tɔŋ6	延宕。
蕩	tɔŋ6	放蕩。
刀	tɔ1	
倒	tɔ3	打倒。
導	tɔ6	
禱	tʰɔ3	
到	tɔ5	
道	tɔ6	
盜	tɔ6	
稻	tɔ6	
得	tak7a	
德	tak7a	
的	tik7a	目的。
扽	tɵn6	
登	tɐŋ1	
燈	tɐŋ1	
凳	tɐŋ5	
鄧	tɐŋ6	
低	tɐi1	
滴	tik7b	
滴	tik7a	
狄	tik8	
笛	tɛk8	
敵	tik8	
糴	tɛk8	
抵	tɐi3	
底	tɐi3	
地	tɛi6	
弟	tɐi6	
帝	tɐi5	
第	tɐi6	
顚	tin1	
典	tin3	
點	tim3	
店	tim5	
奠	tin6	
電	tin6	
殿	tin6	
刁	tiu1	
貂	tiu1	
雕	tiu1	
弔	tiu5	
釣	tiu5	
調	tʰiu2	調和。
爹	tɛ1	
牒	tip8	
蝶	tip8	
諜	tip8	
疊	tip8	
丁	tiŋ1	
釘	tɛŋ1	鐵釘。
頂	tiŋ3	文讀<br />白讀。
頂	tɛŋ3	文讀<br />白讀。
鼎	tiŋ3	
定	tiŋ6	
錠	tiŋ6	
冬	tuŋ1	
東	tuŋ1	
董	tuŋ3	
懂	tuŋ3	
洞	tuk8	
動	tuŋ6	
棟	tuŋ5	
都	tɔu1	都城。
兜	tɐu1	
抖	tɐu3	
陡	tɐu3	
豆	tɐu6	
逗	tɐu6	
鬥	tɐu5	
督	tuk7a	
毒	tuk8	
獨	tuk8	
犢	tuk8	牛犢子。
牘	tuk8	
讀	tuk8	
堵	tɔu3	
賭	tɔu3	
篤	tuk7a	
杜	tɔu6	
肚	tɔu4	腹肚。
妒	tɔu6	
度	tɔu6	
渡	tɔu6	
端	tyun1	
短	tyun3	
段	tyun6	
椴	tyun6	
緞	tyun6	
鍛	tyun5	鍛鍊。
堆	tui1	
兌	tui5	
隊	tui6	
碓	tui5	
對	tui5	
敦	tɵn1	敦厚。
墩	tɵn1	
蹲	ʦɵn1	
沌	tɵn6	
盾	tʰɵn4	矛盾。
鈍	tɵn6	
頓	tɵn6	
多	tɔ1	
掇	ʦyut7b	拾掇、掂掇讀音亦同。
奪	tyut8	
踱	tɔk8	
鐸	tɔk8	
朵	tɔ3	
剁	tɔ5	
舵	tʰɔ2	
惰	tɔ4	
俄	ŋɔ2	
訛	ŋɔ2	
蛾	ŋɐi4	
鵝	ŋɔ2	
額	ŋak8	
鄂	ŋɔk8	
惡	ʔɔk7b	善惡。
餓	ŋɔ6	
恩	jɐn1	
而	ji2	
兒	ji2	
耳	ji4	
爾	ji4	
餌	nɛi6	
二	ji6	
貳	ji6	貳心。
發	fat7b	
廢	fɐi5	
乏	fan6	
伐	fat8	
筏	fat8	
罰	fɐt8	
法	fat7b	方法。
髮	fat7b	
帆	fan2	
藩	fan2	
翻	fan1	
凡	fan2	
煩	fan2	
繁	fan2	
礬	fan2	
犯	fan6	
泛	fat7b	
販	fan5	
範	fan6	
方	fɔŋ1	
芳	fɔŋ1	
防	fɔŋ2	
妨	fɔŋ2	妨害。
房	fɔŋ2	
仿	fɔŋ3	相似。
紡	fɔŋ3	
訪	fɔŋ3	
放	fɔŋ5	
妃	fɛi1	
非	fɛi1	
飛	fɛi1	
