#漢字	音標	解釋
脯	pʰu2	胸～
部	pʰu3	～队，干～
簿	pʰu3	练习～，帐～
步	pʰu3	跑～
捕	pʰu3	逮～，～快
埠	fɐi3	开～
埠	fɐi3	庵～，蚌～（地名）
模	mu9	～型，～范
摹	mu9	～仿，描～
暮	mu5	日暮
慕	mu5	羡～，～名而来
墓	mu5	坟～，～地
募	mu5	～捐
都	tu1	首～，～市
都	tu1	都是
塞	ɬɐt7	～车，～塞
賭	tu3	～博
肚	tu3	猪～，鱼～
妒	tu3	～忌
土	tʰu3	～地
吐	pʰɛ5	～痰
兔	tʰu5	野～
徒	tʰu9	～弟
屠	tʰu9	～杀
途	tʰu9	前～
塗	tʰu9	糊～，～改
圖	tʰu2	画～，地～
杜	tʰu3	姓；杜仲（中药）
肚	tu3	肚子
度	tʰu3	～数，长～
渡	tʰu3	偷～，摆～
鍍	tʰu3	电～
奴	nu9	～隶
努	nu9	～力
怒	nu5	愤～，～气
盧	lu2	姓
爐	lu9	火～
蘆	lu2	～苇
鸕	lu9	～鹚（扁嘴善捕鱼的水鸟）
魯	lu1	～国，～迅
虜	lu1	俘～
滷	lu9	盐～，～水
路	lu3	大～
賂	lɔk7	贿～
露	lu5	～水，白～，打～
鷺	lu5	白～
租	tsu1	～金，出～
祖	tsu3	～宗，～国
組	tsu3	～织，小～
做	tsu5	～好事
粗	tsʰu1	～心
醋	tsʰu5	陈～
措	tsʰu5	～施
錯	tsʰɔ5	～误
蘇	ɬu1	～州；姓
酥	ɬu1	脆，杏仁～
素	ɬu5	～菜，朴～
訴	ɬu5	上～，倾～
塑	ɬɔ7	雕～，～料
姑	ku1	大～
孤	ku1	～儿，～单
箍	kʰu1	紧～咒[文]
箍	kʰu1	围束，～桶[白]
古	ku3	～代
估	kʰu1	～计
牯	ku3	牛～
股	ku3	～票
鼓	ku3	锣～，～励
故	ku5	～事，～乡
蠱	ku3	养～，～惑
固	ku5	～定
錮	ku5	禁～
雇	ku5	～人，～主
顧	ku5	照～
枯	kʰu1	干～，～水
苦	kʰu3	辛～，食～（吃苦）
苦	kʰu3	～味
庫	kʰu5	水～，仓～
褲	kʰu5	裤子
吳	ŋ̍9	姓
蜈	ŋ̍5	～蚣
梧	ŋ̍9	～桐
五	ŋ̍3	数字
伍	ŋ̍3	姓；队～
午	ŋ̍3	中～，端～
誤	ŋ̍5	～会，错～
悟	ŋ̍5	觉～；孙～空
呼	fu1	称～，～吸，招～
虎	fu3	老～
虎	fu1	马～
滸	fu3	水～
戽	fu5	～水（泼水），～斗
胡	fu2	二～ ；姓
湖	fu9	西～
狐	fu9	～狸
壺	fu9	水～
乎	fu1	在～
