#漢字	音標	解釋
使	ɬə3	～用，假～，大～馆
史	ɬə3	历～
駛	ɬə3	驾～
之	kə1	～前
芝	kə1	灵～，～麻
止	tsi3	停～，～血
趾	tsi3	脚～
址	tsi3	地～
志	tsi5	～气，～愿
誌	tsi5	县～，标～
痣	tsi5	乌～
齒	tsʰi3	牙～
詩	si1	～人
始	tsʰi3	开～，～终
試	si5	考～[文]
試	si5	试试[白]
時	si2	～间，当～
巿	si5	～场，城～
侍	ɬə3	服～，～卫
而	ȵi2	～且，反～
耳	ȵi3	耳朵，中～炎
基	ki1	～本，地～
箕	ki1	畚～
己	ki3	自～
紀	ki3	～律
記	ki5	笔～，～号
欺	kʰi1	～负
起	kʰi3	
杞	ki3	枸～
其	kʰi2	～他，～实
棋	kʰi2	围～，捉～（下棋）
期	kʰi2	日～
旗	kʰi2	红～
忌	kʰi3	禁～，～讳，～日[文]
忌	kʰi3	做～（做法事）[白]
疑	ȵi2	怀～
擬	kʰə5	模～，～人
嬉	hi3	玩，～戏
煕	hi1	康～
喜	hi3	～欢
嘻	hi1	～皮笑脸
醫	ji1	～生
意	ji5	～思
怡	ji2	心旷神～；人名用字
已	ji3	～经
以	ji5	可～，～为
異	ji3	～同
幾	ki3	～乎
機	ki1	～会，飞～
譏	ki1	～笑
饑	ki1	～荒
幾	ki3	～只
幾	ki3	～何
旣	ki5	～然
豈	kʰi3	～有此理
氣	kʰi5	～人，空～
汽	kʰi5	～水，～车
祈	kʰi2	～祷
毅	ȵi3	～力
希	hi1	～望
稀	hi1	～少
衣	ji1	外～；花生皮
依	ji1	～靠
累	lɐi3	积～
累	lɐi3	连～
嘴	tsɔi5	
髓	ɬɔi3	骨～
隨	tsʰui2	～时，～便
吹	tsʰui1	～牛皮，～喇叭
炊	tsʰui1	野～
垂	sui2	下～，～头丧气
睡	sɔi3	睡觉
瑞	ɬɐi3	～金；董存～
蕊	ȵui5	花～
規	kʷʰɐi1	～定，圆～
詭	kʷɐi3	～计多端
虧	kʷʰɐi1	食～（吃亏）
窺	kʷʰɐi1	偷～
跪	kʷʰɐi3	下～
危	mɐi2	～险，安～
僞	mɐi3	虚～
毀	fɐi3	～灭
萎	vɐi1	枯～
委	vɐi1	～托，常～
爲	vɐi2	作～，行～，～人
壘	lui2	堡～，～球
類	lui3	分～
淚	lui3	眼～
醉	tsui5	～酒
翠	tsʰui5	翡～
悴	ɬui5	憔～
雖	ɬui1	～然
粹	tsʰui5	纯～
遂	ɬui3	杀人未～
隧	ɬui3	～道
穗	jui3	谷～
追	tsui1	～求[文]
追	tsui1	追赶，赶走[白]
槌	tsʰui2	木～[名]；[动]
錘	tsʰui2	铁～[名]；[动]
墜	tsʰui3	下～，玉～[文]
墜	tsʰui3	目～～[白]
衰	sɔi1	～弱，～老[文]
衰	sɔi1	运气不好[白]
摔	ɬɐt8a	～跤
帥	sɔi5	元～
錐	ȵui1	圆～
水	sui3	～果，～平
誰	sui9	疑问代词
龜	kui1	乌～
軌	kʷɐi3	铁～
癸	kʷɐi5	天干
愧	kʷʰui5	惭～
季	kʷʰui5	四～，～节
逵	kʷʰui2	人名用字，李～
葵	kʷʰui2	向日～，～花籽
櫃	kʷʰui3	～台
位	vɐi3	座～，～置
維	vɐi2	～生素，～持，纤～
惟	vɐi2	～一
遺	ji2	～失，～憾
唯	vɐi9	～物主义
非	fɐi1	是～，～常
飛	fɐi1	～机；人名，张～[文]
飛	fɐi1	飞行[白]
匪	fɐi3	土～
痱	fɐi1	痱子，热～
妃	fɐi1	贵～
費	fɐi5	～用，浪～
肥	pʰɐi2	化～，～肉
翡	fɐi1	～翠
微	mi2	稍～
尾	mɐi1	尾巴
未	mɐi3	～来；地支
味	mɐi3	～道，～精
歸	kʷɐi1	回～，～类
鬼	kʷɐi3	鬼神
貴	kʷɐi5	～重
魏	ŋui3	～国；姓
揮	fɐi1	指～
輝	fɐi1	光～，～煌
徽	fɐi1	国～，～章
諱	vɐi2	忌～
威	vɐi1	～风，～胁
畏	vɐi5	不喜欢；怕，～热
慰	vɐi3	安～，～问
違	vɐi2	～反
圍	vɐi2	包～，～墙
偉	vɐi3	～大
葦	vɐi2	芦～
緯	vɐi2	经～
胃	vɐi3	肠～
謂	vɐi5	称～，所～
彙	fɐi3	词～
褒	pɔ1	～奖，～义词
保	pɔ3	～护
堡	pɔ3	碉～
寶	pɔ3	～贝
報	pɔ5	～告，日～
袍	pʰɔ9	长～，袄～
抱	pɐu3	拥抱
暴	pʰɐu3	～雨，残～
毛	mɔ1	～病，鸡～
冒	mɔ3	～充，感～
帽	mɔ3	草～
刀	tɔ1	菜～
叨	tɔ1	唠～
禱	tʰɔ2	祈～，～告
島	tɔ3	海南～
倒	tɔ3	颠～
到	tɔ5	～站
倒	tɔ3	～水，～退
滔	tʰau1	～～不绝，波浪～天
討	tʰɔ3	～老婆，～厌
套	tʰɔ5	配～，～房
桃	tʰɔ9	杨～，～花
逃	tʰɔ2	～走
淘	tʰɔ2	～米，～沙
陶	tʰɔ2	～瓷；姓
萄	tʰɔ2	葡～
濤	tʰɔ2	波～
道	tʰɔ5	～理
稻	tʰɔ5	水～
盜	tʰɔ5	强～，～窃
導	tʰɔ5	领～，～师
腦	nɔ3	猪～，～屎（脑子）
惱	nɔ3	烦～[文]
惱	nɔ3	讨厌，不喜欢[白]
勞	lɔ2	～动
撈	lɔ1	打～局[文]
撈	lɐi2	～起来[白]
牢	lɔ2	～房，坐～
嘮	lɔ2	～叨
老	lɔ3	～爷，～实
澇	lɔ2	洪～，旱～
遭	tsɔ1	～遇，～殃
糟	tsɔ1	酒～，～糕
早	tsɔ3	还～
棗	tsɔ3	红～
蚤	tsɐu3	跳～
躁	tsʰɔ5	烦～，暴～
竈	tsɔ5	～头，～神
操	tsʰɔ5	做～，～作
草	tsʰɔ3	青～，～稿
糙	tsʰɔ5	～米，粗～
曹	tsʰɔ2	姓
槽	tsʰɔ2	猪～，水～
皂	tsʰɔ3	肥～
造	tsʰɔ5	创～
騷	ɬɔ1	风～，离～
臊	ɬɔ1	臭～
掃	ɬɔ5	～地[动]
嫂	ɬɔ3	大～
掃	ɬɔ5	～把[名]
髙	kɔ1	姓；～低
膏	kɔ1	牙～；狗皮～药
篙	kɔ1	竹～
羔	kɔ1	羊～
糕	kɔ1	蛋～，糟～
稿	kɔ3	草～，～纸
吿	kɔ5	报～，～状
考	kʰau3	～试，大～
烤	kʰau3	烧～
靠	kʰɔ5	依～，可～
犒	kɔ3	～劳，～赏
熬	ŋau3	～汤，～夜
傲	ŋau3	骄～
蒿	kɔ1	蓬～，青～，茼～
好	hɔ3	～人
好	hɔ5	爱～
耗	hɔ5	消～
豪	hɔ2	～华，～猪
壕	hɔ2	战～
毫	hɔ2	～米
號	hɔ3	～叫，呼～[动]
浩	kʰɔ5	～～荡荡；人名用字
號	hɔ3	～码，口～[名]
襖	ʔɔ3	棉～，～袍
懊	ʔɔ5	～恼
奧	ʔɔ5	～妙，～运会
懊	ʔɔ5	～悔
澳	ʔɔ5	～门
包	pau1	钱～，～围
胞	pau1	同～
飽	pau3	食～（吃饱）
豹	pau5	动物，～虎
爆	pau5	～炸
泡	pʰau5	灯～；泡沫（多～）
泡	pʰau5	起～[训，瘭]
拋	pʰau1	～弃
炮	pʰau5	枪～
泡	pʰau5	～茶
跑	pʰau1	～步
刨	pʰau2	～地，～花板
鮑	pau1	姓；～鱼
茅	mau2	～庐
貓	miau5	大～
錨	miau2	抛～
卯	mau1	地支，子丑寅卯
貌	mau3	礼～
鬧	nau3	～热，～事
罩	tsau5	灯～，床～
抓	tsa1	～紧
爪	tsau3	鸡～
找	tsau3	～钱，查～
笊	tsau3	～捞（笊篱）
抄	tsʰau1	～书
鈔	tsʰau3	～票
炒	tsʰau3	～股，～菜
吵	tsʰau3	～人，争～
巢	tsʰau2	雀～
梢	siau1	树～
捎	ɬau3	～带，～口信
稍	ɬau3	～等；～息
哨	ɬau5	口～
交	kau1	～通，～钱[文]
交	kau1	交叉，～脚（翘二郎腿）[白]
郊	kau1	～区
膠	kau1	～水，橡～
敎	kau1	～书
絞	kau3	～刑，～肉机
狡	kau3	～猾
鉸	kau5	～剪
攪	kau3	搅拌
搞	kau3	～活动
敎	kau5	～育，～师
校	hau3	～对
校	kau5	调校
較	kau5	比～[文]
較	kau5	交换[白]
酵	hau5	发～，～母片
窖	kau5	地～，番薯～
覺	kau5	睡～
敲	kʰau5	～锣打鼓
巧	kʰau3	～合
咬	ŋau1	～人
孝	hau5	～顺
哮	hau5	～喘
肴	ŋau2	美味佳～
淆	ŋau2	混～
效	hau3	～果
校	hau3	学～，～长，上～
凹	ȵɐp7	～面镜
坳	ʔau5	山～，～背
臕	pʰiau5	肥～
標	piau1	～准，～志，招～
表	piau3	图～，～扬
錶	piau1	手～
飄	pʰiau1	～扬
漂	pʰiau1	～流
漂	pʰiau5	～白，～亮
票	pʰiau5	车～
瓢	pʰiau2	勺子
嫖	pʰiau2	～娼
鰾	pʰau5	鱼～
苗	miau2	鱼～，～族
描	miau2	～写
藐	miau3	～视
渺	miau3	～小，～茫
秒	miau3	～针
廟	miau3	和尚～
妙	miau3	～计
燎	liau2	星星之火，可以～原
療	liau2	治～，～养
焦	tsiau1	姓
蕉	tsiau1	米～；～岭（地名）
椒	tsiau1	胡～
剿	tsiau3	围～，～匪
醮	tsiau1	打～（做法事），再醮（嫁人）
悄	tsʰiau1	静～～
俏	tsʰiau5	俊～
樵	tsiau1	柴
消	ɬiau1	～化
宵	ɬiau1	元～，夜～
硝	ɬiau1	～烟，～酸
銷	ɬiau1	供～社，～售
小	ɬiau3	～姐，～人
笑	ɬiau5	～话，玩～
肖	ɬiau1	姓
肖	ɬiau1	生～
鞘	ɬiau1	刀～
朝	tsau1	～晨，三～
超	tsʰau1	～过
朝	tsʰau2	～代
潮	tsʰau2	～湿，涨～
趙	tsʰau3	姓
兆	tsʰau3	预～；人名用字
召	tsʰau3	号～，～集
昭	tsau1	王～君
招	tsau1	～生
沼	tsau2	～气
照	tsau5	～明，～顾
詔	sau2	～书；～安（地名）
燒	sau1	～水，发～
少	sau3	～数，多～
少	sau5	～年，～爷
韶	sau2	～关（地名）
紹	sau2	介～；～兴（地名）
邵	sau5	姓
饒	ȵau2	～命，求～
擾	jəu2	打～，～乱
繞	ȵiau2	围～，～线
驕	kiau1	～傲
嬌	kiau1	～气，做～（撒娇）
矯	kʰiau2	～正
喬	kʰiau2	姓
僑	kʰiau2	华～
橋	kʰiau2	大～
蕎	kʰiau2	～麦
轎	kʰiau3	坐～，扛～
翹	kʰiau2	银～片
翹	kʰiau5	～起来
囂	hiau1	～张
夭	jau1	～折
妖	jau1	～怪
腰	jau1	猪～
要	jau1	～求
要	jau5	重～
搖	jau2	动～，～篮
謠	jau2	歌～，民～
遙	jau2	逍～
窯	jau2	～洞，烧～
姚	jau2	姓，～明
舀	jau3	～水
耀	jau3	～眼，荣～
鷂	jau3	纸～（风筝）；～婆（老鹰）
刁	tiau1	～钻，嘴～
貂	tiau1	～婵，～皮
雕	tiau1	木～，～刻
鳥	tiau1	花～市场[文]
鳥	tiau1	～笼[白]
鳥	ȵiau1	骂人话，交合[白]
釣	tiau5	～鱼
吊	tiau5	上～，～车
挑	tʰiau1	～剔，～担
跳	tʰiau5	～高，起～
糶	tʰiau5	～米（卖米）
條	tʰiau2	～件，字～
調	tʰiau2	～和，～整
跳	tʰiau5	～上跌落（阳平）
掉	tʰiau3	～头，～队
調	tiau5	音～
調	tʰiau3	～动，～走
尿	ȵau3	屙～
聊	ɬiau2	无～，～天
遼	ɬiau2	～宁，～国
撩	ɬiau2	～起来
撩	liau2	～人
寥	liau2	～～无几
了	liau3	～结；明～，～解
瞭	liau2	～望台
料	liau3	肥～，材～
蕭	ɬiau1	姓；～山（地名）
簫	ɬiau1	吹～
澆	ȵau2	～水
繳	kiau3	～枪，～费
僥	ȵau2	～幸
叫	kiau5	大～；小孩哭
竅	kʰiau5	～门
堯	ȵau2	～舜禹
曉	hiau3	春～，～得
么	mɔ1	～二三
吆	mɔ1	～喝
杳	miau3	～无音讯
剖	pʰau2	解～
某	mɐi1	～人
畝	mɐi1	一～田
牡	mɐi3	～丹
母	mu1	父～
拇	mu1	～指
戊	vu3	～戌变法
茂	mɐi3	～盛；～名（地名）
貿	mɐi3	外～，～易
兜	tɐi1	～风
斗	tɐi3	十升为一斗
抖	tɐi3	发～
陡	tɐi3	斜度大，～峭
鬥	tɐi5	～争，批～
偸	tʰɐi1	小～
㪗	tʰɐi3	～气（呼吸）
透	tʰɐi5	～明
頭	tʰɐi2	开～
投	tʰɐi2	～降
豆	tʰɐi3	黄～
逗	tʰɐi3	～留，～号
痘	tʰɐi3	水～
樓	lɐi2	～下
簍	lui1	竹～，字纸～
摟	lɐi2	搂抱
漏	lɐi3	～水，～斗
□	pian3	简陋
走	tsɐi3	行走
奏	tsɐi3	节～
湊	tsɐi3	～数，～热闹
嗽	tsʰi5	咳～
勾	ȵɐi1	～心斗角，～引
鉤	kɐi1	鱼～
溝	kɐi1	～通
狗	kɐi3	
苟	kɐi3	～且偷生
夠	kɐi5	足～
垢	kʰi2	水～
構	kʰɐi5	结～，～造
購	kʰɐi5	采～，收～
勾	kɐi1	～当
摳	kʰi1	挖
口	hɐi3	～头，开～
口	hɐi3	一～饭
叩	kʰɐi5	～头
扣	kʰɐi5	～钱，～压
寇	kʰɐi5	姓，～准；倭～
藕	ȵɐi3	～断丝连，莲～
偶	ȵɐi3	配～，～然
侯	hɐi2	姓；诸侯
喉	hɐi2	～咙
猴	hɐi2	猴子
後	hɐi3	～生，～来[文]
後	hɐi3	～日[白]
后	hɐi3	皇～
厚	hɛi451	忠～
候	hɐi3	～车室，等～
歐	ʔɐi1	～洲；姓
區	kʰi1	姓
甌	tɐi1	瓦器；建～（地名）
嘔	ʔɐi3	～吐
毆	ʔɐi1	～打
漚	ʔɐi5	久浸水中，～坏，～肥
慪	ʔɐi5	～气
否	fɐi3	是～，～定
富	fu5	丰～，～贵
副	fu5	正～
浮	fɐi2	轻～，～力；云～（地名）
浮	pʰɔ2	～起来[白]
負	fu5	～责，～担
婦	fu3	～女[文]
婦	fu3	新～（儿媳）[白]
復	fʊk7	反～
謀	mɐi2	计～，～财害命
矛	mau2	～盾
紐	nɐi3	纽扣；～约（地名）
扭	nəu3	～面帕，～动
流	ləu2	河～[文]
流	ləu5	～汗[白]
劉	ləu2	姓
留	ləu2	～级，停～
榴	ləu2	石～，～莲
硫	ləu2	～磺
琉	ləu2	～璃
柳	ləu5	～树
溜	liu2	～走
溜	ləu5	～滑梯
餾	ləu2	蒸～水，～粄
揫	tsʰəu1	揪头发
酒	tsəu3	～精
秋	tsʰəu1	～天；～千
就	tsʰəu3	成～，～去
修	ɬəu1	装～，～正
羞	ɬəu1	～愧
秀	ɬəu5	清～，～才
繡	ɬəu5	～花
宿	ɬʊk7	星～
銹	ɬəu5	铁～
囚	ɬau2	～犯
袖	tsʰəu3	领～，衫～（衣袖）
肘	tsʰəu5	手～
晝	tsəu5	上～，～夜
抽	tsʰəu1	～出
丑	tsʰəu3	地支，子丑寅卯
綢	tsʰəu2	～缎，丝～
稠	tsʰəu2	～密
籌	tsʰəu2	～码，～备
紂	tsʰəu5	商～王
宙	tsʰəu3	宇～
鄒	tsɐi1	姓，～家华
皺	ȵəu5	～纹
愁	ɬɐi2	～眉苦脸
驟	tsɐi5	步～
搜	ɬɐi1	～查
餿	ɬɐi1	饭馊了，臭～
蒐	ɬɐi1	～集
瘦	ɬɐi5	肥瘦
周	tsəu1	姓；～围，～年
舟	tsəu1	～山
州	tsəu1	广～
洲	tsəu1	亚～
帚	tsəu1	扫～
咒	tsəu5	～人
醜	tsʰəu3	出～[文]
醜	tsʰəu3	长得丑[白]
臭	tsʰəu5	～味
收	səu1	丰～，～集
手	səu3	～脚，～段
首	səu3	～先
守	səu3	看～所，保～
獸	tsʰəu5	野～
仇	tsʰəu2	～人，报～
酬	tsʰəu2	应～，～谢
受	səu3	接～
壽	səu3	长～
授	səu3	教～
售	tsʰəu2	～货，出～
柔	jəu3	温～，～和
揉	jəu3	～烂
鳩	kɐi1	斑～
鬮	kɐi1	拈～（抓阄）
糾	kɐi3	～缠
九	kiu3	数字，～龙
久	kiu3	长～
韭	kiu3	～菜
灸	kiu5	针～
救	kiu5	～命
究	kiu5	～竟，研～
丘	kʰiu1	一～田
丘	kʰiu1	姓
求	kʰiu2	要～
球	kʰiu2	足～
仇	tsʰəu2	姓
臼	kʰiu1	石～，脱～
舅	kʰiu1	～公
舊	kʰiu3	新～
柩	kiu5	灵～
牛	ȵɐi2	～牯
休	hiu1	～息，退～
朽	hiu5	腐～，永垂不～
□	jʊŋ5	聞味道，嗅
憂	jɐu2	～虑，担～
優	jɐu2	～秀
尤	jɐu2	～其
郵	jɐu2	～票，～电局
有	jɐu1	～钱
友	jɐu5	朋～，～谊
又	jɐu3	～来
右	jɐu3	左～
祐	jɐu5	保～
由	jɐu2	～于，理～
油	jɐu2	麻～
遊	jɐu2	～泳，旅～
猶	jɐu2	～豫
悠	jɐu2	～闲，历史～久
酉	jɐu1	地支，申酉戌亥
誘	jɐu5	～惑，引～
柚	jɐu5	沙田～
釉	tsʰɐu1	上～，～彩
彪	piau1	林～
謬	mɐi3	～论，荒～
丟	tiu1	～失
□	kia3	纠正
幽	jɐu2	～默
幼	jɐu5	细小，～稚
耽	tan1	～误
答	tæp7	回～
搭	tæp7	～车；衣服搭在肩上
貪	tʰɐm1	～心
探	tʰɐm5	试～
踏	tʰæk8a	脚～
潭	tʰɐm2	深～
譚	tʰɐm3	姓，～嗣同
沓	tɔ1	一～纸
南	nam2	东南西北
男	nam2	男女
納	næk8a	归～
拉	lai1	拖～
簪	tsan1	绾住发髻的条状物
參	tsʰɐn1	～军，～加
慘	tsʰɐn3	悲～
蠶	tsʰɐn2	～丝
雜	tsʰæk8a	复～
感	kam3	～谢，～动
蛤	kiɛp7	花～；～蚧
鴿	kæp7	白～
堪	kʰɐm1	难～，不～
龕	kʰɐm1	神～
坎	kʰɐm5	～坷
砍	kʰɐm5	～伤
勘	kʰɐm5	～误，～探
含	hɐm3	包～[文]
含	ham2	～糖[白]
函	hɐm2	～授，信～
撼	hɐm3	震～
憾	hɐm3	遗～
合	hæp8a	～作，～适[文]
合	kæp7	～本，～伙[白]
盒	hæp7	铁～
庵	ʔɐm1	尼姑～
揞	ʔa1	手覆，揞住
□	ɬɐn3	把粉末撒在表面
暗	ʔam5	不亮
擔	tam1	～任[动]
擔	tam5	～竿[名]
膽	tam3	大～
擔	tam1	挑～[名]；一～水[量]
坍	tan1	～塌
毯	tʰan3	毛～
塔	tʰæk7	宝～
塌	tʰæk7	倒～
談	tʰem3	会～，～论
痰	tʰem3	吐～
淡	tʰem5	～水（地名）
淡	tʰem1	咸～；浓～
藍	lam2	～色；姓
籃	lam2	菜～
覽	lam5	展～，阅～室
攬	lam5	包～[文]
攬	lam3	抱[白]
欖	lam3	橄～，乌～
濫	lam5	泛～
纜	lam3	～车
臘	læk8a	～肉，～肠
蠟	læk8a	～烛
慚	tsʰian2	～愧
暫	tsʰian3	～时
三	ɬam1	～国
甘	kɐm1	甜；～心
柑	kɐm1	柑
敢	kan3	勇～
橄	kan3	～榄
磕	ŋɐp8a	～头
蚶	kɐn1	软体动物，血～
憨	ŋɔŋ5	～厚
喊	ham5	叫[文]
喊	ham5	叫[白]
站	tsʰem1	站立
賺	tsʰan3	～钱
站	tsʰem3	车～
斬	tsʰam3	白～鸡
蘸	tsʰiu1	～豉油
插	tsʰæk7	～花
閘	tsʰæk8a	铁～，跳～
煠	tsa5	～番薯（水煮地瓜）
杉	tsʰem5	～树
尷	kem5	～尬
減	kan3	加～
鹻	kan3	酸～，～性
鹻	kan3	纯～
夾	kʰiɛt8a	夹子；～心饼干
裌	kʰiɛt8a	～袄，～衣
恰	hiɛp7	～切，～当
咸	hɐm2	～丰皇帝
鹹	hɐm2	～淡
陷	hɐm3	～害，～井
掐	nian3	～颈（掐脖子）
餡	hem3	～饼
狹	kʰiɛt8a	～窄[文]
狹	kʰiɛt8a	空间小[白]
峽	hiɛp8a	三～（地名）
洽	hɐp8a	～谈会，融～
攙	tsʰɐn1	～扶，～腰
衫	ɬam1	衬～，～裤（衣服）
監	kɐm1	～狱
鑑	kem5	～定
監	kem5	太～
甲	kæp7	天干，甲乙丙丁
胛	kæk7	肩～
巖	ŋɐm2	～石，石灰～
銜	hɐm2	军～；叼在嘴里
艦	lam3	军～
匣	tsʰæk8b	匣子
鴨	ʔæk7	鸭子
押	kæk7	抵～，～送
壓	ʔæk7	～力
貶	pian3	～值
黏	nian2	～合剂，～起来
聶	ɬiɛt8a	姓，～耳
廉	liam2	清～，～洁
鐮	liam2	镰刀，禾～
簾	liam2	窗～
斂	liam1	收～
殮	liam1	给死者穿衣入棺，～尸
獵	liɛt8a	打～，～人
尖	tsian1	～刀
殲	tsʰian1	～灭
接	tsiɛt7	迎～，～待
籤	tsʰian1	竹～，求～
簽	tsʰian1	～字，～名
妾	tsʰiɛt7	小老婆
潛	tsʰian2	～力
漸	tsʰian3	逐～
捷	tsʰiɛt8a	～报，大～，敏～
沾	tsam1	～光
粘	tsam1	～贴
占	tsam1	～卜
佔	tsam5	～领，～地方
摺	tsæk7	～被，～叠
褶	tsæk7	衣裙或皮肤上的皱纹，打～
陝	sam1	～西
閃	sam3	～开
攝	ɬiɛt8b	～影
蟾	kʰian2	～蜍
涉	siɛt8a	～及
染	ȵan3	污～
染	ȵan3	～色
檢	kian3	～查，体～
臉	lian3	红～白～[文]
鉗	kʰian2	～工，火～
儉	kian3	勤～
驗	ȵam3	～收，试～
險	hian3	危～，保～
淹	jam3	～没
閹	jan1	～鸡，～猪
掩	jan3	～护
厭	jan5	讨～
炎	ȵɐn2	消～，～热
鹽	jam2	
閻	ȵɐn2	～罗王；姓
簷	ȵan2	屋～下
豔	ȵan3	鲜～，～丽
焰	ȵɐn2	火～
葉	ȵæk8a	树～；姓
頁	ȵæk8a	～数
劍	kiam5	宝～
劫	kiɛp7	抢～
欠	kʰiam5	～钱，拖～
怯	kʰi3	胆～
嚴	ȵɐi2	～格；姓
業	ȵæk8a	事～，～余
脅	hiɛp8a	威～
醃	jæk7	腌制
掂	ȵian1	～量
點	tiam3	～心，～头
店	tiam5	开～
跌	tiɛt7	～打
添	tʰiam1	～加，～丁
帖	tʰiɛt7	请～
貼	tʰiɛt7	补～
貼	tʰiɛt7	～纸，～对联[动]
甜	tʰiam2	
簟	tʰem2	竹制品，用以储存粮食
疊	tʰiɛp8a	～起来，折～
碟	tʰiɛp8b	盛具，碟子
牒	tʰiɛp8b	通～，文～
蝶	tʰiɛp8b	蝴～
諜	tʰiɛp8b	间～
鮎	tsam1	～鱼
拈	tsam1	用指头捏取物，～起来
念	ȵam3	～经，怀～
兼	kiam1	～职
挾	kʰiɛp8a	～菜
謙	hiam1	～虚
歉	hiɛp7	道～，～意
嫌	hian2	～弃，～人
協	hiɛp8a	～会，～作
俠	hiɛp8a	武～
法	fæk7	方～
泛	fɔŋ5	广～，～滥[文]
泛	fɔŋ5	中空，～谷[白]
凡	fan2	平～
帆	fan2	～船
范	fan5	姓
範	fan5	模～，～围
犯	fan3	～法[文]
犯	fan3	触犯[白]
乏	fæk8b	缺～
稟	pɐn3	～报
品	pʰɐn3	～德
賃	ȵɐn3	租～
林	lɐm2	树～；姓
淋	lɐm2	～湿，～菜
臨	lɐm2	～时，面～
立	lɐp8a	～足
笠	lɐp7	～嫲，斗～
粒	nɐp7	三～，颗～
凜	ɬem3	威风～～
浸	tsem5	～水
侵	tsʰem1	～略
寢	tsʰem3	就～，～室，废～忘食
緝	tsʰɐp8a	～私，通～
集	tsʰɐp8a	～合，～体
輯	tsʰɐp8a	编～
心	ɬem1	～肝，内～
尋	tsʰem2	～人
習	ɬem1	学～，练～
襲	ɬia1	～击，偷～
沉	tsʰem2	～底
蟄	tsʰɐt8a	惊～
參	tsʰem1	～差不齐
岑	kʰem2	姓，～参；～村
森	ɬem1	～林
參	tsʰem1	人～
滲	tsʰem5	～水
澀	ɬɐt7	青～
澀	ɬɐt7	柿子～[训]
針	tsem1	～线，～对
斟	tsem1	～酒，～酌
枕	tsem3	～头[名]；～枕头[动]
執	tsɐp7	～行，～法
汁	tsɐp7	菜～，果～
深	tsʰɐm1	～浅，～入
沈	sɐm3	姓；地名，～阳
審	sɐm3	～问
嬸	sɐm3	叔母，大～
濕	sɐp7	潮～
甚	sɐm7	～至
十	sɐp8a	数字
拾	sɐp8a	收～
壬	ȵɐm2	天干，庚辛壬癸
任	ȵɐm3	姓；责～，～何
紝	ȵɐn3	缝～
入	ȵɐp8a	～门，进～
今	kɐm1	～日，～年，现～[文]
今	kɐn1	～日，～年[白]
金	kiɐm1	～银
禁	kiɐm5	不～
襟	kʰiɐm1	衣的前幅、交领，连～
錦	kiɐm3	～绣，～旗
禁	kiɐm5	～止
急	kiɛp7	心～
級	kʰiɛp7	～别，年～
級	kʰiɛp7	三年～
給	kiɛp7	供～，～予
欽	kʰiɛp8a	～差，～佩
泣	lɐp7	～血，哭～
琴	kʰiɐm3	弹～
禽	kʰiɐm2	家～
擒	kʰiɐm2	～拿
及	kʰiɛp8a	～时
吟	ȵɐm3	～诗
吸	kʰiɛp7	呼～，～引
音	jɐm1	～乐，声～
陰	jɐm1	～天
飮	ȵɐm3	～料
蔭	jɐm1	福～，树～
飮	ȵɐm3	～田
揖	jɐp7	作～
淫	ȵɐm3	～荡
丹	tan1	牡～，仙～
單	tan1	～独
旦	tan5	元～，花～
疸	tʰan9	黄～
灘	tʰan1	沙～
攤	tʰan1	分～，～开，摆～
癱	tʰan1	～痪
坦	tʰan3	～白，～克
炭	tʰan5	烧～
嘆	tʰan5	～气
獺	lai3	水～
檀	tʰan9	～香
壇	tʰan9	天～，文～
彈	tʰan2	～琴
誕	tan5	圣～，～生
但	tʰan3	～係（但是），不～
彈	tʰan3	子～
蛋	tʰan3	皮～
達	tʰæk8a	发～，～到
難	nan2	困～
難	nan5	逃～，患～
捺	nai5	撇～
蘭	lan2	～花
攔	lan2	～路
欄	lan2	～杆
懶	lan1	懒惰，～尸
爛	lan3	灿～，腐～
辣	læk8a	～椒
贊	tsan5	称～，～助
餐	tsʰan1	～车，快～
燦	tsʰan5	～烂
擦	tsʰæk7	～车
殘	tsʰan2	～废
珊	ɬan1	～瑚
散	ɬan3	药～
散	ɬan5	分～，解～
撒	ɬæk7	～手，～种
薩	ɬæk7	菩～
干	kɔŋ1	天～地支；～扰
亁	kɔŋ1	烘～，饼～
肝	kɔŋ1	猪～
竿	kɔŋ1	竹～
桿	kɔŋ1	旗～，杠～
稈	kɔŋ3	禾～（稻秆）
趕	kɔŋ3	追～
幹	kɔŋ5	～部，才～
割	kɔk7	～禾（割稻）
葛	kɔk7	诸～亮；生～，～薯
看	hɔŋ5	～守所
刊	kʰan1	报～
看	hɔŋ5	看见
渴	hɔk7	口渴；～望
岸	ŋɔŋ5	口～，两～
鼾	hɐn1	～睡
罕	hɔŋ3	稀～，～见
漢	hɔŋ5	～人
喝	hɔk7	吆～，～彩
寒	hɔŋ2	大～，～流
韓	hɔŋ2	～国；姓
旱	hɔŋ1	干旱
汗	hɔŋ3	出～，～马功劳
銲	hɔŋ3	电～，～接
翰	hɔŋ2	～林院；人名用字
安	ʔɔŋ1	公～，～全
鞍	ʔɔŋ1	马～，～山
按	ʔɔŋ5	～照
案	ʔɔŋ5	～件，档～
扮	pʰan3	打～
八	pæk7	数字
盼	pʰan5	～望
瓣	pʰan3	花～
辦	pʰan3	～事
拔	pʰæk8a	～河，选～
綻	tʰian3	破～[文]
綻	tʰian3	长出，～笋，～芽[白]
