#漢字	音標	解釋
搭	f5	
他	th1	
塔	th5	
榻	th5	
塌	th5	
拿	n2	
[	n2	
n	n2	
ɐ	n2	
n	n2	
2	n2	
3	n2	
]	n2	
疤	n2	
}	n2	
那	n4	
哪	n4	
☐	n8	向
擸	l5	
{	l5	
～	l5	
植	tʃ1	
渣	tʃ1	
抓	tʃ1	
詐	tʃ5	
炸	tʃ5	
榨	tʃ5	
眨	tʃ5	
岔	tʃʰ1	
叉	tʃʰ1	
杈	tʃʰ1	
差	tʃʰ1	～别
茶	tʃʰ2	
搽	tʃʰ2	
査	tʃʰ2	
插	tʃʰ5	
沙	ʃ1	
紗	ʃ1	
砂	ʃ1	
痧	ʃ1	
耍	ʃ3	
灑	ʃ3	
洒	ʃ3	
瀟	ʃ3	
～	ʃ3	
也	j4	
家	k1	
傢	k1	
加	k1	
珈	k1	
嘉	k1	
假	k3	真～
賈	k3	
姓	k3	
氏	k3	
假	k5	放～
架	k5	
駕	k5	
嫁	k5	
稼	k5	
價	k5	
鴿	k5	
甲	k5	
腫	k5	
夾	k5	
～	k5	
納	k5	
亞	ŋ1	～洲
丫	ŋ1	
鴉	ŋ1	
牙	ŋ2	
芽	ŋ2	
蚜	ŋ2	
衙	ŋ2	
啞	ŋ3	
雅	ŋ4	
瓦	ŋ4	
鴨	ŋ5	
亞	ŋ5	
{	ŋ5	
～	ŋ5	
軍	ŋ5	
蝦	h1	
魚	h1	
～	h1	
蝦	h1	
～	h1	
蟆	h1	
哈	h1	
～	h1	
腰	h1	
☐	h1	
欺	h1	
負	h1	
霞	h2	
瑕	h2	
暇	h2	
夏	h5	
春	h5	
～	h5	
夏	h5	
姓	h5	
氏	h5	
廈	h5	
～	h5	
門	h5	
廈	h5	
髙	h5	
樓	h5	
大	h5	
～	h5	
下	h5	
～	h5	
降	h5	
下	h5	
～	h5	
面	h5	
麪	h5	
蛤	h8	
瓜	kw1	
寡	kw3	
剮	kw3	
掛	kw5	
挂	kw5	
又	kw5	
卦	kw5	
誇	kʰw1	
夸	kʰw1	
跨	kʰw1	
垮	kʰw1	
掛	kʰw5	
挂	kʰw5	
又	kʰw5	
阿	01	
～	01	
姨	01	
阿	01	
～	01	
膠	01	
八	p4	
伯	p4	
百	p5	
帕	ph4	
柏	ph4	
拍	ph4	
珀	ph4	
魄	ph4	
劈	ph5	
撲	ph8	
扑	ph8	
克	ph8	
剋	ph8	
抹	m4	
～	m4	
布	m4	
佈	m4	
法	f4	
發	f4	
髮	f4	
頭	f4	
～	f4	
發	f4	
髮	f4	
～	f4	
財	f4	
挖	w4	
扎	tʃ4	
紮	tʃ4	
軋	tʃ4	
窄	tʃ4	
責	tʃ4	
矺	tʃ4	
察	tʃʰ4	
擦	tʃʰ4	
拆	tʃʰ4	
策	tʃʰ4	
冊	tʃʰ4	
撒	ʃ4	
薩	ʃ4	
殺	ʃ4	
煞	ʃ4	
格	k4	
革	k4	
隔	k4	
押	ŋ4	
壓	ŋ4	
握	ŋ4	
軛	ŋ4	
客	h4	
嚇	h4	
恐	h4	
～	h4	
嚇	h4	
～	h4	
一	h4	
跳	h4	
刮	kw4	
颳	kw4	
爹	t1	
☐	tʰ2	
吐	tʰ2	
（	tʰ2	
口	tʰ2	
水	tʰ2	
）	tʰ2	
踢	tʰ4	
遮	tʃ1	
姐	tʃ3	
者	tʃ3	
蔗	tʃ4	
爵	tʃ4	
嚼	tʃ4	
卓	tʃ4	
桌	tʃ4	
綽	tʃ4	
勺	tʃ4	
芍	tʃ4	
酌	tʃ4	
借	tʃ5	
藉	tʃ5	
～	tʃ5	
錢	tʃ5	
謝	tʃ5	
着	tʃ5	
～	tʃ5	
衫	tʃ5	
只	tʃ5	
隻	tʃ5	
祇	tʃ5	
~	tʃ5	
奢	tʃʰ1	
車	tʃʰ1	
～	tʃʰ1	
馬	tʃʰ1	
炮	tʃʰ1	
，	tʃʰ1	
又	tʃʰ1	
車	tʃʰ1	
火	tʃʰ1	
～	tʃʰ1	
邪	tʃʰ2	
斜	tʃʰ2	
且	tʃʰ3	
扯	tʃʰ3	
尺	tʃʰ4	
雀	tʃʰ5	
鵲	tʃʰ5	
赤	tʃʰ5	
些	ʃ1	
賒	ʃ1	
蛇	ʃ2	
畲	ʃ2	
寫	ʃ3	
舍	ʃ3	
捨	ʃ3	
～	ʃ3	
得	ʃ3	
舍	ʃ4	
捨	ʃ4	
宿	ʃ4	
～	ʃ4	
社	ʃ4	
瀉	ʃ5	
卸	ʃ5	
射	ʃ5	
～	ʃ5	
箭	ʃ5	
射	ʃ5	
發	ʃ5	
髮	ʃ5	
～	ʃ5	
麝	ʃ5	
赦	ʃ5	
錫	ʃ5	
爺	j2	
耶	j2	
椰	j2	
惹	j4	
野	j4	
嘢	j4	
東	j4	
西	j4	
夜	j5	
腳	k4	
茄	kʰ2	
靴	h1	
波	p1	
菠	p1	
坡	p1	
玻	p1	
博	p4	
駁	p4	
薄	p5	
～	p5	
荷	p5	
播	p5	
樖	pʰ1	
棵	pʰ1	
婆	pʰ2	
頗	pʰ3	
破	pʰ5	
簸	pʰ5	
魔	m1	
摩	m1	
磨	m2	
～	m2	
刀	m2	
幕	m5	
磨	m8	
石	m8	
～	m8	
摸	m9	
科	f1	
火	f3	
夥	f3	
伙	f3	
～	f3	
計	f3	
夥	f3	
伙	f3	
～	f3	
食	f3	
課	f5	
貨	f5	
顆	f9	
棵	f9	
鍋	w1	
窩	w1	
蝸	w1	
和	w2	
～	w2	
氣	w2	
气	w2	
和	w2	
～	w2	
詩	w2	
禾	w2	
禍	w5	
倭	w8	
萵	w8	
多	t1	
朵	t3	
躲	t3	
橢	t3	
惰	t5	
墮	t5	
拖	th1	
駝	th2	
舵	th2	
妥	th3	
做	th3	
～	th3	
·	th3	
做	th3	
完	th3	
託	th4	
托	th4	
拓	th4	
妥	th4	
～	th4	
當	th4	
糯	n5	
羅	l2	
姓	l2	
～	l2	
鑼	l2	
蘿	l2	
蘿	l2	
囉	l2	
螺	l2	
腡	l2	
訛	l2	
又	l2	
烙	l4	
絡	l4	
骼	l4	
駱	l5	
左	tʃ3	
佐	tʃ3	
阻	tʃ3	
作	tʃ5	
昨	tʃ5	
助	tʃ5	
座	tʃ5	
坐	tʃ5	文
搓	tʃʰ1	
初	tʃʰ1	
鋤	tʃʰ2	
楚	tʃʰ3	
礎	tʃʰ3	
坐	tʃʰ4	白
挫	tʃʰ5	
錯	tʃʰ5	
～	tʃʰ5	
誤	tʃʰ5	
錯	tʃʰ5	
～	tʃʰ5	
雜	tʃʰ5	
梭	ʃ1	
唆	ʃ1	
梳	ʃ1	
疏	ʃ1	
～	ʃ1	
遠	ʃ1	
蔬	ʃ1	
傻	ʃ2	
鎖	ʃ3	
瑣	ʃ3	
所	ʃ3	
朔	ʃ4	
塑	ʃ4	
索	ʃ4	
哥	k1	
戈	k1	
歌	k1	
覺	k4	
自	k4	
～	k4	
各	k4	
閣	k4	
擱	k4	
角	k4	
個	k5	
箇	k5	
个	k5	
確	kh4	
蛾	ŋ2	
鵝	ŋ2	
俄	ŋ2	
訛	ŋ2	
又	ŋ2	
裸	ŋ3	
我	ŋ4	
餓	ŋ5	
臥	ŋ5	
惡	ŋ5	
噁	ŋ5	
～	ŋ5	
人	ŋ5	
☐	ŋ5	
打	ŋ5	
喊	ŋ5	
～	ŋ5	
：	ŋ5	
打	ŋ5	
哈	ŋ5	
欠	ŋ5	
河	h2	
何	h2	
荷	h2	
～	h2	
花	h2	
荷	h2	
薄	h2	
～	h2	
可	h3	
殼	h4	
賀	h5	
果	kw3	
裹	kw3	
郭	kw4	
廓	kw4	
國	kw4	
過	kw5	
霍	kʰw4	
姓	kʰw4	
氏	kʰw4	
霍	kʰw4	
～	kʰw4	
亂	kʰw4	
，	kʰw4	
又	kʰw4	
藿	kʰw4	
霍	kʰw5	
～	kʰw5	
亂	kʰw5	
，	kʰw5	
又	kʰw5	
杯	p1	
盃	p1	
貝	p5	
輩	p5	
背	p5	
揹	p5	
～	p5	
書	p5	
背	p5	
揹	p5	
後	p5	
后	p5	
～	p5	
胚	ph1	
坯	ph1	
培	ph2	
陪	ph2	
賠	ph2	
焙	ph2	
裴	ph2	
配	ph5	
倍	ph5	
佩	ph5	
沛	ph5	
梅	m2	
苺	m2	
黴	m2	
枚	m2	
玫	m2	
媒	m2	
煤	m2	
每	m4	
妹	m5	
堆	t1	
待	t5	
代	t5	
袋	t5	
對	t5	
隊	t5	
兌	t5	
怠	t5	
胎	tʰ1	
推	tʰ1	
臺	tʰ2	
檯	tʰ2	
颱	tʰ2	
台	tʰ2	
抬	tʰ2	
苔	tʰ2	
薹	tʰ2	
舌	tʰ2	
～	tʰ2	
，	tʰ2	
靑	tʰ2	
～	tʰ2	
腿	tʰ3	
退	tʰ5	
褪	tʰ5	
女	n4	
內	n5	
來	n2	
雷	n2	
呂	n4	
呂	n4	
旅	n4	
屢	n4	
儡	n4	
壘	n4	
垒	n4	
慮	n5	
濾	n5	
累	n5	
極	n5	
～	n5	
累	n5	
連	n5	
～	n5	
累	n5	
～	n5	
積	n5	
類	n5	
淚	n5	
災	tʃ1	
栽	tʃ1	
追	tʃ1	
錐	tʃ1	
宰	tʃ3	
滓	tʃ3	
嘴	tʃ3	
載	tʃ3	
年	tʃ3	
～	tʃ3	
序	tʃ5	
敍	tʃ5	
聚	tʃ5	
罪	tʃ5	
最	tʃ5	
贅	tʃ5	
墜	tʃ5	
醉	tʃ5	
在	tʃ5	
再	tʃ5	
載	tʃ5	
～	tʃ5	
重	tʃ5	
載	tʃ5	
滿	tʃ5	
～	tʃ5	
吹	tʃʰ1	
炊	tʃʰ1	
趨	tʃʰ1	
崔	tʃʰ1	
催	tʃʰ1	
徐	tʃʰ2	
才	tʃʰ2	
纔	tʃʰ2	
～	tʃʰ2	
氣	tʃʰ2	
气	tʃʰ2	
才	tʃʰ2	
纔	tʃʰ2	
剛	tʃʰ2	
～	tʃʰ2	
材	tʃʰ2	
財	tʃʰ2	
裁	tʃʰ2	
隨	tʃʰ2	
欖	tʃʰ2	
錘	tʃʰ2	
取	tʃʰ3	
娶	tʃʰ3	
採	tʃʰ3	
采	tʃʰ3	
寀	tʃʰ3	
彩	tʃʰ3	
綵	tʃʰ3	
睬	tʃʰ3	
趣	tʃʰ5	
菜	tʃʰ5	
脆	tʃʰ5	
翠	tʃʰ5	
雖	ʃ1	
衰	ʃ1	
艘	ʃ1	
須	ʃ1	
鬚	ʃ1	
必	ʃ1	
～	ʃ1	
需	ʃ1	
腮	ʃ1	
鰓	ʃ1	
垂	ʃ2	
誰	ʃ2	
水	ʃ3	
髓	ʃ3	
絮	ʃ5	
緖	ʃ5	
墅	ʃ5	
碎	ʃ5	
歲	ʃ5	
稅	ʃ5	
睡	ʃ5	
瑞	ʃ5	
粹	ʃ5	
遂	ʃ5	
隧	ʃ5	
穗	ʃ5	
帥	ʃ5	
乳	j4	
銳	j4	
蕊	j4	
車	k1	
～	k1	
馬	k1	
炮	k1	
，	k1	
又	k1	
居	k1	
該	k1	
唔	k1	
～	k1	
：	k1	
多	k1	
謝	k1	
舉	k3	
矩	k3	
榘	k3	
據	k5	
据	k5	
鋸	k5	
巨	k5	
鉅	k5	
拒	k5	
距	k5	
句	k5	
具	k5	
懼	k5	
拘	kʰ1	
駒	kʰ1	
區	kʰ1	
驅	kʰ1	
渠	kʰ2	
水	kʰ2	
～	kʰ2	
瞿	kʰ2	
佢	kʰ4	
俗	kʰ4	
字	kʰ4	
，	kʰ4	
第	kʰ4	
三	kʰ4	
人	kʰ4	
稱	kʰ4	
單	kʰ4	
數	kʰ4	
哀	ŋ1	
埃	ŋ1	
塵	ŋ1	
～	ŋ1	
呆	ŋ2	
虛	h1	
圩	h1	
噓	h1	
許	h3	
滸	h3	
去	h5	
擺	p3	
襬	p3	
拜	p5	
敗	p5	
排	pʰ2	
牌	pʰ2	
派	pʰ4	
埋	m2	
買	m4	
賣	m5	
邁	m5	
塊	f5	
快	f5	
筷	f5	
歪	w1	
懷	w2	
槐	w2	
淮	w2	
壞	w5	
帶	t5	
大	t5	
～	t5	
夫	t5	
伕	t5	
大	t5	
～	t5	
小	t5	
戴	t5	
太	th4	
態	th4	
泰	th4	
貸	th4	
奶	n4	
乃	n4	
耐	n5	
奈	n5	
痢	n5	
拉	l1	
賴	l5	
荔	l5	
癲	l5	
又	l5	
齋	tʃ1	
債	tʃ5	
寨	tʃ5	
猜	tʃʰ1	
釵	tʃʰ1	
差	tʃʰ1	
出	tʃʰ1	
齣	tʃʰ1	
～	tʃʰ1	
豺	tʃʰ2	
柴	tʃʰ2	
踩	tʃʰ3	
蔡	tʃʰ5	
璽	ʃ3	
舐	ʃ4	
賽	ʃ5	
曬	ʃ5	
皆	k1	
階	k1	
佳	k1	
街	k1	
解	k3	
講	k3	
～	k3	
，	k3	
～	k3	
開	k3	
介	k5	
芥	k5	
尬	k5	
疥	k5	
界	k5	
屆	k5	
戒	k5	
楷	kʰ3	
挨	ŋ1	
捱	ŋ1	
～	ŋ1	
近	ŋ1	
埃	ŋ1	
～	ŋ1	
及	ŋ1	
涯	ŋ2	
挨	ŋ2	
捱	ŋ2	
～	ŋ2	
打	ŋ2	
崖	ŋ2	
矮	ŋ3	
艾	ŋ5	
癩	ŋ5	
又	ŋ5	
☐	ŋ5	
～	ŋ5	
蝨	ŋ5	
：	ŋ5	
髒	ŋ5	
臟	ŋ5	
楷	h1	
孩	h2	
鞋	h2	
諧	h2	
蟹	h4	
械	h5	
懈	h5	
乖	kw1	
拐	kw3	
柺	kw3	
怪	kw5	
卑	p1	
碑	p1	
悲	p1	
比	p3	
界	p3	
彼	p3	
又	p3	
被	p5	
～	p5	
動	p5	
避	p5	
祕	p5	
秘	p5	
泌	p5	
庇	p5	
備	p5	
鼻	p5	
臂	p5	
篦	p5	
蓖	p5	
痹	p5	
披	pʰ1	
皮	pʰ2	
疲	pʰ2	
脾	pʰ2	
琵	pʰ2	
批	pʰ2	
彼	pʰ3	
又	pʰ3	
鄙	pʰ3	
婢	pʰ4	
被	pʰ4	
棉	pʰ4	
～	pʰ4	
屁	pʰ5	
譬	pʰ5	
丕	pʰ8	
彌	m2	
瀰	m2	
弥	m2	
糜	m2	
靡	m2	
眉	m2	
梢	m2	
媚	m2	
微	m2	
尾	m4	
美	m4	
未	m5	
～	m5	
來	m5	
味	m5	
昧	m5	
寐	m5	
非	f1	
飛	f1	
妃	f1	
肥	f2	
毀	f3	
燬	f3	
譭	f3	
匪	f3	
翡	f3	
知	t1	白
地	t5	
你	n4	
膩	n5	
蚭	n8	
☐	n8	
離	l2	
离	l2	
～	l2	
別	l2	
彆	l2	
別	l2	
籬	l2	
璃	l2	
梨	l2	
釐	l2	
厘	l2	
～	l2	
米	l2	
狸	l2	
履	l4	
李	l4	
裏	l4	
里	l4	
裡	l4	
公	l4	
～	l4	
裏	l4	
里	l4	
裡	l4	
～	l4	
面	l4	
麪	l4	
理	l4	
鯉	l4	
利	l5	
莉	l5	
痢	l5	
吏	l5	
資	tʃ1	
姿	tʃ1	
諮	tʃ1	
咨	tʃ1	
茲	tʃ1	
兹	tʃ1	
滋	tʃ1	
子	tʃ3	
紫	tʃ3	
姊	tʃ3	
梓	tʃ3	
自	tʃ5	
字	tʃ5	
巳	tʃ5	
寺	tʃ5	
飼	tʃ5	
臍	tʃʰ2	
瓷	tʃʰ2	
餈	tʃʰ2	
糍	tʃʰ2	
磁	tʃʰ2	
慈	tʃʰ2	
辭	tʃʰ2	
詞	tʃʰ2	
祠	tʃʰ2	
此	tʃʰ3	
似	tʃʰ4	
砌	tʃʰ5	
次	tʃʰ5	
廁	tʃʰ5	
刺	tʃʰ5	白
斯	ʃ1	
撕	ʃ1	
廝	ʃ1	
私	ʃ1	
俬	ʃ1	
獅	ʃ1	
司	ʃ1	
絲	ʃ1	
思	ʃ1	
～	ʃ1	
念	ʃ1	
唸	ʃ1	
死	ʃ3	
四	ʃ5	
肆	ʃ5	
伺	ʃ5	
侍	ʃ5	
思	ʃ5	
意	ʃ5	
～	ʃ5	
事	ʃ5	
賜	ʃ5	
幾	k1	
几	k1	
～	k1	
乎	k1	
飢	k1	
饑	k1	
～	k1	
餓	k1	
飢	k1	
饑	k1	
～	k1	
荒	k1	
肌	k1	
機	k1	
譏	k1	
基	k1	
箕	k1	
已	k3	
紀	k3	
年	k3	
～	k3	
杞	k3	
幾	k3	
几	k3	
～	k3	
個	k3	
箇	k3	
个	k3	
寄	k5	
技	k5	
妓	k5	
紀	k5	
～	k5	
念	k5	
唸	k5	
記	k5	
忌	k5	
既	k5	
幾	k8	
几	k8	
茶	k8	
～	k8	
奇	kʰ2	
～	kʰ2	
怪	kʰ2	
騎	kʰ2	
其	kʰ2	
棋	kʰ2	
期	kʰ2	
旗	kʰ2	
祈	kʰ2	
祁	kʰ2	
岐	kʰ2	
冀	kʰ4	
徛	kʰ4	
立	kʰ4	
企	kʰ4	
＂	kʰ4	
徛	kʰ4	
＂	kʰ4	
的	kʰ4	
俗	kʰ4	
寫	kʰ4	
企	kʰ4	
～	kʰ4	
業	kʰ4	
耳	ŋ4	
餌	ŋ4	
希	h1	
稀	h1	
犧	h1	
煕	h1	
欺	h1	
豈	h3	
起	h3	
喜	h3	
娼	h3	
氣	h5	
气	h5	
汽	h5	
器	h5	
棄	h5	
弃	h5	
戲	h5	
餼	h5	
喂	h5	
餵	h5	
（	h5	
豬	h5	
）	h5	
跛	p1	
蔽	p5	
弊	p5	
幣	p5	
閉	p5	
斃	p5	
陛	p5	
稗	p8	
批	pʰ1	
即	pʰ1	
加	pʰ1	
迷	m2	
謎	m2	
米	m4	
揮	f1	
輝	f1	
徽	f1	
廢	f5	
肺	f5	
吠	f5	
費	f5	
師	f8	
威	w1	
爲	w2	
行	w2	
～	w2	
緋	w2	
惟	w2	
唯	w2	
遺	w2	
違	w2	
圍	w2	
委	w3	
萎	w3	
慰	w3	
諱	w4	
偉	w4	
緯	w4	
葦	w4	
衛	w5	
惠	w5	
慧	w5	
爲	w5	
～	w5	
什	w5	
麼	w5	
位	w5	
畏	w5	
胃	w5	
謂	w5	
猾	w5	
低	t1	
底	t3	
抵	t3	
牴	t3	
帝	t5	
蒂	t5	
弟	t5	
第	t5	
遞	t5	
隸	t5	
隶	t5	
梯	tʰ1	
題	tʰ2	
提	tʰ2	
堤	tʰ2	
蹄	tʰ2	
啼	tʰ2	
體	tʰ3	
替	tʰ5	
涕	tʰ5	
剃	tʰ5	
尼	n2	
泥	n2	
犁	l2	
黎	l2	
倪	l2	
禮	l4	
例	l5	
麗	l5	
厲	l5	
勵	l5	
擠	tʃ1	
劑	tʃ1	
仔	tʃ3	
祭	tʃ5	
際	tʃ5	
滯	tʃ5	
制	tʃ5	
製	tʃ5	
～	tʃ5	
度	tʃ5	
制	tʃ5	
製	tʃ5	
～	tʃ5	
造	tʃ5	
濟	tʃ5	
妻	tʃʰ1	
棲	tʃʰ1	
栖	tʃʰ1	
齊	tʃʰ2	
篩	ʃ1	
米	ʃ1	
～	ʃ1	
西	ʃ1	
犀	ʃ1	
柿	ʃ2	
洗	ʃ3	
使	ʃ3	白，～用
世	ʃ5	
勢	ʃ5	
誓	ʃ5	
逝	ʃ5	
細	ʃ5	
婿	ʃ5	
☐	j2	
（	j2	
質	j2	
量	j2	
）	j2	
差	j2	
雞	k1	
計	k5	
繼	k5	
髻	k5	
稽	kʰ1	
溪	kʰ1	
啓	kʰ3	
契	kʰ5	
危	ŋ2	
桅	ŋ2	
蟻	ŋ4	
隘	ŋ5	
藝	ŋ5	
毅	ŋ5	
僞	ŋ5	
魏	ŋ5	
閪	h1	
女	h1	
陰	h1	
系	h5	
係	h5	
繫	h5	
聯	h5	
～	h5	
系	h5	
係	h5	
繫	h5	
～	h5	
統	h5	
系	h5	
係	h5	
繫	h5	
～	h5	
鞋	h5	
帶	h5	
系	h5	
係	h5	
繫	h5	
是	h5	
歸	kw1	
龜	kw1	
圭	kw1	
閨	kw1	
鬼	kw3	
詭	kw3	
軌	kw3	
桂	kw5	
跪	kw5	
櫃	kw5	
貴	kw5	
癸	kw5	
季	kw5	
虧	kʰw1	
規	kʰw1	
窺	kʰw1	
盔	kʰw1	
攜	kʰw2	
逵	kʰw2	
葵	kʰw2	
愧	kʰw4	
包	p1	
胞	p1	
