#漢字	音標	解釋
係	hɐi5	关~[文];是[白];关～[文]
促	tsok8a	督~，~进
促	ʦok8a	督～，～进
俄	ŋɔ2	~罗斯;～罗斯
俊	tsun5	英~
俊	ʦun5	英～
俏	tsʰiau5	俊~
俏	ʦʰiau5	俊～
俗	tsʰok8a	风~
俗	ʦʰok8a	风～
俘	fu1a	~虏;～虏
保	pɔ1a	~护;～护
俠	hiɛp8a	武~;武～
信	ɬɐn5	相~;相～
修	ɬiu1a	装~，~正;装～，～正
俯	fu3	~卧撑，~视;～卧撑，～视
俸	foŋ3	~禄，薪~;～禄，薪～
倂	pʰɐn5	合~;合～
倉	tsʰɔn1a	~库
倉	ʦʰɔn1a	～库
個	kai5	我~(我的);我～（我的）
個	kɔ5	两~，~别;两～，～别
倍	pʰɔi3	~数;～数
倒	tɔ3	颠~;~水，~退;颠～;～水，～退
倔	kʰɐt8a	~强;～强
倘	tʰɔn3	~使;～使
候	hɐi3	~车室，等~;～车室，等～
倚	ji3	~靠，~老卖老;～靠，～老卖老
借	tsia5	~钱
借	ʦia5	～钱
倡	tsʰɔŋ1a	提~
倡	ʦʰɔŋ1a	提～
倣	fɔn3	~效;～效
値	tsʰɐt8a	价~，~日
値	ʦʰɐt8a	价～，～日
倦	kuan3	疲~;疲～
倪	ȵi2	姓，~萍;姓，～萍
倫	lun2	~理，天~之乐;～理，天～之乐
倭	vɔ1a	~寇;～寇
倶	kʰy3	~备，~乐部;～备，～乐部
假	ka3	真~，~设;放~，~期;真～，～设;放～，～期
偉	vɐi3	~大;～大
偏	pian1a	~~，~僻;～～，～僻
做	tsɔ5	~好事
做	ʦɔ5	～好事
停	tʰɐn2	~止;～止
健	kian5	~康;～康
側	tsɐt8a	~面
側	ʦɐt8a	～面
偵	tsɐn1a	~察，刑~
偵	ʦɐn1a	～察，刑～
偶	ŋɐi3	配~，~然;配～，～然
偸	tʰɐi1a	小~;小～
傅	fu3	师~[文];师～[文]
傅	fu5	姓[白]
傍	pʰɔn2	~晚;～晚
傑	kʰiɛt8a	~出;～出
備	pʰi3	准~，~用;准～，～用
催	tsʰui1a	~促，~眠
催	ʦʰui1a	～促，～眠
傲	ŋɔ3	骄~;骄～
傳	tsʰɔn2	~达，流~;~记，自~
傳	ʦʰɔn2	～达，流～;～记，自～
債	tsai5	欠~
債	ʦai5	欠～
傷	sɔŋ1a	受~;受～
傻	sɔ2	~瓜，~子;～瓜，～子
傾	kʰiɐn1a	~向，左~;～向，左～
僅	kɐn3	~~，不~;～～，不～
像	tsʰian3	头~，~章
像	tsʰian5	好~，相~
像	ʦʰian3	头～，～章
像	ʦʰian5	好～，相～
僑	kʰiau2	华~;华～
僕	pok7	奴~，~人;奴～，～人
僞	ŋɛ3	虚~;虚～
僥	hiau1a	~幸;～幸
僧	tsɐn1a	唐~，沙~;~人
僧	ʦɐn1a	唐～，沙～;～人
僵	kiœŋ1a	冻~，~硬;冻～，～硬
僻	pʰɐt8a	偏~，~静;偏～，～静
儀	ȵi2	礼~，~式;礼～，～式
億	jɐt7	十~;十～
儉	kiam3	勤~;勤～
儒	jy2	~家思想;～家思想
儘	tsʰɐn3	~管，~早
儘	ʦʰɐn3	～管，～早
償	sɔŋ2	赔~;赔～
優	jiu1a	~秀;～秀
儲	tsʰy3	~蓄
儲	ʦʰy3	～蓄
允	jun3	~许;～许
元	jan2	一~钱[白];一～钱[白]
元	ȵan2	~旦[文];～旦[文]
兄	hiɐn1a	~弟;～弟
充	tsʰoŋ1a	~分，冒~
充	ʦʰoŋ1a	～分，冒～
兆	tsʰau3	预~;人名用字
兆	ʦʰau3	预～；人名用字
兇	hoŋ1a	~恶;～恶
先	ɬian1a	祖~，~进，~生;祖～，～进，～生
光	kɔŋ1a	阳~，~明;阳～，～明
克	hɐt8a	~服，攻~;～服，攻～
兌	tʰui5	~水，~换;～水，～换
免	mian1a	难~，~除;难～，～除
兒	ȵi2	~童;～童
兔	tʰu5	野~;野～
兜	tɐi1a	~风;～风
入	ȵɐp8a	~门，进~;～门，进～
內	nɔi3	~行，~外;～行，～外
全	tsʰuɔn2	~部，安~
全	ʦʰuɔn2	～部，安～
兩	liœŋ1a	半斤八~;半斤八～
兩	liœŋ3	~个;～个
八	pæk8a	数字
公	koŋ1a	~安，办~;～安，办～
六	lok8a	数字
兮	kʰɔi1a	神经~~;神经～～
共	kʰoŋ3	一~，~同;一～，～同
兵	pɐn1a	当~;当～
其	kʰi2	~他，~实;～他，～实
具	kʰy3	~体;～体
典	tian3	~型，词~;～型，词～
兼	kiam1a	~职;～职
冀	kʰɛ5	河北简称，晋察~;河北简称，晋察～
冊	tsʰɐt8a	两~，~封
冊	ʦʰɐt8a	两～，～封
再	tsɔi5	~来
再	ʦɔi5	～来
冒	mu5	~充，感~;～充，感～
冚	kʰɐp7	盖住
冠	kɔn5	衣~，鸡~花;~军;衣～，鸡～花;～军
冤	jan1a	~枉;～枉
冬	toŋ1a	过~，~节(冬至);过～，～节（冬至）
冰	pɐn1a	结~，~箱;结～，～箱
冷	lɐŋ1a	~热，~清;～热，～清
准	ʦun3	批～，～确
凉	liœŋ2	天～
凍	toŋ5	冰~，~伤;冰～，～伤
凜	lɐm2	威风~~;威风～～
凝	ŋɐn2	~聚，~结;凝固，~油[训];冰霜，霜~[训];～聚，～结;凝固，～油[训];冰霜，霜～[训]
几	ki1a	茶~;茶～
凡	fan2	平~;平～
凰	vɔŋ2	凤~;凤～
凱	ŋɔi3	~旋;～旋
凳	tɐn5	凳子
凶	hoŋ1a	吉~;吉～
凸	tʰuk8a	~起;～起
凹	nɐp7	~面镜;～面镜
出	tsʰuk8a	~入，~发
出	ʦʰuk8a	～入，～发
函	hɐm3	~授，信~;～授，信～
刀	tɔ1a	菜~;菜～
刁	tiu1a	~钻，嘴~;～钻，嘴～
刃	ȵɐn3	刀~;刀～
分	fɐn1a	给[白]
分	fɐn1b	~数，区~[文];～数，区～[文]
切	tsiɛt8a	~菜
切	ʦiɛt8a	～菜
刊	hɔn3	报~;报～
刑	jiɐn2	判~，~法;判～，～法
列	liɛt8a	排~;~宁(人名);两~(两排)[白，量];排～；～宁（人名）;两～（两排）[白，量]
初	tsʰɔ1a	当~，~中
初	ʦʰɔ1a	当～，～中
判	pʰan5	~断，审~;～断，审～
別	piɛt8a	离~，分~;区~;区～;离～，分～
刨	pʰau2	~地，~花板;～地，～花板
利	li1a	~润，有~;～润，有～
刪	ɬan1a	~除;～除
刮	kuæk8a	~毛，搜~;～毛，搜～
到	tɔ5	~站;～站
刴	tiɔk7	~猪肉，~肉丸[训];～猪肉，～肉丸[训]
制	tsɛ5	~度
制	ʦɛ5	～度
刷	sæk7	~牙，牙~;～牙，牙～
刺	tsʰi5	~激，穿~
刺	ʦʰi5	～激，穿～
刻	hɐt8a	时~ ，~画[文];~字[白];时～ ，～画[文];～字[白]
剃	tʰɛ5	~头;～头
則	tsɐn3	否~，规~
則	ʦɐn3	否～，规～
削	ɬiœt8a	~皮，剥~;～皮，剥～
前	tsʰian2	从~，~后
前	ʦʰian2	从～，～后
剔	tʰiɐt7	挑~;挑～
剖	pʰɔi3	解~;解～
剛	kɔn1a	~才，~好;～才，～好
剝	mɔk8a	~削，~皮;～削，～皮
剩	sɐn3	~下，~余;～下，～余
剪	tsian3	~刀
剪	ʦian3	～刀
剮	kɔk8a	千刀万~;千刀万～
副	fu5	正~;正～
割	kɔk8a	~禾(割稻);～禾（割稻）
創	tsʰɔŋ5	开~，~造
創	ʦʰɔŋ5	开～，～造
剿	kiau3	围~，~匪;围～，～匪
劃	væk7	计~，~线;计～，～线
劃	vɐt8a	~船;～船
