#漢字	音標	解釋
佈	pu5	公～，～置
鋪	pʰu1a	～路，床～
普	pʰu3	～通，～遍
浦	pʰu3	黄～江
鋪	pʰu5	店～，当～
怖	pu5	恐～
蒲	fok8a	（石）菖～
菩	pʰɔ2	～萨
部	pʰu3	～队，干～
簿	pʰu3	练习～，帐～
步	pʰu3	跑～
捕	pʰu3	逮～，～快
埠	fɐi3	开～
埠	fɐi3	庵～，蚌～（地名）
模	mɔ2	～型，～范
摹	mɔ2	～仿，描～
暮	mu5	日暮
慕	mu5	羡～，～名而来
墓	mu5	坟～，～地
募	mu5	～捐
都	tu1a	首～，～市
都	tu1a	都是
堵	ɬɐt7	～车，～塞
賭	tu3	～博
肚	tu3	猪～，鱼～
妒	ki5	～忌
土	tʰu3	～地
吐	tʰɔ5	～痰；呕～
兔	tʰu5	野～
徒	tʰu2	～弟
屠	tʰɔ2	～杀
途	tʰu2	前～
塗	tʰu2	糊～，～改
圖	tʰu2	画～，地～
杜	tʰu3	姓；杜仲（中药）
肚	tʰu3	肚子
度	tʰu3	～数，长～
渡	tʰu3	偷～，摆～
鍍	tʰu3	电～
奴	nu2	～隶
努	nu3	～力
怒	nu5	愤～，～气
盧	lu2	姓
爐	lu2	火～
蘆	lu2	～苇
鸕	lu2	～鹚（扁嘴善捕鱼的水鸟）
魯	lɔ3	～国，～迅
虜	lɔ3	俘～
滷	lɔ3	盐～，～水
路	lu3	大～
賂	lu3	贿～
露	lu5	～水，白～，打～
鷺	lu5	白～
租	ʦu1a	～金，出～
祖	ʦu3	～宗，～国
組	ʦu3	～织，小～
做	ʦɔ5	～好事
粗	ʦʰu1a	～心
醋	ʦʰu5	陈～
措	ʦʰu5	～施
錯	ʦʰɔ5	～误
蘇	ɬu1a	～州；姓
酥	ɬu1b	脆，杏仁～
素	ɬu5	～菜，朴～
訴	ɬu5	上～，倾～
塑	ɬɔk8a	雕～，～料
姑	ku1a	大～
孤	ku1a	～儿，～单
箍	kʰu1a	紧～咒[文]
□	fɔk8a	围束，箍桶[白]
古	ku3	～代
估	kʰu1a	～计
牯	ku3	牛～
股	ku3	～票
鼓	ku3	锣～，～励
故	ku5	～事，～乡
蠱	ku3	养～，～惑
固	ku5	～定
錮	ku5	禁～
雇	ku5	～人，～主
顧	ku5	照～
枯	kʰu1a	干～，～水
苦	fu3	辛～，食～（吃苦）
苦	fu3	～味
庫	fu5	水～，仓～
褲	fu5	裤子
吳	ʔŋ̍2	姓
蜈	ʔŋ̍2	～蚣
梧	ʔŋ̍2	～桐
五	ʔŋ̍3	数字
伍	ʔŋ̍3	姓；队～
午	ʔŋ̍3	中～，端～
誤	ʔŋ̍3	～会，错～
悟	ʔŋ̍3	觉～；孙～空
呼	fu1a	称～，～吸，招～
虎	fu3	老～
虎	fu1a	马～
滸	fu3	水～
戽	fu5	～水（泼水），～斗
胡	fu2	二～ ；姓
湖	fu2	西～
狐	fu2	～狸
壺	fu2	水～
乎	fu2	在～
瓠	pʰu2	瓠卢，同葫芦
鬍	fu2	～须
蝴	fu2	～蝶
糊	fu2	浆～，～涂
戶	fu3	～口
滬	lu2	上海简称
互	fu5	～相
護	fu5	保～，～士
瓠	fu2	瓠瓜（味似葫芦而长）
烏	vu1a	黑
污	vu1a	～染
塢	vu1a	船～
惡	vu5	可～
女	ȵy3	女人
廬	lu2	～山
驢	lu2	毛驴
呂	ly1a	姓
旅	ly1a	～游
慮	lui3	考～
濾	lui3	过～
蛆	ʦʰui1a	蛆虫，生～
絮	ɬui5	棉～
徐	ʦʰy2	姓
序	ʦʰui3	顺～
敍	ʦʰui3	倒～
緖	sui5	情～；光～
豬	ʦy1a	～肉
著	ʦy5	～名，显～
除	ʦʰy2	～法
儲	ʦʰy3	～蓄
箸	ʦʰy3	筷子
阻	ʦɔ3	～止，～力
初	ʦʰɔ1a	当～，～中
礎	ʦʰɔ3	基～
鋤	ʦʰɔ3	～草，～禾日当午
助	ʦʰɔ3	帮～
梳	ɬɔ1a	梳子[名]；梳头[动]
疏	ɬɔ1a	～远；稀疏
疏	ɬɔ1a	生～
蔬	ɬɔ1a	～菜
所	ɬɔ3	～以；派出～
疏	ɬɔ1a	注～
諸	ʦy1a	姓；～如此类
煮	ʦy3	～饭
處	ʦʰy5	～理
處	ʦʰy5	～所
書	sy1a	读～
舒	sy1a	～服
暑	sy3	～假
鼠	sy3	老～
庶	sa5	～民
署	sy3	～名
薯	sy2	番～
如	ȵy2	～果，假～
居	ky1a	～民
車	ky1a	象棋，～马炮
舉	ky3	～报，～重
據	ky5	收～
鋸	ky5	电～
鬧	nau3	～日：墟日
去	si5	来～，过～
渠	kʰy3	水～，～道
佢	kʰy3	他，第三人称
巨	kʰy3	～大
拒	kʰy3	～绝
距	kʰy3	～离
魚	ȵy2	金～
漁	ȵy2	～业，～夫
語	ȵy3	～文
御	jy3	～用文人
禦	jy3	防～
噓	ʦʰa1a	吹～
許	hy3	允～；姓
於	jy1a	在～
淤	vu1a	～泥
余	jy2	姓
餘	jy2	多～
與	jy3	参～，给～，～众不同
予	jy3	给～
譽	jy3	荣～
預	jy3	～报，～备
豫	jy2	犹～
夫	fu1a	～妻，车～
膚	fu1a	皮～
府	fu3	政～
腑	fu3	五脏六～
俯	fu3	～卧撑，～视
甫	pʰu3	杜～
脯	pʰu2	菜～（萝卜干）
斧	fu3	～头
付	fu5	应～
咐	fu5	吩～
賦	fu5	天～
傅	fu3	师～[文]
傅	fu5	姓[白]
敷	fu1a	～衍，～药
俘	fu1a	～虏
孵	fu1a	孵小鸡
撫	fu3	～养，安～
黴	mɔi2	食物长毛变质，臭～
赴	fu5	奔～，～汤蹈火
訃	pok7	～告
符	fu2	～合，鬼画～
扶	fu2	～贫，～手[文]
扶	fu2	搀扶，～起来[白]
芙	fu2	～蓉
父	fu3	～亲
釜	fu3	破～沉舟
腐	fu3	～败
腐	fu3	豆～
輔	fu5	～导，～助
附	fu3	～近，～带
無	mɔ2	没有，～中生有[文]
無	mɔ2	没有，～事[白]
巫	mɔ1b	姓；～婆
誣	mɔ2	～陷，～告
武	vu3	～器，～术
舞	mu3	跳～
舞	mu3	拨弄，摆弄[白，动]
侮	mu3	～辱
鵡	vu3	鹦～
務	mu5	任～，～农
霧	mu5	大～
縷	lɐi2	千丝万～
屢	lui3	～次，～教不改
趨	ʦʰy1a	～势
取	ʦʰui3	～钱
趣	tʰui5	兴～
聚	ʦʰui3	～会
聚	ʦʰui3	捡～（收拢）[白]
須	ɬui1a	必～
鬚	ɬu1a	胡～
需	ɬui1a	～要
續	ʦʰok8a	连～，继～
誅	ʦy1a	天～地灭
蛛	ʦy1a	蜘～
株	ʦy1a	守～待兔
駐	ʦʰy3	～扎
註	ʦy5	～释
櫥	ʦʰy2	碗～
柱	ʦʰy1a	柱子
住	ʦʰy3	～宿
雛	ȵəu5	～形
數	ɬɔn5	～落，～星星[动]
數	ɬu5	～字，～学
朱	ʦy1a	姓
珠	ʦy1a	珍～
主	ʦy3	～人，地～
注	ʦy5	～意
蛀	ʦʰy1a	～虫
鑄	ʦy5	～铁，～钢
樞	kʰy1a	中～，～纽
輸	sy1a	～赢
戍	ɬɐp7	～边
輸	sy1a	运～
殊	sy2	特～
豎	sy3	横～
樹	sy3	～立，种～
儒	jy2	～家思想
乳	ȵui3	哺～，母～[文]
乳	ȵɐp7	食～（吃奶），麦～精[训]
拘	kʰy1a	～留
倶	kʰy3	～备，～乐部
矩	kui3	规～，～形
句	ky5	～号
區	kʰy1a	地～，～别
驅	kʰy1a	先～，～动
具	kʰy3	～体
懼	kʰy3	恐～
愚	jy2	～蠢，～公移山
虞	ʔŋ̍2	姓，～姬
娛	jy2	～乐
遇	jy3	遭～，相～，～到
寓	jy3	～言；公～
迂	jy1a	～回，～腐
于	jy1a	姓；等～
雨	sui3	落～，谷～，～水
宇	jy3	～宙
羽	jy3	～毛球
芋	vu5	芋头
逾	jy2	超过，～期
愈	jy3	病～
喩	jy3	比～
裕	jy3	富～
獃	ŋɔn5	*书～子，发～[文]
□	ŋɔn5	发呆：发~
戴	tai5	姓；～帽
胎	tʰɔi1a	双胞～，～盘
台	tʰɔi2	天台
態	tʰai5	～度，心～
貸	tʰai5	～款
臺	tʰɔi2	～湾
苔	tʰɔi2	青～，舌～
抬	tʰɔi2	两个人抬
待	tʰɔi3	等～，～人接物
怠	tʰɔi2	～慢，～工
代	tʰɔi3	～替，～表
逮	tʰi3	～捕
袋	tʰɔi3	袋子
乃	nai1a	安～近；人名用字
耐	nai3	～力，～心，忍～
來	lɔi2	过～，～去
災	ʦɔi1a	水～
栽	ʦɔi1a	种，～培
宰	ʦɔi3	～相
載	ʦɔi5	一年半～
再	ʦɔi5	～来
猜	ʦʰai1a	～谜
彩	ʦʰɔi3	～色
採	ʦʰɔi3	～集
睬	ʦʰɔi3	理睬
菜	ʦʰɔi5	煮～，青～
才	ʦʰɔi2	人～，～气，秀～
材	ʦʰɔi2	材，药～，～料
財	ʦʰɔi2	财，发～
裁	ʦʰɔi2	裁，～纸，剪～
纔	tʰɔi2	刚～
在	ʦʰɔi3	实～，现～[文]
在	ʦʰɔi1a	存在，还～[白]
載	ʦɔi5	满～而归
腮	ɬɔi1a	～腺炎，～红
鰓	ɬɔi1a	鱼鳃
賽	ɬɔi5	比～
該	kɔi1a	应～
改	kɔi3	修～，～正
概	kɔi5	大～，～括
溉	kʰɔi5	灌～
開	hɔi1a	公～，～门
凱	ŋɔi3	～旋
慨	kʰɔi5	慷～，感～
咳	kʰam3	～嗽，止～糖浆
呆	ŋɔi2	～板
礙	ŋɔi3	妨～
海	hɔi3	大～
孩	hɔi2	～童
亥	hɔi3	辛～革命
哀	ʔɔi1a	悲～
埃	ʔai1a	尘～，～及
貝	pei5	宝～
貝	pei5	川～，～壳
沛	pʰei5	充～
帶	tai5	鞋～
太	tʰai5	老～婆
泰	tʰai5	～山
大	tʰai3	大小
賴	lai3	依～，无～；姓
癩	lai3	～蛤蟆[文]
癩	lai5	～哥（癞疮）[白]
蔡	ʦʰɔi5	姓
蓋	kɔi5	～被[动]；盖子[名]
丐	kɔi5	～帮
艾	ʔai5	姓；～滋病
艾	ŋɛ5	艾草
害	hɔi3	～人
藹	ʔɔi3	和～，宋～龄
排	pʰai2	～队
□	hoŋ1a	埋伏
齋	ʦai1a	食～（吃斋）
豺	ʦʰɔi2	～狼
皆	kai1a	～大欢喜
階	kai1a	台～，～级
介	kai5	～绍，中～
界	kai5	世～
芥	kai5	～菜
尬	kai5	尴～
疥	kai5	～疮
屆	kai5	第一～
戒	kai5	～烟，猪八～
楷	kai1a	～书，～模
諧	hai2	和～
駭	hɔi3	惊～，～人听闻
械	hai3	机～
挨	ʔai2	～打，～近
擺	pai3	摇～
派	pʰai5	正～，～出所
牌	pʰai2	～坊，～匾[文]
牌	pʰai2	打～[白，训]
㵺	pʰai2	竹排
稗	pʰai3	～草
買	mai3	～卖
賣	mai1a	买～
奶	nai5	二～，～牛
債	ʦai5	欠～
釵	ʦʰa1b	宝～
差	ʦʰai1a	出～
柴	ʦʰai2	姓；火～
篩	sia1a	～选，～米
灑	sa3	潇～，～水
佳	kai1a	～人，～节
街	kai1a	～路
解	kai3	～释，讲～[文]
解	kai3	～开[白]
懈	hai3	松～，坚持不～
涯	ŋai2	天～
崖	ŋai2	悬～
捱	ŋai2	难～，～苦
鞋	hai2	布～
解	kai3	懂了，理～，了～
蟹	hai3	老～
矮	ʔai3	高矮
敗	pʰai3	失～
邁	man3	豪～，～步
寨	tʰai3	山～，大～
