#漢字	音標	解釋
慈	ʦʰi2	～悲，～禧太后
磁	ʦʰi2	～铁，～场
字	ɬia3	～典，文～
司	ɬia1a	公～，～令
絲	ɬia1a	～绸
思	ɬia1a	～想
伺	ɬia3	～候，～机而动
思	ɬia1a	意～
辭	ʦʰi2	～职，告～
詞	sia1a	歌～
祠	ʦʰi2	～堂
似	ʦʰi5	相～，～乎[文]
似	ʦʰi5	好～（好像）[白]
祀	ki5	祭～
巳	ji3	地支，～时
寺	sia3	～庙，灵光～
嗣	sia2	后～；谭～同
飼	ʦʰia3	～料，～养[文]
飼	ʦʰia3	喂饭[白]
置	ʦi5	布～
癡	ʦʰi1a	白～，～呆
恥	ʦʰi3	～辱
持	ʦʰi2	支～
痔	ʦi5	～疮
治	ʦʰia3	～安，统～[文]
治	ʦʰia3	～鸡，～猪[白]
廁	ʦʰi5	～所，公～
士	sia3	～兵
仕	sia3	～途
柿	ʦi5	柿子，～饼
事	ʦia3	～实，～情[文]
事	sia3	做～[白]
使	sia5	～用，假～，大～馆
史	si3	历～
駛	sia3	驾～
之	ʦia1a	～前
芝	ʦia1a	灵～，～麻
止	ʦi3	停～，～血
趾	ʦi3	脚～
址	ʦi3	地～
志	ʦi5	～气，～愿
誌	ʦi5	县～，标～
痣	ʦi5	乌～
齒	ʦʰi3	牙～
詩	sia1a	～人
始	si3	开～，～终
試	si5	考～[文]
試	ʦi5	试试[白]
時	si2	～间，当～
巿	si3	～场，城～
侍	sia3	服～，～卫
而	ȵi2	～且，反～
耳	ȵi3	耳朵，中～炎
基	ki1a	～本，地～
箕	ki1a	畚～
己	ki3	自～
紀	ki3	～律
記	ki5	笔～，～号
欺	hi1a	～负
起	hi3	起
杞	ki3	枸～
其	kʰi2	～他，～实
棋	kʰi2	围～，捉～（下棋）
期	kʰi2	日～
旗	kʰi2	红～
忌	ki5	禁～，～讳，～日[文]
忌	ki5	做～（做法事）[白]
疑	ȵi2	怀～
擬	ȵi3	模～，～人
嬉	hi3	玩，～戏
煕	hi1a	康～
嘻	hi3	～皮笑脸
醫	ʔi1a	～生
意	ji5	～思
怡	ʔi2	心旷神～；人名用字
已	ji3	～经
以	jy5	可～，～为
異	jy5	～同
幾	ki1a	～乎
機	ki1a	～会，飞～
譏	ki1a	～笑
饑	ki1a	～荒
幾	ki3	～只
幾	ki3	～何
旣	ki5	～然
豈	hi3	～有此理
氣	hi5	～人，空～
汽	hi5	～水，～车
祈	kʰi2	～祷
毅	ŋɛ3	～力
希	hi1a	～望
稀	hi1a	～少
衣	ji1a	外～；花生皮
依	ji1a	～靠
累	lui3	积～
累	lui3	连～
嘴	ʦɔi5	嘴巴[文]
嘴	ʦɔi5	嘴巴[白，训]
髓	ɬɔi3	骨～
隨	ʦʰui2	～时，～便
吹	ʦʰui1a	～牛皮，～喇叭
炊	ʦʰui1a	野～
垂	sui2	下～，～头丧气
睡	sɔi3	睡觉
瑞	ɬui3	～金；董存～
蕊	ȵui3	花～
規	kʰui1a	～定，圆～
詭	kuɐi3	～计多端
虧	kʰuɐi1a	食～（吃亏）
窺	kʰuɐi1a	偷～
跪	kʰuɐi3	下～
危	ŋɛ2	～险，安～
僞	ŋɛ3	虚～
毀	fei3	～灭
萎	vei3	枯～
委	vei3	～托，常～
爲	vɐi2	作～，行～，～人
爲	vɐi2	～什么
壘	lui2	堡～，～球
類	lui3	分～
淚	lui3	眼～
醉	ʦui5	～酒
翠	ʦʰui5	翡～
悴	ɬui5	憔～
雖	ɬui1a	～然
粹	ɬui5	纯～
遂	ɬui3	杀人未～
隧	ɬui3	～道
穗	vɐi3	谷～
追	ʦui1a	～求[文]
追	ʦui1a	追赶，赶走[白]
槌	ʦʰui2	木～[名]；[动]
錘	ʦʰui2	铁～[名]；[动]
墜	ʦʰui3	下～，玉～[文]
墜	ʦʰui3	目～～[白]
衰	sui1a	～弱，～老[文]
衰	sui1a	运气不好[白]
摔	tɐp8a	～跤
帥	ɬɔi5	元～
錐	ʦui1a	圆～
水	ʦui3	～果，～平
誰	ʦui2	疑问代词
龜	kuɐi1a	乌～
軌	kuɐi3	铁～
癸	kʰuɐi2	天干
愧	kʰuɐi5	惭～
季	kuɐi5	四～，～节
逵	kʰuɐi2	人名用字，李～
葵	kʰuɐi2	向日～，～花籽
櫃	kʰuɐi3	～台
位	vɐi3	座～，～置
維	vɐi2	～生素，～持，纤～
惟	vɐi2	～一
遺	vɐi2	～失，～憾
唯	vɐi2	～物主义
非	fɐi1a	是～，～常
飛	fɐi1a	～机；人名，张～[文]
飛	fɐi1a	飞行[白]
匪	fɐi3	土～
痱	mɐi1b	痱子，热～
妃	fɐi1a	贵～
費	fɐi5	～用，浪～
肥	pʰɐi2	化～，～肉
翡	fɐi3	～翠
微	mi2	稍～
尾	mei1a	尾巴
未	mei3	～来；地支
味	mei3	～道，～精
歸	kuɐi1a	回～，～类
鬼	kuɐi3	鬼神
貴	kuɐi5	～重
魏	ŋɛ2	～国；姓
揮	fɐi1a	指～
輝	fɐi1a	光～，～煌
徽	fɐi1a	国～，～章
諱	vɐi3	忌～
威	vɐi1a	～风，～胁
畏	vɐi5	不喜欢；怕，～热
慰	vɐi5	安～，～问
違	vɐi2	～反
圍	vɐi2	包～，～墙
偉	vɐi3	～大
葦	vɐi3	芦～
緯	vɐi3	经～
胃	vɐi5	肠～
謂	vɐi5	称～，所～
彙	fɐi3	词～
褒	pɔ1a	～奖，～义词
保	pɔ1a	～护
堡	pɔ3	碉～
寶	pɔ3	～贝
報	pɔ5	～告，日～
袍	pʰu2	长～，袄～
抱	lam3	拥抱
暴	pʰu3	～雨，残～
毛	mɔ1a	～病，鸡～
冒	mu5	～充，感～
帽	mɔ3	草～
刀	tɔ1a	菜～
嗦	sɔ1a	啰嗦
禱	pʰu2	祈～，～告
島	tɔ3	海南～
倒	tɔ3	颠～
到	tɔ5	～站
倒	tɔ3	～水，～退
滔	tʰɔ1a	～～不绝，波浪～天
討	tʰu3	～老婆，～厌
套	tʰɔ5	配～，～房
桃	tʰɔ2	杨～，～花
逃	tʰɔ2	～走
淘	tʰɔ2	～米，～沙
陶	tʰɔ2	～瓷；姓
萄	tʰu2	葡～
濤	tʰɔ2	波～
道	tʰɔ3	～理
稻	tʰɔ3	水～
盜	tʰu3	强～，～窃
導	tʰɔ5	领～，～师
腦	nɔ3	猪～，～屎（脑子）
惱	nɔ3	烦～[文]
惱	nɔ3	讨厌，不喜欢[白]
勞	lɔ2	～动
撈	lau2	打～局[文]
撈	lai2	～起来[白]
牢	lu2	～房，坐～
嘮	lɔ1a	～叨
老	lɔ3	～爷，～实
澇	lu2	洪～，旱～
遭	ʦɔ1a	～遇，～殃
糟	ʦɔ1a	酒～，～糕
早	ʦɔ3	还～
棗	ʦɔ3	红～
蚤	ɬɐt8a	跳～
躁	ʦʰu5	烦～，暴～
竈	ʦu5	～头，～神
操	ʦʰu1a	做～，～作
草	ʦʰɔ3	青～，～稿
糙	ʦʰɔ5	～米，粗～
曹	ʦʰɔ2	姓
槽	ʦʰɔ2	猪～，水～
皂	ʦɔ5	肥～
造	ʦɔ5	创～
騷	ɬu1a	风～，离～
臊	ɬɔ1a	臭～
掃	ɬɔ5	～地[动]
嫂	ɬɔ3	大～
掃	ɬɔ5	～把[名]
髙	kɔ1a	姓；～低
膏	kɔ1a	牙～；狗皮～药
篙	kɔ1a	竹～
羔	kɔ1a	羊～
糕	kɔ1a	蛋～，糟～
稿	kɔ3	草～，～纸
吿	kɔ5	报～，～状
考	hau3	～试，大～
烤	hau1b	烧～
靠	kʰau5	依～，可～
犒	hau5	～劳，～赏
熬	ŋɔ2	～汤，～夜
傲	ŋɔ3	骄～
蒿	kɔ1a	蓬～，青～，茼～
好	hɔ3	～人
好	hɔ5	爱～
耗	hɔ5	消～
豪	hɔ2	～华，～猪
壕	hɔ2	战～
毫	hɔ2	～米
號	hɔ3	～叫，呼～[动]
浩	hɔ5	～～荡荡；人名用字
號	hɔ2	～码，口～[名]
襖	ʔɔ5	棉～，～袍
懊	ʔɔ5	～恼
奧	ʔɔ5	～妙，～运会
懊	ʔɔ5	～悔
澳	ʔɔ5	～门
包	pau1a	钱～，～围
胞	pau1a	同～
飽	pau3	食～（吃饱）
豹	pau5	动物，～虎
爆	pau5	～炸
泡	pʰau1b	灯～；泡沫（多～）
泡	pʰau5	起～[训，瘭]
拋	pʰau1a	～弃
炮	pʰau5	枪～
泡	pʰau5	～茶
跑	pʰau3	～步
刨	pʰau2	～地，～花板
鮑	pau1a	姓；～鱼
茅	mau2	～庐
貓	miau1b	大～
錨	miau2	抛～
卯	mau1a	地支，子丑寅卯
貌	mau3	礼～
鬧	nau3	～热，～事
罩	ʦau5	灯～，床～
抓	ʦa1a	～紧
爪	ʦau3	鸡～
找	ʦau3	～钱，查～
笊	ʦau5	～捞（笊篱）
抄	ʦʰau1a	～书
鈔	ʦʰau1a	～票
炒	ʦʰau3	～股，～菜
吵	ʦʰau3	～人，争～
巢	ʦʰiu2	雀～
梢	ɬau1a	树～
捎	ɬau1a	～带，～口信
稍	sau3	～等；～息
哨	ɬau5	口～
交	kau1a	～通，～钱[文]
交	kau1b	交叉，～脚（翘二郎腿）[白]
郊	kau1a	～区
膠	kau1a	～水，橡～
敎	kau5	～书
絞	kau3	～刑，～肉机
狡	kau3	～猾
鉸	kau5	～剪
攪	kau3	搅拌
搞	kau3	～活动
敎	kau5	～育，～师
校	kau5	～对
校	kau5	调校
較	kau5	比～[文]
較	kau5	交换[白]
酵	hau1a	发～，～母片
窖	kau5	地～，番薯～
覺	kau5	睡～
敲	hau1a	～锣打鼓
巧	hau3	～合
咬	ŋau1a	～人
孝	hau5	～顺
哮	hau1a	～喘
肴	ŋau2	美味佳～
淆	ŋau2	混～
效	ŋau3	～果
校	ŋau3	学～，～长，上～
凹	nɐp7	～面镜
坳	ʔau5	山～，～背
臕	pʰiau1a	肥～
標	piau1a	～准，～志，招～
表	piau3	图～，～扬
錶	piau1a	手～
飄	pʰiau1a	～扬
漂	pʰiau1a	～流
漂	pʰiau5	～白，～亮
票	pʰiau5	车～
嫖	pʰiau2	～娼
鰾	pʰau5	鱼～
苗	miau2	鱼～，～族
描	miau2	～写
藐	mau3	～视
渺	miau3	～小，～茫
秒	miau3	～针
廟	miau3	和尚～
妙	miau3	～计
燎	liau2	星星之火，可以～原
療	liau2	治～，～养
焦	ʦiau1a	姓
蕉	ʦiau1a	米～；～岭（地名）
椒	ʦiau1a	胡～
剿	kiau3	围～，～匪
醮	ʦiau1a	打～（做法事），再醮（嫁人）
悄	ʦʰiau5	静～～
俏	ʦʰiau5	俊～
樵	ʦʰai2	柴
消	ɬiau1a	～化
宵	ɬiau1a	元～，夜～
硝	ɬiau1a	～烟，～酸
銷	ɬiau1a	供～社，～售
小	ɬiau3	～姐，～人
笑	ɬiau5	～话，玩～
肖	ɬiau1a	姓
肖	ɬiau1a	生～
朝	ʦau1a	～晨，三～
超	ʦʰau1a	～过
朝	ʦʰau2	～代
潮	ʦʰau2	～湿，涨～
趙	ʦʰau3	姓
兆	ʦʰau3	预～；人名用字
召	ʦʰau3	号～，～集
昭	ʦau1a	王～君
招	ʦau1a	～生
沼	ʦʰau3	～气
照	ʦau5	～明，～顾
詔	ʦʰau3	～书；～安（地名）
燒	sau1a	～水，发～
少	sau3	～数，多～
少	sau5	～年，～爷
韶	sau2	～关（地名）
紹	sau2	介～；～兴（地名）
邵	ʦʰau3	姓
饒	ȵau2	～命，求～
擾	ȵau3	打～，～乱
繞	ȵau3	围～，～线
驕	kiau1a	～傲
嬌	kiau1b	～气，做～（撒娇）
矯	kʰiau3	～正
喬	kʰiau2	姓
僑	kʰiau2	华～
橋	kʰiau2	大～
蕎	kʰiau2	～麦
轎	kʰiau3	坐～，扛～
翹	kʰiau2	银～片
翹	kʰiau5	～起来
囂	hiau1a	～张
夭	jiau1a	～折
妖	jiau1a	～怪
邀	jiau1a	～请
腰	jiau1a	猪～
要	jiau1a	～求
要	jiau5	重～
搖	ȵiau2	动～，～篮
謠	ȵau2	歌～，民～
遙	ȵiau2	逍～
窯	nau2	～洞，烧～
姚	jau2	姓，～明
舀	jau3	～水
耀	jau3	～眼，荣～
鷂	jau3	纸～（风筝）；～婆（老鹰）
刁	tiu1a	～钻，嘴～
貂	tiu1a	～婵，～皮
雕	tiu1a	木～，～刻
鳥	niau3	花～市场[文]
鳥	niau3	～笼[白]
鳥	tiau3	骂人话，交合[白]
釣	tiau3	～鱼
吊	tiau5	上～，～车
挑	tʰiau1a	～剔，～担
跳	tʰiau5	～高，起～
糶	tʰiau5	～米（卖米）
條	tʰiau2	～件，字～
調	tʰiau2	～和，～整
跳	tʰiau5	～上跌落（阳平）
掉	tʰiau3	～头，～队
調	tʰiau3	音～
調	tʰiau3	～动，～走
尿	ȵau3	屙～
聊	liau2	无～，～天
遼	liau2	～宁，～国
撩	liau1b	～起来
撩	liau2	～人
寥	liau3	～～无几
了	liau3	～结；明～，～解
瞭	liau2	～望台
料	liau3	肥～，材～
蕭	ɬiau1a	姓；～山（地名）
簫	ɬiau1a	吹～
澆	ȵau2	～水
繳	kiau3	～枪，～费
僥	hiau1a	～幸
叫	kiau5	大～；小孩哭
竅	hau3	～门
堯	ȵau2	～舜禹
曉	hiau3	春～，～得
幺	jɐt7	～二三
杳	miau3	～无音讯
剖	pʰɔi3	解～
某	mɐi1a	～人
畝	mɐi1a	一～田
牡	mau1a	～丹
母	mu3	父～
拇	mu3	～指
戊	mu3	～戌变法
茂	mɐi3	～盛；～名（地名）
貿	mɐi3	外～，～易
兜	tɐi1a	～风
斗	tɐi5	十升为一斗
抖	tɐi3	发～
陡	tɐi3	斜度大，～峭
鬥	tɐi5	～争，批～
偸	tʰɐi1a	小～
㪗	tʰɐi3	～气（呼吸）
透	tʰɐi5	～明
頭	tʰɐi2	开～
投	tʰɐi2	～降
豆	tʰɐi3	黄～
逗	tʰɐi3	～留，～号
逗	tʰɐi3	水～
樓	lɐi2	～下
簍	lɔ1a	竹～，字纸～
摟	lam3	搂抱
漏	lɐi3	～水，～斗
陋	liu5	简～
走	ʦɐi3	行走
奏	ʦiu5	节～
湊	ʦʰiu5	～数，～热闹
嗽	ɬiu5	咳～
勾	ŋɐi1a	～心斗角，～引
鉤	tiau5	鱼～
溝	kʰɐi1a	～通
狗	kɐi3	狗
苟	kɐi3	～且偷生
夠	kɐi5	足～
構	kʰɐi5	结～，～造
購	kʰɐi5	采～，收～
勾	ŋɐi1b	～当
摳	kʰy1a	挖
口	hɐi3	～头，开～
口	hɐi3	一～饭
叩	kʰɐi5	～头
扣	kʰɐi5	～钱，～压
寇	kʰɐi5	姓，～准；倭～
藕	ŋɐi3	～断丝连，莲～
偶	ŋɐi3	配～，～然
侯	hɐi2	姓；诸侯
喉	hɐi2	～咙
猴	hɐi2	猴子
後	hɐi3	～生，～来[文]
後	hɐi3	～日[白]
后	hɐi3	皇～
厚	hɐi5	忠～
候	hɐi3	～车室，等～
歐	ʔɐi1a	～洲；姓
區	ʔɐi1a	姓
甌	ʔɐi1a	瓦器；建～（地名）
嘔	ʔɐi3	～吐
毆	ʔɐi3	～打
漚	ʔɐi5	久浸水中，～坏，～肥
慪	ʔɐi5	～气
否	fɐi3	是～，～定
富	fu5	丰～，～贵
副	fu5	正～
浮	fɐi2	轻～，～力；云～（地名）
浮	fɐi2	～起来[白]
負	fu5	～责，～担
婦	fu3	～女[文]
婦	fu3	新～（儿媳）[白]
婦	fu3	～娘[白]
復	fok8a	反～
謀	mɐi2	计～，～财害命
矛	mau2	～盾
紐	niu3	纽扣；～约（地名）
扭	niu3	～面帕，～动
流	liu2	河～[文]
流	liu2	～汗[白]
劉	liu2	姓
留	liu2	～级，停～
榴	liu2	石～，～莲
硫	liu2	～磺
琉	liu2	～璃
柳	liu3	～树
溜	liu1b	～走
溜	liu5	～滑梯
餾	liu2	蒸～水，～粄
廖	liau3	姓
揫	mɐn1a	揪头发
酒	ʦiu3	～精
秋	ʦʰiu1a	～天；～千
就	ʦʰiu3	成～，～去
修	ɬiu1a	装～，～正
羞	tʰiu3	～愧
秀	ɬiu5	清～，～才
繡	ɬiu5	～花
宿	lok7	星～
銹	liu5	铁～
囚	ʦʰiu2	～犯
袖	ʦʰiu3	领～，衫～（衣袖）
肘	ʦɐn1a	手～
晝	ʦiu5	上～，～夜
抽	ʦʰiu1a	～出
丑	ʦʰiu3	地支，子丑寅卯
綢	ʦʰiu2	～缎，丝～
稠	ʦʰiu2	～密
籌	ʦʰiu2	～码，～备
紂	ʦiu5	商～王
宙	tʰiu3	宇～
鄒	ʦau1a	姓，～家华
皺	ȵiu5	～纹
縐	ȵiu5	文～～
愁	siu2	～眉苦脸
驟	ʦau5	步～
搜	ɬɐi3	～查
餿	ɬɐi1a	饭馊了，臭～
蒐	ɬɐi3	～集
瘦	ɬɐi5	肥瘦
周	ʦiu1a	姓；～围，～年
舟	ʦiu1a	～山
州	ʦiu1a	广～
洲	ʦiu1a	亚～
咒	ʦiu5	～人
醜	ʦʰiu3	出～[文]
醜	ʦʰiu3	长得丑[白]
臭	pʰiu5	～味
收	siu1a	丰～，～集
手	siu3	～脚，～段
首	siu3	～先
守	siu3	看～所，保～
獸	ɬɐi5	野～
仇	siu2	～人，报～
酬	ʦʰiu2	应～，～谢
受	siu3	接～
壽	siu3	长～
授	siu3	教～
售	siu2	～货，出～
柔	ȵiu2	温～，～和
揉	ȵiu2	～烂
鳩	kiu1a	斑～
鬮	kɐi1a	拈～（抓阄）
糾	tɐi3	～缠
九	kiu1a	数字，～龙
久	kiu1a	长～
韭	kiu1a	～菜
灸	kiu5	针～
救	kiu5	～命
究	kiu5	～竟，研～
丘	hɐi1a	一～田
丘	hɐi1a	姓
求	kʰiu2	要～
球	kʰiu2	足～
仇	siu2	姓
臼	kiu5	石～，脱～
舅	kʰiu5	～公
舊	kʰiu3	新～
柩	kiu5	灵～
牛	ŋɐi2	～牯
休	hɐi1a	～息，退～
朽	ʔau3	腐～，永垂不～
嗅	ʦʰiu5	～觉
憂	jiu1b	～虑，担～
優	jiu1a	～秀
尤	jiu2	～其
郵	jiu2	～票，～电局
有	jiu1a	～钱
友	jiu5	朋～，～谊
又	jiu3	～来
右	jiu5	左～
祐	jiu5	保～
由	jiu2	～于，理～
油	jiu2	麻～
遊	jiu2	～泳，旅～
猶	jiu2	～豫
悠	jiu2	～闲，历史～久
酉	jiu1a	地支，申酉戌亥
誘	jiu5	～惑，引～
柚	jiu2	沙田～
釉	jiu2	上～，～彩
彪	piau1b	林～
謬	mɐi2	～论，荒～
丟	tiu1a	～失
糾	tɐi3	～正
幽	jiu1b	～默
幼	jiu5	细小，～稚
耽	tam1a	～误
答	tæp8a	回～
搭	tæp8a	～车；衣服搭在肩上
貪	tʰam1a	～心
探	tʰam5	试～
踏	tʰæp8a	脚～
潭	tʰam3	深～
譚	tʰam2	姓，～嗣同
沓	tʰiɛp8a	一～纸
南	nam2	东南西北
男	nam2	男女
納	næp8a	归～
拉	lai1a	拖～
簪	ʦɐm1a	绾住发髻的条状物
參	tʰam1a	～军，～加
慘	ʦʰam3	悲～
蠶	ʦʰam2	～丝
雜	ʦʰæp8a	复～
感	kam3	～谢，～动
蛤	kiɛp8a	花～；～蚧
鴿	kæp8a	白～
堪	hɐm1a	难～，不～
坎	hɐm1a	～坷
砍	ʦam3	～伤
勘	hɐm5	～误，～探
含	hɐm2	包～[文]
含	hɐm2	～糖[白]
函	hɐm3	～授，信～
撼	ham3	震～
憾	ham3	遗～
合	hæk8a	～作，～适[文]
合	kæp8a	～本，～伙[白]
盒	hæp8a	铁～
庵	ʔɐm1a	尼姑～
揞	ʔɐm1a	手覆，揞住
□	ɬɐm3	把粉末撒在表面
暗	ʔam5	不亮
擔	tam1a	～任[动]
擔	tam5	～竿[名]
膽	tam3	大～
擔	tam1a	挑～[名]；一～水[量]
坍	tʰæk8a	～塌
毯	tʰan3	毛～
塔	tʰæk8a	宝～
塌	tʰæk8a	倒～
談	tʰam2	会～，～论
痰	tʰam2	吐～
淡	tʰam3	～水（地名）
淡	tʰam1a	咸～；浓～
藍	lam2	～色；姓
籃	lam2	菜～
覽	lam3	展～，阅～室
攬	lam3	包～[文]
攬	lam3	抱[白]
欖	lam3	橄～，乌～
濫	lam3	泛～
纜	lam3	～车
臘	læp8a	～肉，～肠
蠟	læp8a	～烛
慚	ʦʰam2	～愧
暫	ʦʰam3	～时
三	ɬam1a	～国
甘	kiɐm1a	甜；～心
柑	kiɐm1a	柑
敢	kam3	勇～
橄	kam3	～榄
磕	kʰɐi5	～头
喊	ham5	叫[文]
喊	ham5	叫[白]
站	ʦʰam3	站立
賺	ʦʰan3	～钱
站	ʦam3	车～
斬	ʦam3	白～鸡
蘸	tiam3	～豉油
插	ʦʰæp8a	～花
閘	ʦʰæp8a	铁～，跳～
煠	ʦa5	～番薯（水煮地瓜）
杉	ʦʰa5	～树
尷	kam5	～尬
減	kam3	加～
鹻	kan3	酸～，～性
鹻	kan3	纯～
夾	kʰiɛt8a	夹子；～心饼干
裌	kʰiɛt8a	～袄，～衣
恰	hɐp7	～切，～当
咸	hɐm2	～丰皇帝
鹹	hɐm2	～淡
陷	hɐm3	～害，～井
掐	nian3	～颈（掐脖子）
餡	hɐm2	～饼
狹	kʰiɛp8a	～窄[文]
狹	kʰiɛp8a	空间小[白]
峽	hiɛp8a	三～（地名）
洽	hɐp7	～谈会，融～
攙	ʦʰɐm1a	～扶，～腰
衫	ɬam1a	衬～，～裤（衣服）
監	kɐm1a	～狱，～视，～督
鑑	kɐm5	～定
監	kɐm5	太～
甲	kæp8a	天干，甲乙丙丁
胛	kæp8a	肩～
巖	ŋɐm2	～石，石灰～
銜	hɐm2	军～；叼在嘴里
艦	lam3	军～
匣	kæp8a	匣子
鴨	ʔæp8a	鸭子
押	ʔæp8a	抵～，～送
壓	ʔæp8a	～力
貶	pian3	～值
黏	nian1a	～合剂，～起来
聶	niɛp8a	姓，～耳
廉	liam2	清～，～洁
鐮	liam2	镰刀，禾～
簾	liam2	窗～
斂	liam3	收～
殮	kiam3	给死者穿衣入棺，～尸
獵	liœp8a	打～，～人
尖	ʦiam1a	～刀
殲	ʦiam1a	～灭
接	ʦiɛp8a	迎～，～待
籤	ʦʰiam1a	竹～，求～
簽	ʦʰiam1a	～字，～名
妾	ʦʰiɛp8a	小老婆
潛	ʦʰiam2	～力
漸	ʦʰiam3	逐～
捷	ʦiɛp8a	～报，大～，敏～
沾	ʦam1a	～光
粘	nian1a	～贴
占	ʦam1a	～卜
佔	ʦam5	～领，～地方
摺	ʦiɛt8a	～被，～叠
褶	ʦæp8a	衣裙或皮肤上的皱纹，打～
陝	sam3	～西
閃	ʦam3	～开
攝	sæp8a	～影
蟾	kʰiam2	～蜍
涉	sæp8a	～及
染	ȵam3	污～
染	ȵam3	～色
檢	ȵam3	～查，体～
臉	liam3	红～白～[文]
鉗	kʰiam2	～工，火～
儉	kiam3	勤～
驗	ȵam3	～收，试～
險	sam3	危～，保～
淹	ȵam3	～没
閹	jam1a	～鸡，～猪
掩	ȵam3	～护
厭	jam5	讨～
炎	ȵam2	消～，～热
鹽	ȵam2	盐
閻	ȵam2	～罗王；姓
簷	jam2	屋～下
豔	ȵam3	鲜～，～丽
焰	ȵam3	火～
葉	jæp8a	树～；姓
頁	jæp8a	～数
劍	kiam5	宝～
劫	kiɛp8a	抢～
欠	hiam5	～钱，拖～
怯	ɬɛ5	胆～
嚴	ȵam2	～格；姓
釅	ȵam2	～茶
業	ȵæp8a	事～，～余
脅	sæp8a	威～
醃	jæp8a	腌制
□	ȵiau5	掂量
點	tiam3	～心，～头
店	tiam5	开～
跌	tiɛt8a	～打
添	tʰiam1a	～加，～丁
帖	tʰiɛp8a	请～
貼	tʰiɛp8a	补～
貼	tʰiɛp8a	～纸，～对联[动]
甜	tʰiam2	甜
疊	tʰiɛp8a	～起来，折～
碟	tʰiɛp8a	盛具，碟子
牒	tʰiɛp8a	通～，文～
蝶	tʰiɛp8a	蝴～
諜	tʰiɛp8a	间～
鮎	liam2	～鱼
拈	nian1a	用指头捏取物，～起来
念	ȵam3	～经，怀～
兼	kiam1a	～职
挾	kiɛp8a	～菜
謙	sam1a	～虚
歉	hiɛp8a	道～，～意
嫌	sam2	～弃，～人
協	hiɛp8a	～会，～作
俠	hiɛp8a	武～
法	fæk8a	方～
泛	fan3	广～，～滥[文]
泛	pʰɐn5	中空，～谷[白]
凡	fan2	平～
帆	fan2	～船
范	fan5	姓
範	fan5	模～，～围
犯	fan3	～法[文]
犯	fan3	触犯[白]
乏	fan3	缺～
稟	pien3	～报
品	pʰien3	～德
賃	nɐn3	租～
林	lɐm2	树～；姓
淋	lɐm2	～湿，～菜
臨	lɐm2	～时，面～
立	lɐp8a	～足
笠	lɐp7	～嫲，斗～
粒	nɐp7	三～，颗～
凜	lɐm2	威风～～
浸	ʦɐm5	～水
侵	ʦʰɐm1a	～略
寢	ʦɐm3	就～，～室，废～忘食
緝	ʦʰɐp7	～私，通～
集	ʦɐp8a	～合，～体
輯	ʦʰɐp7	编～
心	ɬɐm1a	～肝，内～
尋	ʦʰɐm2	～人
習	ʦʰɐp8a	学～，练～
襲	ʦʰæp8a	～击，偷～
沉	ʦʰɐm2	～底
蟄	ʦʰæk8a	惊～
參	ʦʰam1a	～差不齐
岑	kʰɐm2	姓，～参；～村
森	sɐm1a	～林
參	ʦʰam1a	人～
滲	ʦʰam5	～水
澀	kiɛt8a	青～
澀	kiɛt8a	柿子～[训]
針	ʦɐm1a	～线，～对
斟	ʦɐm1a	～酒，～酌
枕	ʦɐm3	～头[名]；～枕头[动]
執	ʦɐp8a	～行，～法
汁	ʦɐp7	菜～，果～
深	sɐm8a	～浅，～入
沈	sɐm3	姓；地名，～阳
審	sɐm3	～问
嬸	sɐm3	叔母，大～
濕	sɐp8a	潮～
甚	sɐp8a	～至
十	sɐp8a	数字
拾	sɐp8a	收～
壬	ȵɐm3	天干，庚辛壬癸
任	ȵɐm3	姓；责～，～何
紝	ȵɐm3	缝～
入	ȵɐp8a	～门，进～
今	kɐm1a	～日，～年，现～[文]
今	kɐm1a	～日，～年[白]
金	kɐm1a	～银
禁	kɐm5	不～
襟	kʰɐm1a	衣的前幅、交领，连～
錦	kɐm3	～绣，～旗
禁	kɐm5	～止
急	kɐp8a	心～
級	kʰɐp7	～别，年～
級	kʰɐp7	三年～
給	kʰɐp7	供～，～予
欽	hɐp8a	～差，～佩
泣	lɐp7	～血，哭～
琴	kʰɐm2	弹～
禽	kʰɐm2	家～
擒	kʰɐm2	～拿
及	kʰɐp8a	～时
吟	ȵɐm2	～诗
吸	kʰɐp8a	呼～，～引
音	jɐm1a	～乐，声～
陰	jɐm1a	～天
飮	ȵɐm3	～料
蔭	jɐm1a	福～，树～
飮	ȵɐm3	～田
揖	jɐp7	作～
淫	ȵɐm2	～荡
丹	tan1a	牡～，仙～
單	tan1a	～独
旦	tan5	元～，花～
疸	tam3	黄～
灘	tʰan1a	沙～
攤	tʰan1b	分～，～开，摆～
癱	tʰan1a	～痪
坦	tʰan3	～白，～克
炭	tʰan5	烧～
嘆	tʰan5	～气
檀	tʰan2	～香
壇	tʰan2	天～，文～
彈	tʰan2	～琴
誕	tan5	圣～，～生
但	tan5	～係（但是），不～
彈	tʰan3	子～
蛋	tʰan3	皮～
達	tʰæk8b	发～，～到
難	nan2	困～
難	nan3	逃～，患～
捺	nai5	撇～
蘭	lan2	～花
攔	lan2	～路
欄	lan2	～杆
懶	lan1a	懒惰，～尸
爛	lan3	灿～，腐～
辣	læk8a	～椒
瘌	lai5	结～（结痂），～痢（头屑）
贊	ʦan5	称～，～助
餐	ʦʰam1a	～车，快～
燦	ʦʰan5	～烂
