#漢字	音標	解釋
解	kai3	～释，讲～[文]
鞋	hai2	布～
蟹	hai3	老～
矮	ai3	高矮
敗	pʰai3	失～
幣	pʰi3	人民～
例	liɛ3	举～，～外
祭	ʨi5	～祀
制	ʧɛ5	～度
世	sɛ5	～界
藝	ŋɛ3	～术，文～晚会
米	mi3	大米
低	tɛ1	高～
底	tɛ3	水～
梯	tʰɔi1	楼～
體	tʰi3	～育，身～
題	tʰi2	～目，难～
蹄	tʰɛ2	马～
弟	tʰi3	兄～[文]
弟	tʰɛ1	弟弟，老～[白]
泥	nɛ2	水～，地～（地板）
犁	lɛ2	耕田用具
禮	li1	～貌
齊	ʦʰɛ2	整～，放～，来～[白]
西	ɬi1	东西南北
洗	ɬɛ3	～菜，～衣机
細	ɬɛ5	粗细，大小
雞	kɛ1	～公（公鸡）
計	kɛ5	～算，会～
溪	kʰɛ1	～水
啟	kʰɛ3	～发
係	hɛ5	是[白]
杯	pei1	茶～
輩	pɔi5	～分，长～
背	pɔi5	违～，后～
坯	pʰɔi1	泥～，毛～房
配	pʰi5	分～，搭～
賠	pʰɔi2	～钱
背	pɔi5	～书
梅	mɔi2	～花
妹	mɔi5	妹妹，姊～，老～
堆	tɔi1	一～[量]，～放[动]
對	tui5	～错；成双成～
推	tʰui1	～荐，～动
退	tʰui5	后～，～步[文]
內	nɛ3	～行，～外
雷	lui2	打～，～公；姓
催	ʧʰɔi1	～促，～眠
罪	ʧʰɔi3	得～，犯～[文]
碎	ʦʰui5	～布，破～
塊	fai5	一～钱，～头
灰	fɔi1	石～，～色
回	fei2	～想[文]
最	ʦui5	～好
外	ŋɔi3	～面
會	fei3	开～
會	fei3	～睡，～来
乖	kuai1	小孩听话
怪	kuai5	奇～
懷	fai2	～疑
壞	vai3	～人
拐	kvai3	～卖，铁～李
掛	kʰva5	～起来，牵～，～钩
歪	vai1	～风邪气
話	va3	笑～，讲～[文，名]
話	va3	说[白，动]
稅	sɔi5	交～，～收
銳	juei3	尖～，～角
肺	fei5	猪～
皮	pʰi2	调～，～肤
此	ʦʰə3	到～为止
知	ti1	通～，～道，无～[文]
知	ti1	知道，唔～[白]
池	ʦʰə2	水～
紙	ʨi3	白～
兒	ji2	～童
騎	kʰi2	～马
徛	kʰi1	站立；（山）斜度高
儀	ȵi3	礼～，～式
蟻	ȵiɛ5	蚂蚁，白～
義	ȵi3	情～，～气
戲	ɕi5	做～
椅	ji3	椅子，藤～
易	ji3	容～
鄙	pʰi3	差劲[白]
比	pi3	～较，对～
屁	pʰi5	放～
鼻	pʰi3	鼻子；鼻涕
眉	mi2	眉毛，画～
美	mi1	～丽，～化
地	tʰi3	土～
膩	net8	油～，细～
資	ʦə1	～本
姊	ʨia3	～妹
次	ʦʰə5	名～，～品
自	ʦʰə3	～私
四	ɬi5	数字
師	sə1	老～，～父
指	ʨi3	手～，～甲
屎	ɕi3	狗～
二	ȵi5	数字
姨	ji1	大～，～丈
李	li3	姓；水果
理	li1	道～，～由
子	ʦə3	～孙；孔～
字	sə3	～典，文～
絲	ɬə1	～绸
詞	ʦʰə2	歌～
寺	sə3	～庙，灵光～
柿	ɕi5	柿子，～饼
痣	ʨi5	乌～
齒	ʨi3	牙～
詩	sə1	～人
詩	ɕi1	～人
時	ɕi2	～间，当～
耳	ȵi3	耳朵，中～炎
基	ki1	～本，地～
記	ki5	笔～，～号
起	ʦʰə2	
喜	hi3	～欢
醫	ji1	～生
意	ji5	～思
以	ji5	可～，～为
幾	ji1	～只
氣	hi5	～人，空～
希	hi1	～望
隨	ʦʰɔi2	～时，～便
吹	ʦʰɔi1	～牛皮，～喇叭
跪	kvʰui3	下～
危	ŋei2	～险，安～
委	vei1	～托，常～
類	lei3	分～
追	ʧui1	～求[文]
衰	sei1	～弱，～老[文]
水	sei3	～果，～平
龜	kui1	乌～
葵	kʰui2	向日～，～花籽
櫃	kʰui3	～台
